"","AAPL","MSFT","BA","DIS","V","JPM","INTC","UNH","JNJ","HD"
"T+1",0.0047221120702498,0.00205712367378853,-0.000937457891719269,0.00241379361727048,0.000764652332360046,0.00450499672693948,-0.00152738877179058,0.00111786054717531,-0.0013174005059804,0.00232950276066177
"T+2",0.00427059461760131,0.00249295457710195,-0.00291909839989411,0.0024736688127845,0.00123458880048427,0.00137075164781634,0.00296632736617691,0.00210901593349039,0.00184623031396966,0.000630985191006806
"T+3",0.0037666887522675,0.00240751033938952,0.000923005434451536,0.00241289993873499,0.00140972107758033,0.00158587527071633,0.00191225001943941,0.00169075454310104,0.000155339355822242,0.000768121674445261
"T+4",0.00357462380850989,0.00235796895802741,-0.00067263537517447,0.00235960019378759,0.00153052085040952,0.00149681694809396,0.00210190014243453,0.00189028070684738,0.00141381677840064,0.00103564552086853
"T+5",0.00351946339729182,0.00230975431010119,0.000356161990937083,0.002307089134254,0.00160982752086802,0.00145706917361141,0.00203918278106542,0.00180026878161258,0.000417939207257295,0.00118822298278905
"T+6",0.00350619638731558,0.00226476836438434,-0.000200253796461325,0.00225568927928542,0.00166205037127847,0.00142622936833785,0.00204141607264364,0.00184190252778784,0.00121311475842428,0.00125498154445173
"T+7",0.00350349304383867,0.00222268016263917,0.000120785975624907,0.00220535985990836,0.00169643228417433,0.00140437874083991,0.00203481968475057,0.00182286109424267,0.000577392176760875,0.00128038884061714
"T+8",0.0035030524538781,0.00218331013692107,-5.99385018109054e-05,0.00215607948024784,0.0017190685382407,0.00138870759152569,0.00203299189650656,0.00183161398484261,0.00108572570308575,0.00128912842164382
"T+9",0.00350301007420753,0.00214648230296949,4.27451822243933e-05,0.00210782622809717,0.00173397171213904,0.0013774872651021,0.00203164524574321,0.00182759964422625,0.0006792444250866,0.00129187311012751
"T+10",0.00350301581760003,0.00211203253390224,-1.53933075495328e-05,0.00206057869794605,0.00174378360953165,0.00136945179757076,0.00203100617136105,0.00182944262917356,0.00100428219620083,0.00129265370876008
"T+11",0.00350302059143301,0.00207980727049388,1.75676996554871e-05,0.00201431592783315,0.00175024353080951,0.00136369736022036,0.00203064708182593,0.00182859690406594,0.000744369602503235,0.00129284798063671
"T+12",0.00350302233126892,0.00204966287108754,-1.10986645831235e-06,0.00196901739283322,0.00175449659025904,0.00135957641818136,0.00203045900662089,0.00182898507828086,0.00095220563536532,0.00129288589366321
"T+13",0.00350302281956867,0.00202146496920366,9.47589211925042e-06,0.00192466299580624,0.00175729670405345,0.00135662527771906,0.00203035766325981,0.00182880692917556,0.000786012007175271,0.00129288880444283
"T+14",0.0035030229348589,0.00199508787474165,3.47670004412601e-06,0.00188123305848864,0.00175914023277783,0.00135451186998826,0.00203030368586014,0.00182888869255339,0.000918906778628447,0.00129288656654344
"T+15",0.00350302295786385,0.00197041401371739,6.87667112502166e-06,0.00183870831276244,0.00176035396850685,0.00135299838994839,0.00203027480011968,0.001828851167112,0.000812639044569438,0.0012928848558875
"T+16",0.00350302296148318,0.00194733340418624,4.94979732562425e-06,0.00179706989210682,0.00176115306341675,0.00135191453764606,0.00203025937186822,0.00182886838962337,0.000897614782733085,0.00129288402590795
"T+17",0.00350302296178794,0.0019257431660064,6.04182333938719e-06,0.00175629932322776,0.00176167916861392,0.00135113835574603,0.0020302511249507,0.00182886048528556,0.000829664937557384,0.00129288369009425
"T+18",0.00350302296172211,0.00190554706225824,5.42293533034153e-06,0.00171637851786221,0.00176202554383801,0.00135058250663204,0.00203024671811113,0.00182886411301802,0.000884000228537878,0.00129288356897498
"T+19",0.00350302296167723,0.00188665507027515,5.77368025046383e-06,0.00167728976475302,0.00176225358909685,0.00135018444499531,0.0020302443629553,0.00182886244805468,0.000840551654986295,0.00129288352919277
"T+20",0.00350302296166152,0.00186898298037407,5.57490119541525e-06,0.00163901572179122,0.00176240372870402,0.00134989938010514,0.00203024310435194,0.001828863212197,0.000875294793554284,0.00129288351728411
"T+21",0.00350302296165721,0.00185245202049691,5.68755604381363e-06,0.00160153940832199,0.00176250257707191,0.00134969523586185,0.00203024243173535,0.00182886286149054,0.00084751285323071,0.00129288351409663
