"","AAPL","MSFT","JPM","GE","DIS","INTC","V","GS","XOM","JNJ"
"T+1",0.0019566528326583,-0.000728872826184208,0.00139269444389449,-0.00442548543477391,0.000958312954687774,-0.00240659530387654,2.53471478488289e-05,-0.000832377088738047,0.000184383777310611,8.65903407980956e-06
"T+2",0.00209825666288933,0.00284940262457697,0.0015230102460784,-0.00130030192172552,0.000867715034876674,0.00229099244529735,0.00205260404429557,-0.000795552288283561,-0.00130738399858257,0.00118013328550385
"T+3",0.00180204792165431,0.000593477236307217,0.000862843765790041,-0.000763647081076923,0.000858798591721649,0.0012447915268805,0.00183047721259243,-0.000762435454503076,0.00113975020897384,0.000775899867115342
"T+4",0.0019345441298303,0.00203606840457241,0.00124259400663913,-0.00109540894184256,0.00084891886657954,0.00142745673103818,0.0018066731096499,-0.00073030979020041,-0.000454802454308001,0.00115146921151136
"T+5",0.00187070651251857,0.00111336833533865,0.00096863143639806,-0.00138616890441275,0.000839395225557772,0.00135804479778246,0.00177204792696397,-0.000699145885852909,0.000417433679372552,0.000870941756401179
"T+6",0.00190126332950571,0.00170354143023944,0.00115711981442974,-0.00147988524914321,0.00083019484315337,0.00134874855519458,0.00174353117162737,-0.000668914948809522,-3.07509317317041e-05,0.0010878411247254
"T+7",0.00188662868549385,0.00132605765890207,0.00102623432957325,-0.00147316755734255,0.000821307069816752,0.0013319195213702,0.00171894873383417,-0.000639589048423924,0.000193560629140678,0.000921123562398556
"T+8",0.00189363735278466,0.0015675020740818,0.00111695460394812,-0.00145063878711614,0.00081272127856996,0.00132077040486283,0.00169785500344291,-0.000611141090221643,8.26111122851235e-05,0.00104939683169424
"T+9",0.00189028082301911,0.00141307051953895,0.00105405124318559,-0.0014395634739045,0.000804427208976011,0.00131161285142668,0.00167974663749148,-0.000583544790867228,0.000137191943442238,0.000950719361173659
"T+10",0.00189188830239474,0.00151184731261893,0.00109766388862961,-0.00143798058055787,0.000796414949131404,0.00130453496824011,0.00166420182193344,-0.000556774653880828,0.000110409241299947,0.00102663166653288
"T+11",0.00189111846264922,0.00144866815936849,0.00106742560664092,-0.00143933221192631,0.000788674923913368,0.00129897475658362,0.00165085758261807,-0.000530805946081751,0.000123535841435449,0.00096823281989323
"T+12",0.00189148714746176,0.00148907851569794,0.00108839088296423,-0.001440395579267,0.000781197883535532,0.00129462605825822,0.00163940240365259,-0.000505614674737251,0.000117105897985298,0.00101315871215999
"T+13",0.00189131058020628,0.00146323143142,0.0010738549033097,-0.00144071053722283,0.000773974892493911,0.00129122082526123,0.00162956886216885,-0.000481177565395415,0.000120254716161078,0.000978597489879331
"T+14",0.00189139514022786,0.00147976362332211,0.0010839332193999,-0.00144067064778101,0.000766997318888453,0.00128855523370497,0.0016211273932067,-0.00045747204038168,0.000118712894818924,0.00100518523367014
"T+15",0.00189135464349345,0.00146918937958347,0.00107694556120334,-0.00144058538595449,0.000760256824107407,0.00128646844485969,0.00161388092982549,-0.000434476197939106,0.000119467804643527,0.000984731439779909
"T+16",0.00189137403782977,0.00147595282821184,0.00108179035535642,-0.00144054637621931,0.000753745352862193,0.00128483481719263,0.00160766030261376,-0.000412168791993138,0.000119098194312312,0.00100046642233698
"T+17",0.0018913647496665,0.00147162682263837,0.00107843128573038,-0.00144054198809282,0.000747455123560855,0.00128355593526178,0.00160232029040754,-0.000390529212522157,0.000119279156345406,0.000988361593405366
"T+18",0.00189136919787115,0.00147439380221491,0.00108076024923104,-0.0014405474035714,0.000741378619008601,0.00128255476702017,0.00159773623008823,-0.000369537466515692,0.000119190557479579,0.000997673766643239
"T+19",0.00189136706757649,0.00147262399959978,0.00107914549526895,-0.00144055127161574,0.000735508577424314,0.00128177100559727,0.00159380110630956,-0.000349174159502684,0.000119233935287261,0.000990509966898376
"T+20",0.00189136808779829,0.00147375599252198,0.00108026506213091,-0.00144055231708702,0.00072983798376229,0.0012811574405002,0.00159042305321366,-0.000329420477632759,0.000119212697638123,0.000996021035633202
"T+21",0.00189136759920273,0.00147303195247087,0.0010794888262536,-0.00144055211672608,0.000724360061328853,0.00128067711303011,0.00158752320981341,-0.000310258170293927,0.000119223095522989,0.000991781403080415
