"","BAC","MSFT","JPM","XOM","GE","INTC","JNJ","CSCO","PFE","IBM"
"T+1",0.00278053279430618,-0.000855914419083634,0.0029536857591483,0.00037772304138154,0.00103513867104167,-0.0007196262202832,0.000859520231267269,0.000686180848507713,0.00107792626127112,-0.000514875502409879
"T+2",0.00108851929436437,-0.000227101210724893,0.00152214189127124,0.000113200653646718,0.00151821341529383,-0.000841224657910202,0.000484017003798571,0.000313431047815548,0.00116661380731727,0.000643370744777259
"T+3",0.00147736337932409,-0.000614455501513331,0.00171769523045593,0.000361285500015618,0.000583229633162182,-0.000875820466162052,0.000551395355617233,0.000417096007038427,0.0010774785304515,-0.000104786994688538
"T+4",0.00141681457714495,-0.000396734029494848,0.00168778832642823,0.000127444008937926,0.00108719344660524,-0.000844131498447766,0.000552074997983419,0.000395821403115396,0.001135723438093,0.00025183862422818
"T+5",0.00143587515454815,-0.000516916090217758,0.00168954334812755,0.000347847672503848,0.000874473940209158,-0.000863008670537622,0.000555408627995643,0.000401129829805001,0.00109803387258365,8.62534462514849e-05
"T+6",0.00143462743606792,-0.000450828062451377,0.0016872181627916,0.000140109497549301,0.00095471363654126,-0.000852533866882825,0.000556342508089563,0.000399964549620066,0.00112241560177979,0.000162928525953029
"T+7",0.00143586899964526,-0.000487140254241732,0.00168573314199017,0.000335910004424034,0.000926422167964072,-0.000858256347499765,0.000556751060180857,0.000400242487857216,0.00110664295863192,0.000127433799752055
"T+8",0.00143599487952731,-0.000467191929027434,0.00168436922751238,0.000151361167872309,0.00093593991025537,-0.000855141369698358,0.000556905273681967,0.000400179693784739,0.00111684634554698,0.000143864667577583
"T+9",0.00143611274940852,-0.000478150254526611,0.00168319497639714,0.000325304911002437,0.000932851296873493,-0.000856835544488711,0.000556966103633518,0.000400194389541405,0.00111024573315078,0.000136258676392363
"T+10",0.00143614347194643,-0.000472130504230146,0.00168217371829324,0.000161356839914814,0.000933824165585058,-0.000855914299461754,0.000556989773710097,0.00040019102839681,0.0011145156960915,0.000139779554508602
"T+11",0.00143615801474527,-0.000475437335321928,0.0016812869616348,0.000315883639957539,0.000933525644522699,-0.000856415223419624,0.000556999022634398,0.000400191808720176,0.00111175343974002,0.000138149710089721
"T+12",0.00143616297243916,-0.000473620793553377,0.00168051679246617,0.000170236717898406,0.000933615048848096,-0.000856142850655658,0.000557002631970249,0.000400191629316224,0.00111354035458149,0.000138904178927459
"T+13",0.00143616497518079,-0.000474618674499013,0.00167984791004956,0.000307514043899035,0.000933588898071197,-0.000856290950441429,0.000557004041044035,0.000400191670825294,0.00111238439212024,0.000138554928888432
"T+14",0.00143616571376067,-0.000474070508537685,0.00167926699007403,0.00017812535536752,0.000933596364905229,-0.000856210422811214,0.000557004591075973,0.000400191661260834,0.00111313218892667,0.000138716599700604
"T+15",0.00143616599953802,-0.000474371632555921,0.00167876246543439,0.000300078726748229,0.000933594287326485,-0.000856254208818517,0.00055700480578886,0.000400191663470597,0.00111264843613845,0.000138641760907225
"T+16",0.00143616610732157,-0.000474206216093234,0.00167832428949645,0.000185133402238671,0.000933594848744972,-0.000856230400662658,0.000557004889604179,0.000400191662960949,0.00111296137777995,0.000138676404420913
"T+17",0.00143616614852746,-0.000474297084321825,0.00167794373692816,0.000293473397082779,0.000933594702260594,-0.000856243346083258,0.000557004922322439,0.000400191663078626,0.00111275893456232,0.000138660367643909
"T+18",0.00143616616416764,-0.000474247167676088,0.0016776132298297,0.000191359156830707,0.000933594738791854,-0.000856236307154448,0.000557004935094369,0.000400191663051475,0.00111288989590121,0.000138667791204319
"T+19",0.00143616617012675,-0.000474274588388038,0.00167732618685283,0.000287605405293815,0.000933594730246899,-0.000856240134493883,0.000557004940080033,0.000400191663057742,0.00111280517647971,0.000138664354775095
"T+20",0.00143616617239265,-0.000474259525367822,0.0016770768921449,0.000196889944645472,0.000933594732047595,-0.000856238053420534,0.000557004942026242,0.000400191663056296,0.00111285998181722,0.000138665945527397
"T+21",0.00143616617325517,-0.000474267799937003,0.00167686038153009,0.000282392444036868,0.000933594731742078,-0.000856239184981076,0.000557004942785966,0.00040019166305663,0.00111282452802202,0.000138665209154633
