"","AAPL","MSFT","GE","DIS","JPM","XOM","PFE","INTC","JNJ","CVX"
"T+1",-0.00205209350625941,0.000582006253572569,-0.000458772900594545,-0.000313732792309516,0.000136597572695942,0.000600056340566872,-0.00051958538492972,0.000338819819618782,0.00196778239514632,-0.00131102008451406
"T+2",-0.000710901188134789,0.000543060117619021,0.000610151195580977,-0.000209543493284119,0.00298574799503455,0.00120871406369359,0.00142300513468523,0.0015122378010474,0.0016168856732827,-0.00145253962603357
"T+3",-0.00024158703484231,0.000748039402197529,0.000580717120261332,-6.28925854424684e-05,0.000252023209494689,0.000742485621769146,0.000846485296614636,0.000464319050423868,-0.00022062786826923,-0.00132482815833079
"T+4",-8.9231266611149e-05,0.000917138706879264,0.000490920979872882,1.91974679199686e-05,0.00107344010823955,0.000444148634931634,0.000269883251453719,0.00101267432276532,0.000884464139301971,-0.00123441397447807
"T+5",-4.14920837222907e-05,0.00103573879101576,0.000490265097577975,6.33848509103771e-05,0.00113734295504491,0.000312016960519444,3.89198077379391e-06,0.000740531859952417,0.000675112914546199,-0.00118748209736591
"T+6",-2.68024278287604e-05,0.00111668748811042,0.000497700497101905,8.7107090996126e-05,0.000971188296937556,0.000259804980955315,-8.05025205470832e-05,0.000874628185916902,0.00054654359160737,-0.00116492842300304
"T+7",-2.2325874698955e-05,0.0011716571560684,0.000498011705836682,9.98401723581551e-05,0.00103919575345128,0.000240151645251679,-9.70382468289059e-05,0.000808619464326704,0.000664934801666439,-0.00115435092347378
"T+8",-2.09688623184572e-05,0.00120894905427215,0.000497404902040835,0.000106674657678655,0.00103452787114396,0.00023292388939815,-9.62976208693738e-05,0.000841107570290451,0.000627330524847274,-0.00114943084552145
"T+9",-2.05586961436312e-05,0.00123424349615958,0.000497358102393648,0.000110343066538006,0.00102548133618654,0.000230296820108861,-9.38254425734637e-05,0.000825117925263841,0.00062203945333144,-0.00114714879356443
"T+10",-2.04349207449327e-05,0.00125139966216611,0.000497406884742687,0.000112312084263145,0.00103053233420841,0.000229347754923012,-9.24715133296366e-05,0.000832987513965868,0.000633353969031607,-0.00114609136957911
"T+11",-2.03976027676907e-05,0.00126303589530308,0.000497412456090007,0.000113368954130754,0.00102964054177524,0.000229005986941662,-9.19848618522306e-05,0.000829114357194923,0.000628205381335211,-0.00114560156505416
"T+12",-2.03863571371838e-05,0.00127092820320389,0.000497408596827943,0.00011393622881928,0.00102922644944965,0.000228883121006065,-9.1867327507786e-05,0.000831020599453146,0.000628568796212675,-0.00114537471230315
"T+13",-2.03829692595941e-05,0.00127628118192629,0.000497408000842898,0.00011424071339406,0.00102956987136867,0.000228838990282435,-9.1858629852558e-05,0.000830082408790208,0.000629509854309565,-0.00114526964997727
"T+14",-2.03819487819011e-05,0.00127991185373822,0.000497408300796551,0.000114404145428229,0.0010294759768537,0.000228823147089262,-9.18680395386758e-05,0.000830544155829577,0.000628903069889799,-0.00114522099317318
"T+15",-2.0381641426221e-05,0.0012823743663631,0.000497408360653265,0.000114491867539644,0.00102946355292169,0.000228817460738905,-9.18746131516603e-05,0.000830316898901155,0.000629033106889673,-0.00114519845919261
"T+16",-2.03815488589044e-05,0.00128404457196997,0.000497408337807293,0.000114538952365272,0.00102948496689837,0.000228815420103323,-9.18772957509209e-05,0.000830428747396351,0.000629095269019309,-0.00114518802325507
"T+17",-2.03815209808672e-05,0.00128517739327619,0.000497408332047034,0.000114564225135942,0.00102947689518644,0.000228814687842498,-9.18780533657557e-05,0.000830373699191817,0.000629031623658512,-0.0011451831901665
"T+18",-2.03815125851066e-05,0.00128594573227976,0.00049740833374562,0.000114577790290507,0.00102947716899438,0.000228814425088491,-9.18781654556782e-05,0.000830400792134079,0.000629053384766658,-0.00114518095186832
"T+19",-2.03815100566577e-05,0.00128646686021155,0.00049740833428269,0.000114585071384488,0.00102947837524294,0.000228814330807545,-9.18781375550298e-05,0.000830387457865929,0.000629055365224659,-0.00114517991526858
"T+20",-2.03815092951993e-05,0.00128682031658957,0.000497408334160158,0.000114588979510214,0.00102947775943985,0.000228814296978189,-9.18781074209652e-05,0.000830394020560574,0.000629049422137751,-0.00114517943519894
"T+21",-2.03815090658818e-05,0.00128706004929922,0.00049740833411132,0.000114591077195911,0.00102947785106653,0.000228814284839802,-9.18780932449761e-05,0.000830390790614954,0.000629052304004192,-0.0011451792128693
