"","AAPL","MSFT","JPM","BA","INTC","V","DIS","CSCO","WMT","JNJ"
"T+1",0.00263475946956142,0.00307662196483856,0.00197051001166885,0.00369392222444081,0.00378946867408173,0.00233845167309254,0.00103085651887044,0.00199934905134206,0.00089479839683727,0.00064685419709668
"T+2",0.00120155674823091,0.00195055497114855,0.000815042132040449,0.000900679650302223,-0.0010464860996859,0.00117245102288564,0.000193290468717636,0.00115866762849017,0.00107046773433387,0.000328702927160782
"T+3",0.00137361386077413,0.00247085148303842,0.00153310264547375,0.00257555864029622,0.00332815799195931,0.00172842067786986,0.00048329942320848,0.00335566006031437,0.000918132053856991,0.000200617321548749
"T+4",0.00137861343322406,0.00243112665037384,0.000913780271578435,0.00150973393280731,6.60585013621741e-05,0.00153225333389726,0.000498394027288432,0.00107909203293508,0.000874132276797753,0.000328311667387464
"T+5",0.00137656219129744,0.00236554088266651,0.00146225157282678,0.00218894282352403,0.00239091026152467,0.00158295194321633,0.000450392799933989,0.00328372854795418,0.000872884928840434,0.000259915934429181
"T+6",0.00137662682066758,0.00239925071796085,0.00097567348633604,0.0017560950938804,0.000754239332352884,0.00157657119797162,0.00046596061867941,0.00116610016635713,0.000875089125967471,0.000288732624923708
"T+7",0.00137664424872837,0.00239551229234955,0.00140739226086589,0.00203194145127142,0.00190246506169791,0.00157404266916946,0.000467215522015349,0.00319806811643694,0.000875652715444304,0.000278522433963427
"T+8",0.00137664259872303,0.00239175017766578,0.00102434481376764,0.0018561493447196,0.0010977042678989,0.001576431394655,0.000464474147295555,0.00124854844077692,0.000875654416886291,0.000281533723088573
"T+9",0.00137664251291393,0.00239391445860376,0.00136420823176833,0.00196817860996209,0.00166158184182162,0.00157527074399135,0.000465305783206276,0.00311893453777339,0.000875622989303052,0.000280872008127743
"T+10",0.00137664253472662,0.00239360354825191,0.00106266034925743,0.00189678429927847,0.00126651719298396,0.00157568608569957,0.000465398725708492,0.00132447360785809,0.000875615861330987,0.000280915856004813
"T+11",0.00137664253437489,0.00239339166116577,0.0013302123151934,0.00194228265711343,0.00154330160435374,0.00157557662966656,0.000465242687962592,0.00304609097262055,0.000875616040175327,0.000280974096194819
"T+12",0.00137664253417059,0.00239352941179459,0.00109282363287252,0.00191328734157839,0.00134938622168173,0.00157559145252558,0.000465286878027608,0.00139436024793611,0.000875616482485669,0.000280929371687573
"T+13",0.00137664253418576,0.00239350526874892,0.0013034495809847,0.00193176555404544,0.00148524324385854,0.00157559626075171,0.000465293333357515,0.00297904127592825,0.000875616571359183,0.000280951557064433
"T+14",0.001376642534187,0.0023934936041154,0.00111656918894388,0.00191998970923476,0.00139006193098298,0.00157559137390188,0.000465284480436501,0.00145868815685499,0.000875616566281256,0.000280942647050567
"T+15",0.00137664253418677,0.0023935022976624,0.00128238105230809,0.00192749425120561,0.00145674586684333,0.00157559379506461,0.000465286814711098,0.00291732466836107,0.000875616560129157,0.000280945666720079
"T+16",0.00137664253418677,0.00239350050417182,0.00113526249304102,0.00192271173656673,0.00141002716780538,0.00157559291633286,0.000465287244979164,0.00151789946510472,0.000875616559039212,0.000280944827390901
"T+17",0.00137664253418677,0.00239349988086367,0.00126579519463232,0.00192575955032538,0.00144275824141118,0.00157559315231444,0.000465286744277471,0.0028605169603194,0.000875616559142553,0.000280944988834256
"T+18",0.00137664253418677,0.00239350042494064,0.00114997849366944,0.0019238172313972,0.00141982688420963,0.00157559311821499,0.000465286866768458,0.00157240114372432,0.000875616559227191,0.000280944991980683
"T+19",0.00137664253418677,0.0023935002958374,0.00125273824703701,0.00192505503761422,0.00143589256995253,0.00157559310917998,0.000465286894632678,0.00280822770108425,0.000875616559240296,0.000280944968518894
"T+20",0.00137664253418677,0.00239350026388035,0.00116156342661497,0.00192426620514769,0.00142463696671687,0.00157559311916281,0.00046528686640095,0.00162256779364427,0.000875616559238452,0.000280944983782746
"T+21",0.00137664253418677,0.00239350029764471,0.00124245937669824,0.00192476891441808,0.00143252263099637,0.00157559311411604,0.000465286872780488,0.00276009749612433,0.000875616559237299,0.00028094497668551
