"","AAPL","MSFT","GE","JPM","PG","PFE","XOM","DIS","JNJ","V"
"T+1",0.000192765964790818,0.00198483358478202,-0.00156406013944698,0.000205885151068487,0.0020585567360823,-0.00151776668930595,-0.000347857689264396,-0.0011354232082747,0.00141070930052916,0.00508742231167197
"T+2",-0.000462398582558241,-0.000185708795689765,-0.000576638488216968,0.0013177910573434,0.00166935313931735,0.000599085135958254,0.00054822573069249,-0.00107618719152157,0.00102791361857096,0.000755282080044752
"T+3",0.000459149834767047,0.00116529658165783,-0.000429869880558007,0.000625702162117896,0.00127567348041433,-0.00054163079832352,0.000566646808754231,-0.000980845654214095,0.000274898162217355,6.08385669129564e-06
"T+4",-0.000433239630644611,0.000213165852455761,-0.000387713061187536,0.00128113634283431,0.00101704006942965,0.000428942962366585,0.000618274866029349,-0.00106233391309301,0.000936716106307816,0.000852550129265033
"T+5",0.000440971386832989,0.000886809211622928,-0.000359684576367852,0.000650922169146515,0.000849618024770045,-0.000494699436734812,0.00065956622207433,-0.000987800562552226,0.000452729035873511,0.000491225042839402
"T+6",-0.000415067637737272,0.000410144240440725,-0.000334602129281996,0.00125715042565143,0.000741308583404558,0.000401314949923439,0.00069412077566799,-0.00105578128793508,0.000796704037129194,0.00058993412790945
"T+7",0.000423190141367432,0.000747429919316906,-0.000311028002501311,0.000673987970951028,0.000671242448489546,-0.000470549522986197,0.000722958289759319,-0.000993770111066701,0.00055345882817448,0.00057668302441667
"T+8",-0.000397655270588633,0.00050876828641102,-0.000288724855989936,0.00123496242980037,0.000625916229165358,0.000378220880495168,0.000747028580375941,-0.0010503356827379,0.000725317886637816,0.000573168841598283
"T+9",0.000406139482151074,0.000677644045901893,-0.000267606016389857,0.000695331758982002,0.000596594416900385,-0.000448128823376636,0.000767119537262916,-0.000998737492790017,0.000603914537505442,0.000576393946201981
"T+10",-0.000380958788281235,0.000558148416048071,-0.000247606364880531,0.00121443072396501,0.000577625954817245,0.00035640181664399,0.000783889039090617,-0.00104580451797298,0.000689672874431343,0.000575086819962424
"T+11",0.000389789820394097,0.000642702916926386,-0.000228666316189326,0.000715082280630692,0.000565355139135248,-0.000426887300952867,0.000797886191313455,-0.00100287074718634,0.000629094198490468,0.000575426730258488
"T+12",-0.000364948742870792,0.000582872581477907,-0.000210729697754948,0.0011954316642374,0.000557417072420037,0.000335721338147843,0.000809569321364938,-0.00104203423089436,0.000671886219473116,0.000575387729241637
"T+13",0.000374112336795872,0.000625208223019084,-0.000193743344422145,0.000733358469835023,0.00055228188786441,-0.00040675286359271,0.000819320985532774,-0.00100630994141204,0.000641658474739389,0.000575372179210648
"T+14",-0.000349596913086927,0.000595251738047569,-0.000177656911535334,0.0011778508419956,0.000548959905149171,0.000316118496395523,0.000827460495546262,-0.0010388970541554,0.000663010972311798,0.00057538438000104
"T+15",0.000359079396321966,0.000616448794692519,-0.000162422722123862,0.000750270382227816,0.000546810893942113,-0.00038766757783362,0.000834254374223727,-0.00100917162273782,0.000647927837459131,0.000575379672870941
"T+16",-0.00033487623793135,0.000601449865050525,-0.000147995625154575,0.0011615823889706,0.000545420685273395,0.00029753710142093,0.000839925082584257,-0.00103628667524095,0.000658582373584983,0.000575380835066814
"T+17",0.000344664500087117,0.000612063031499702,-0.000134332861659014,0.000765919858033949,0.00054452135066954,-0.000369576769792065,0.000844658304185174,-0.00101155276770168,0.000651056143716583,0.000575380726800026
"T+18",-0.000320760768955543,0.000604553208814584,-0.000121393937997883,0.00114652833972385,0.000543939565540523,0.000279923927796291,0.000848609025206083,-0.00103411463373865,0.000656372577521033,0.000575380660585067
"T+19",0.000330842238645839,0.000609867121211226,-0.000109140505845365,0.000780401135332378,0.000543563205134846,-0.000352428620054339,0.000851906609367794,-0.00101353406844535,0.000652617115770441,0.000575380706443606
"T+20",-0.000307225624520847,0.00060610702378374,-9.75362485324146e-05,0.00113259804171853,0.000543319735255855,0.000263228524361317,0.000854659033860947,-0.00103230732359622,0.000655269926560324,0.000575380689570114
"T+21",0.000317588247202659,0.000608767649629421,-8.65467734115611e-05,0.000793801417539388,0.000543162233082188,-0.000336174009491648,0.000856956424986994,-0.00101518266720623,0.000653396014494568,0.00057538069351239
