"","AAPL","MSFT","GE","XOM","INTC","JPM","DIS","JNJ","PFE","CVX"
"T+1",-0.00133796269377477,-0.00370194943203653,-0.00409026256884449,-0.00119092589162703,-0.00104818408825567,0.00336815014062499,-0.000646478286734101,-0.00213544066127575,-0.00477351766608575,-0.00392217658510179
"T+2",0.00108123796567444,-0.00174700049354784,-0.00165332317091692,-0.00130862719311643,-0.000619025995391178,0.000476850188809782,0.00114313806326001,-0.00137755584412219,0.00102299804594399,0.00250414027615606
"T+3",0.000525499455025269,-0.00113008139718291,-0.00113723095368559,-0.00100447380665643,-0.000221431242593325,0.00101934542443694,0.00124473214867895,-0.000902248446498363,0.00215888771740593,-0.00502486428696656
"T+4",0.000186189691624563,-0.00078787007054202,-0.00097270595519704,-0.000777762400609058,-7.80395139185309e-05,0.000869880705491565,0.00112709239358641,-0.000604212359517597,0.00211234947851545,0.00224221915190024
"T+5",0.000211496627122458,-0.00053877938275568,-0.00097794192079562,-0.000629473419885697,-9.46277683155234e-06,0.000934203365232024,0.0010361867546498,-0.000417331770478752,0.001830660957603,-0.00495936778487986
"T+6",0.000253153468428885,-0.000343927238679956,-0.000937748945674938,-0.000533946188261394,2.00868030688651e-05,0.000898871168591332,0.000986433176608875,-0.000300150144133834,0.00155498095425676,0.002149904301948
"T+7",0.000254955051307885,-0.000189144943941954,-0.000968075354519025,-0.000472526319048004,3.32911622329407e-05,0.000919898209488755,0.000961973374258867,-0.000226672563450655,0.00133394359373458,-0.00487214256040791
"T+8",0.000250394174346761,-6.58102601478343e-05,-0.000937176601762184,-0.000433045715610556,3.91155979284572e-05,0.000907116028644094,0.000950477417287148,-0.000180599172669006,0.0011670067543508,0.00206319039636862
"T+9",0.000249674020541621,3.2527111429347e-05,-0.000966308205308226,-0.000407668438268246,4.16965629978909e-05,0.000914927310306225,0.000945186800993174,-0.000151709308326961,0.00104357869026828,-0.00478657938021678
"T+10",0.000250114432709534,0.000110943295411989,-0.000938332425612613,-0.000391356539219221,4.28383991794128e-05,0.000910147624092507,0.000942776967481303,-0.000133594204412486,0.000953044185545876,0.00197867140602343
"T+11",0.000250246436036495,0.000173475469049672,-0.000965078522819681,-0.000380871651091763,4.33438465131412e-05,0.000913073208982246,0.000941684980774803,-0.000122235307536165,0.000886839449029154,-0.00470310489988404
"T+12",0.000250210949597573,0.000223341348374806,-0.000939480481387514,-0.000374132222929764,4.35675430335354e-05,0.000911282359256604,0.00094119146161646,-0.000115112823510897,0.00083848318825734,0.00189622665957458
"T+13",0.000250191853254908,0.000263106611815402,-0.000963973366221925,-0.000369800284332295,4.36665518853126e-05,0.000912378619429351,0.000940968717591696,-0.000110646740295022,0.000803179625680356,-0.00462167745170803
"T+14",0.000250193758934425,0.000294817202440957,-0.000940536449909321,-0.000367015820793102,4.37103724187721e-05,0.000911707545935877,0.000940868254079264,-0.000107846326953222,0.000777410022840997,0.0018158039188787
"T+15",0.000250196157646232,0.000320104639514984,-0.000962962583057354,-0.000365226036144592,4.37297672164065e-05,0.000912118342695684,0.00094082295840533,-0.00010609035544399,0.000758600957276381,-0.00454224702718686
"T+16",0.000250196210101819,0.00034026996807314,-0.0009415035613905,-0.000364075606611975,4.37383512506677e-05,0.000911866873930441,0.000940802539804165,-0.000104989290863556,0.000744872706466929,0.00173735356580899
"T+17",0.000250195941693396,0.000356350699200508,-0.00096203715937206,-0.000363336138815882,4.3742150502918e-05,0.000912020810256556,0.000940793336271142,-0.000104298879200317,0.000734852913964893,-0.0044647646528323
"T+18",0.000250195905438345,0.000369174190418355,-0.000942389071822345,-0.0003628608271119,4.37438320329962e-05,0.000911926578303544,0.000940789188046675,-0.000103865963390286,0.000727539830647303,0.00166082722651337
"T+19",0.000250195932047243,0.000379400213459336,-0.000961189835561717,-0.000362555308444103,4.37445762699208e-05,0.000911984262290336,0.000940787318401618,-0.000103594507810153,0.000722202284481494,-0.00438918255232758
"T+20",0.000250195939192909,0.000387554899687874,-0.000943199854566808,-0.000362358928562036,4.37449056654987e-05,0.000911948951100989,0.000940786475745165,-0.000103424294271452,0.000718306611372492,0.00158617771407997
"T+21",0.000250195936955353,0.000394057809687156,-0.00096041401776281,-0.000362232700405967,4.37450514543531e-05,0.000911970566806884,0.000940786095959044,-0.000103317563554245,0.000715463307543271,-0.00431545412100153
