"","AAPL","MSFT","INTC","XOM","GE","JPM","JNJ","PFE","V","CVX"
"T+1",0.00203489676040243,1.82461245279673e-05,0.000164303454367513,-0.000717219055033027,-0.000590893299223565,0.000347210277740917,0.00169765122645907,0.00124559601142106,-0.00302844001000171,-0.00045945120852711
"T+2",0.00247870981603013,0.000378292806887898,-6.60884948325174e-05,-0.000490415560724679,-0.00175077903277347,0.000321581587302521,-0.000699066688750986,0.00146181402180769,0.000435414448837103,-0.00080187810433601
"T+3",0.00155777634659779,0.000539452075279807,0.00199507489526584,-0.000607559084149051,-0.000199334714132277,0.000347916726288735,0.000192423174643338,0.000859731936790633,-0.00024927049794395,-0.000624974898164677
"T+4",0.00159384032815653,0.000612328171044577,0.000371555289876927,-0.000582415587295212,-0.000338048963031939,0.000372258297299232,0.000144134490940152,0.000824978114291993,0.000784485153231793,-0.000649164241520448
"T+5",0.00165203319780867,0.000645282918018974,0.00137869549742674,-0.000591323219134147,-0.000145843264712804,0.000395131431945182,0.000256433735159358,0.000773521048493669,-1.75583483941645e-05,-0.000631813421198447
"T+6",0.00164552530264987,0.000660185134473476,0.000803767153389017,-0.000589006315042463,-0.000162409590678436,0.000416621686787659,0.000286873473368589,0.000766267401618722,0.000688602567286889,-0.000633171540433858
"T+7",0.00164214820854956,0.000666923952872844,0.00112035382584271,-0.000589730369833817,-0.000138595436764971,0.000436812693042866,0.000313180914638958,0.000761498588118332,8.49123223196563e-05,-0.000631396483660292
"T+8",0.00164281712630212,0.000669971262885976,0.00094896402693261,-0.000589528034787073,-0.000140570957654844,0.00045578299993128,0.000326324250417946,0.000760501850401058,0.000604423822727097,-0.000631414884664346
"T+9",0.00164299244421986,0.000671349263859708,0.00104097731067324,-0.000589588505030121,-0.000137620135259172,0.0004736064079835,0.000334489119502781,0.000760031789751355,0.000158021468841603,-0.000631224582383774
"T+10",0.00164293587841899,0.000671972399239904,0.000991784537116808,-0.000589571153658869,-0.000137855332531915,0.00049035225592704,0.000339100564398255,0.000759910870670187,0.00054173272899827,-0.000631212822699921
"T+11",0.00164292832654365,0.000672254182569127,0.00101802886280091,-0.000589576256168342,-0.000137489661814973,0.000506085690437803,0.000341811865251643,0.000759862573183169,0.00021193364400612,-0.000631191428615769
"T+12",0.00164293259385974,0.000672381605673563,0.00100404251551532,-0.000589574777782449,-0.000137517614011696,0.000520867919581352,0.000343378745422005,0.000759848659902843,0.000495400210342103,-0.000631188613693027
"T+13",0.00164293278926723,0.000672439226710225,0.00101149217677411,-0.000589575209980651,-0.00013747229539272,0.000534756450931765,0.000344290926084675,0.000759843568473666,0.000251757991304156,-0.000631186100700039
"T+14",0.00164293249389883,0.000672465283082661,0.00100752530470577,-0.000589575084312143,-0.000137475610991226,0.000547805315294389,0.000344820302601669,0.000759842007921812,0.000461170988295515,-0.000631185615284291
"T+15",0.00164293250196499,0.000672477065837429,0.00100963732664007,-0.000589575120971951,-0.000137469994013664,0.000560065276902864,0.000345127932981098,0.000759841463064663,0.000281178396082356,-0.00063118530892345
"T+16",0.0016429325208774,0.000672482394027693,0.0010085129357193,-0.000589575110298722,-0.000137470386468348,0.000571584030908141,0.000345306600616682,0.000759841290299294,0.000435883859328208,-0.000631185234389426
"T+17",0.00164293251900344,0.000672484803448245,0.00100911151304795,-0.000589575113409864,-0.000137469690213214,0.000582406388927789,0.000345410393682445,0.0007598412314924,0.000302912941911579,-0.000631185195931484
"T+18",0.00164293251788879,0.000672485892994058,0.00100879286221923,-0.00058957511250365,-0.000137469736558534,0.000592574453377451,0.000345470683732507,0.000759841212496976,0.000417202796634697,-0.00063118518510699
"T+19",0.0016429325180915,0.000672486385689315,0.00100896249340075,-0.000589575112767727,-0.000137469650245976,0.000602127781262629,0.000345505705835061,0.000759841206119693,0.000318969505178014,-0.000631185180173258
"T+20",0.00164293251815065,0.000672486608487305,0.00100887219205898,-0.000589575112690793,-0.000137469655704858,0.00061110353806802,0.000345526049564156,0.000759841204038825,0.000403402017363137,-0.000631185178648286
"T+21",0.00164293251813308,0.000672486709237096,0.00100892026289105,-0.00058957511271321,-0.000137469645003976,0.000619536642343079,0.000345537866977371,0.000759841203345432,0.000330831415197725,-0.000631185178005497
