"","AAPL","MSFT","GE","XOM","INTC","JPM","DIS","JNJ","PFE","CVX"
"T+1",0.003549424755174,0.00174905939623071,0.00420828077117992,0.0017762045492411,-0.0014661367465478,-0.00209043407678035,-0.00355462359476221,-0.000873866829738989,0.00547331099233562,0.000300111305164384
"T+2",0.000617171679147419,0.00026407466431174,0.00243852647115891,0.00245195942013836,0.000463196549907333,0.00180779422225412,0.0027682533589287,-0.000180118349331215,0.00430316707489751,-0.00100215491401304
"T+3",0.00036399319011437,0.000125867861778653,0.000366665228726331,0.0022125721226806,-0.000126966486250522,0.00020800065194329,0.00127714329784385,-0.000114967739385139,0.00405334005251789,-0.00170683879909245
"T+4",0.000522615847231558,0.000105465845917865,8.15499996976886e-05,0.0020345889508585,-0.000248220484739474,0.00123092053515878,0.0014420378641133,-0.00030222906633528,0.00394964160062307,-0.00153530506945978
"T+5",0.000589977471824757,9.58661829721772e-05,-0.000121614922439434,0.00186569946796764,-0.000311340354025881,0.000506319848037715,0.00127869945929089,-0.000129913377433051,0.00387046342378877,-0.00161051212317591
"T+6",0.000597353906316402,8.77198766992289e-05,-0.000159576991273228,0.00170786254556912,-0.000336996148828783,0.00102831798461277,0.00120006443262752,-0.000265852565246614,0.00379667123627929,-0.00158203813842002
"T+7",0.000594173857768069,8.01795768243819e-05,-0.000180109664690909,0.0015602290026935,-0.000347960030119685,0.000651301330645737,0.00111773211699709,-0.000162979702858144,0.00372522293413218,-0.00159315465157228
"T+8",0.000592639870941377,7.3140082929911e-05,-0.000184766411384573,0.00142214587917895,-0.000352594342359585,0.000923710767547098,0.00104845661773537,-0.000239845248582747,0.00365560424482432,-0.00158884372061129
"T+9",0.000592437417583157,6.65628506075126e-05,-0.000186891576905815,0.00129299500827563,-0.000354557841609878,0.000726872515514026,0.000987204779471501,-0.000182643207519876,0.00358769872812265,-0.00159051791640982
"T+10",0.000592499584239427,6.04170644346566e-05,-0.000187438796240286,0.00117219860328713,-0.0003553893274339,0.000869105638500884,0.000933692434305159,-0.000225157036567513,0.00352145328571528,-0.00158986793048441
"T+11",0.000592534218797945,5.46743828224746e-05,-0.000187662735595692,0.00105921623250238,-0.000355741476664968,0.000766329432553809,0.000886807955687769,-0.000193572938281711,0.00345682561573263,-0.00159012029687442
"T+12",0.000592539558227836,4.93083624964237e-05,-0.000187725466006268,0.000953542424551087,-0.000355890614667237,0.000840594487389667,0.000845758479491845,-0.000217034053659685,0.00339377594090538,-0.00159002231345469
"T+13",0.000592538383104327,4.42942980181027e-05,-0.000187749372847518,0.00085470440575516,-0.000355953776122265,0.000786931302508087,0.000809811946461252,-0.000199607555644566,0.00333226568941009,-0.00159006035648285
"T+14",0.000592537607763489,3.96091046705475e-05,-0.000187756456264411,0.000762259985052619,-0.000355980525608793,0.000825707782664755,0.000778335226817587,-0.000212551467944885,0.00327225726797289,-0.00159004558591273
"T+15",0.000592537470958348,3.52312118830876e-05,-0.00018775903205128,0.000675795575677171,-0.000355991854277525,0.000797688286286959,0.000750772259599111,-0.000202937137125495,0.00321371400696986,-0.00159005132072895
"T+16",0.000592537492128452,3.11404638951885e-05,-0.00018775982434827,0.000594924344814025,-0.0003559966520791,0.000817934893874287,0.000726636470392054,-0.000210078349296345,0.00315660013300637,-0.00159004909413135
"T+17",0.000592537509336153,2.73180269573742e-05,-0.000187760103646927,0.000519284482949921,-0.000355998683994832,0.000803304897914517,0.000705501712802313,-0.00020477409166428,0.00310088074627016,-0.00159004995862931
"T+18",0.000592537512764057,2.37463026207018e-05,-0.000187760191729636,0.00044853758517483,-0.000355999544530947,0.000813876386538486,0.000686994842455227,-0.000208713919266751,0.00304652179908204,-0.00159004962297965
"T+19",0.00059253751241068,2.04088467137187e-05,-0.000187760222147202,0.000382367137193428,-0.000355999908976379,0.000806237534686848,0.000670789108417497,-0.000205787545423834,0.00299349007507142,-0.00159004975329886
"T+20",0.000592537512032164,1.72902936337144e-05,-0.000187760231901059,0.000320477099272908,-0.000356000063322572,0.000811757292564559,0.000656598388491911,-0.000207961159246545,0.00294175316887617,-0.00159004970270117
"T+21",0.000592537511947802,1.43762856036889e-05,-0.00018776023522357,0.000262590581791874,-0.000356000128689688,0.000807768770778786,0.000644172136654938,-0.000206346670708747,0.00289127946634066,-0.00159004972234621
