"","BAC","MSFT","XOM","JPM","INTC","GE","CSCO","IBM","PFE","CAT"
"T+1",-0.00356227755532783,0.000891547720221589,0.000554236882338723,-0.00141304280176088,0.000509844156822755,-0.00120930963056631,0.000268463386412049,0.002178624109394,0.00148546684821564,0.000459568980416677
"T+2",-0.00217504446905678,-0.000354500478690852,-0.00151469607819013,-7.68471020875689e-05,0.000138928594348498,-0.000445559074068218,-0.000522882160293627,-0.000132145664389164,0.00101980272394538,0.000712871818319989
"T+3",-0.00358324016926263,0.000623511516880753,0.00176835693667197,-0.00125304132059617,0.000729021658219118,-0.000160829242988394,-5.541217842004e-06,0.00176492800052434,0.000473834492843075,0.00139708449937926
"T+4",-0.00245910250640726,-0.000112054777991451,-0.000914309064724736,-0.000334358870730864,0.0008452168329002,-0.000279186282226064,-0.000448065232959164,0.000148108127478657,0.000428742586505602,0.000986655552588199
"T+5",-0.00336497993240756,0.000441997982450519,0.00140499082913746,-0.0010541895980951,0.000903799877897968,-0.000177014539932422,-7.41401941371132e-05,0.00152154875382221,0.000450125156461944,0.0012905480083896
"T+6",-0.00263528656008434,2.46896545266808e-05,-0.000587721744966173,-0.000490218782938413,0.000923574025221433,-0.000254004468869104,-0.000390255464883785,0.000354519100370074,0.000455024099799471,0.00107217435496863
"T+7",-0.00322307245130219,0.000339003721562666,0.00112554068111773,-0.000932078046828764,0.000931291079544151,-0.000194847628991464,-0.000123017720227774,0.00134613427233492,0.000454577605957609,0.00122971360525728
"T+8",-0.00274959688316475,0.000102264315001153,-0.000347353699647999,-0.000585890637559829,0.000934136452157156,-0.000240168693286921,-0.000348935528993625,0.000503565488772108,0.000454279536780664,0.00111612092835011
"T+9",-0.00313099276999646,0.000280574968693845,0.000918905829417777,-0.000857121168106316,0.000935208516383005,-0.000205432187192498,-0.000157948830105041,0.00121949041940026,0.000454264430560637,0.00119803188687486
"T+10",-0.0028237692677386,0.000146272489527878,-0.000169707078920537,-0.000644617770447145,0.000935609093174893,-0.000232054364697723,-0.000319405420885243,0.000611173894333103,0.000454277291183935,0.0011389669579369
"T+11",-0.00307124514150784,0.000247428284409705,0.000766181769775503,-0.000811109698644815,0.000935759247371618,-0.000211650835314172,-0.000182913032374968,0.00112805629124667,0.00045427964330839,0.00118155796350061
"T+12",-0.0028718974104665,0.00017123836668281,-3.84090280442613e-05,-0.000680666785918141,0.00093581546294306,-0.000227288301353814,-0.00029830115020437,0.000688864848531961,0.000454279300595615,0.0011508461097217
"T+13",-0.00303247677226881,0.000228624140478691,0.000653303832442764,-0.000782866055665422,0.00093583651915142,-0.000215303590590641,-0.000200754188930347,0.00106204281803448,0.000454279141469317,0.00117299205275201
"T+14",-0.0029031262584599,0.000185401531340874,5.86329977721655e-05,-0.000702795084245434,0.000935844404579026,-0.000224488792781115,-0.000283218569429767,0.000744956045893944,0.000454279138566958,0.0011570228834914
"T+15",-0.00300732118883475,0.000217956532643559,0.000569876060917273,-0.000765529000837936,0.000935847357830609,-0.000217449161924315,-0.000213504721224388,0.00101438251069982,0.000454279146076856,0.00116853805656945
"T+16",-0.00292338968213925,0.000193436307442935,0.000130356490803469,-0.000716378300887109,0.000935848463853412,-0.000222844405440522,-0.00027243950739715,0.000785452683549484,0.000454279147157559,0.00116023460578583
"T+17",-0.00299099851676138,0.000211904789084179,0.000508214825593669,-0.000754886837208033,0.000935848878074452,-0.000218709436832857,-0.00022261713909241,0.000979972794247751,0.000454279146920895,0.00116622212281654
"T+18",-0.00293653798460931,0.000197994443182287,0.000183367126244464,-0.000724716211539152,0.000935849033205427,-0.000221878518142112,-0.000264736039400568,0.000814690384624392,0.0004542791468379,0.00116190459735306
"T+19",-0.00298040724487483,0.000208471629497277,0.000462641177010244,-0.000748354260143902,0.000935849091304012,-0.000219449702521583,-0.000229129507163525,0.000955129719317549,0.000454279146839251,0.00116501791227679
"T+20",-0.00294506950724732,0.000200580277703927,0.000222547140366674,-0.00072983434783009,0.00093584911306268,-0.000221311171112274,-0.000259230604976424,0.000835799375731675,0.000454279146843526,0.00116277293887796
"T+21",-0.0029735348994849,0.00020652399496295,0.000428957819317113,-0.00074434430835375,0.000935849121211584,-0.000219884522961282,-0.000233783698675364,0.000937193553733406,0.000454279146843992,0.00116439176179981
