"","BAC","MSFT","JPM","XOM","GE","INTC","PFE","JNJ","CSCO","IBM"
"T+1",0.00394130757439763,-0.000470750448557309,0.000837737284050877,0.00253849492609342,0.00101604563850923,0.000773041839621459,0.000886580945193539,0.00171096889328428,0.000628085681671693,0.00188555617695957
"T+2",0.00399116842622238,0.000888052683341558,0.000671361271525407,-0.000630186390422861,0.000544039314888555,0.000647335525719443,0.000827951667331359,0.00135283920560157,0.00118876035321811,0.00228674704681416
"T+3",0.003872143175054,0.000268166756510686,0.000822246261774217,0.000119123624558758,0.000557709334819155,0.000133070165899672,0.000977961790623551,0.00135999060949765,0.000874431699609003,0.00226915356704376
"T+4",0.00375673148906482,0.000517056312725953,0.000919160195954821,0.000171306045498517,0.000598826023647301,-0.000123177654029918,0.00086539800180773,0.00137966580425309,0.000973238955491002,0.00220355936111189
"T+5",0.00364856027674398,0.0004179152278845,0.000997964288289154,7.69319878862278e-05,0.000598570889635565,-0.000204890888287968,0.00094617016947039,0.00136527053570033,0.000944682941190978,0.00213433958301221
"T+6",0.00354726133181071,0.000457385529790591,0.00106038697795786,0.000105411650420301,0.000595010285245758,-0.000221557364772915,0.000888382074169721,0.00137408296659393,0.00095279145131997,0.00206674248639886
"T+7",0.00345240009882177,0.00044167207105942,0.00110996433685694,0.0001047617807245,0.000594952089759548,-0.000221959278714007,0.000929717993673074,0.00136885051531264,0.000950498088848792,0.00200132824179896
"T+8",0.00336356749961464,0.000447927716048521,0.00114932906957013,0.000102116576103379,0.000595258619691197,-0.000220473118581013,0.000900150747688468,0.00137193901882026,0.000951146151460497,0.00193809733211161
"T+9",0.00328038040281259,0.000445437297571183,0.00118058577100645,0.000103128279589484,0.000595270560130162,-0.000219654709605318,0.000921299937789871,0.00137011812944089,0.00095096305779765,0.00187698538115061
"T+10",0.00320248002464453,0.000446428751551785,0.00120540439889831,0.000103033725902938,0.000595244327391135,-0.000219377822107512,0.000906172109727316,0.00137119142238211,0.000951014783892463,0.00181792239802051
"T+11",0.00312953038278948,0.000446034046403278,0.00122511103579778,0.000102965318416677,0.000595242703778962,-0.000219316268790928,0.000916992910892915,0.00137055881688452,0.000951000170820115,0.00176083980680436
"T+12",0.00306121684732372,0.000446191181436571,0.00124075861826328,0.00010299933773676,0.000595244935205715,-0.000219312250020747,0.000909252887847519,0.00137093167506087,0.000951004299130548,0.00170567121925879
"T+13",0.00299724478373082,0.000446128624819863,0.0012531832059282,0.000102994082945838,0.000595245125874424,-0.000219316412869209,0.000914789257643548,0.00137071191255958,0.000951003132850286,0.00165235245977753
"T+14",0.00293733828215053,0.00044615352907076,0.00126304865184851,0.000102992524925464,0.00059524493724798,-0.000219318999762176,0.000910829141460616,0.00137084144046739,0.000951003462333619,0.00160082150298681
"T+15",0.00288123896738671,0.000446143614504637,0.00127088207262948,0.000102993613092666,0.000595244916511683,-0.000219319929398467,0.000913661777422464,0.00137076509678912,0.000951003369251993,0.00155101840305991
"T+16",0.00282870488454177,0.000446147561566599,0.00127710201257212,0.00010299338134158,0.000595244932352506,-0.000219320152435695,0.000911635618057005,0.00137081009371084,0.000951003395548282,0.00150288522415842
"T+17",0.0027795094554714,0.000446145990212095,0.00128204080674285,0.00010299335427582,0.000595244934502361,-0.000219320174495246,0.000913084911870093,0.00137078357255015,0.000951003388119374,0.00145636597305667
"T+18",0.00273344050155893,0.000446146615779923,0.00128596233783252,0.000102993387372172,0.000595244933181256,-0.0002193201633337,0.000912048244867258,0.00137079920410753,0.000951003390218099,0.00141140653400747
"T+19",0.0026902993285944,0.000446146366736753,0.00128907613556443,0.000102993378270247,0.000595244932965608,-0.000219320155249057,0.00091278976357455,0.0013707899908763,0.000951003389625193,0.0013679546057897
"T+20",0.00264989986981155,0.000446146465882677,0.00129154857199132,0.000102993378181386,0.000595244933074967,-0.000219320152155593,0.000912259361823786,0.00137079542114967,0.000951003389792693,0.00132595964086639
"T+21",0.00261206788338667,0.000446146426411953,0.00129351175085241,0.000102993379132838,0.000595244933096076,-0.000219320151360125,0.00091263875348909,0.00137079222054956,0.000951003389745373,0.00128537278658293
