"","AAPL","MSFT","JPM","GE","INTC","DIS","V","XOM","GS","BA"
"T+1",0.00128553858082778,0.00172477314157534,0.00121462123693096,-0.00125766994529444,0.000600101615193234,0.00207088963157753,0.00139167230425398,-0.000356914756334385,0.00098012269277557,-0.000893526472845841
"T+2",0.00205483514349964,0.00148971625409109,5.26373108543227e-05,-0.00275788068956911,0.00054683032421693,-0.00152033523798317,0.00145648271484075,0.000797509704837002,-0.000248189786806688,0.00540560724702775
"T+3",0.00168883971092887,0.00130591111376717,0.0015314196433383,-0.00258363705844971,0.000707911571348034,0.00182091134807377,0.00145160178617625,-0.0004716973556065,0.000614276073097878,-0.00018225677232225
"T+4",0.00158702308419283,0.00132790374916021,0.000459398494402626,-0.0021410446141315,0.000786234850936615,-0.00137816392574222,0.00144739045521219,0.000379736286731693,0.000128163809345368,0.00544215807662981
"T+5",0.00158311988805421,0.00133615425778595,0.00128582762674272,-0.0018376667905228,0.000842900589338116,0.00169986317170981,0.00144447576484731,-0.000144595894917171,0.000406946785598701,-0.000167937279376631
"T+6",0.00158666649886354,0.00133457957849891,0.000653991744315416,-0.00169628084816166,0.000880099484436015,-0.0012641382778998,0.00144246833998279,0.000171688893761418,0.00024730588954493,0.00543132392935419
"T+7",0.00158750359632335,0.00133424095291642,0.00113758266029301,-0.00165039347600292,0.000905040829298287,0.00159045536565424,0.00144108594133639,-1.80823451607703e-05,0.000338733639677118,-0.000156889201822952
"T+8",0.00158751305388127,0.00133434008946092,0.000767508188656247,-0.0016443422719298,0.000921684679775861,-0.00115883238631203,0.00144013396537414,9.56211022030392e-05,0.00028637274008984,0.00542031363364134
"T+9",0.00158747960176471,0.00133435212472315,0.00105071808949988,-0.00164915596871248,0.000932803154721844,0.00148904442301718,0.00143947839603713,2.75196478235397e-05,0.000316359985869145,-0.000145899511668894
"T+10",0.00158747285805659,0.00133434638460905,0.000833984293651629,-0.00165409239239602,0.000940228808458882,-0.00106116375971862,0.00143902694434941,6.83043027662411e-05,0.000299186200792888,0.00540934567232643
"T+11",0.00158747298735604,0.00133434607652923,0.000999845564176221,-0.00165688485124395,0.0009451884110245,0.00139497863113189,0.00143871605637032,4.38797837920421e-05,0.000309021678785364,-0.000134953157168257
"T+12",0.00158747329582753,0.00133434638789911,0.000872915845000136,-0.0016580085700815,0.000948500896621853,-0.000970567677537266,0.00143850196627349,5.85066838977406e-05,0.000303388871174663,0.0053984208874555
"T+13",0.00158747334889699,0.001334346386908,0.000970052166538064,-0.00165829474501262,0.000950713289482966,0.00130772423916634,0.00143835453513223,4.97472146459755e-05,0.000306614796910564,-0.000124049899058191
"T+14",0.00158747334597544,0.00133434637097361,0.000895716029848657,-0.00165828264005206,0.000952190934954317,-0.000886531709793377,0.00143825300805678,5.49929102264348e-05,0.000304767299610331,0.00538753911371378
"T+15",0.00158747334318676,0.00133434637188476,0.000952603722639389,-0.00165821441231679,0.000953177846663638,0.00122678798144175,0.00143818309238658,5.18514734690034e-05,0.000305825366830039,-0.000113189567349173
"T+16",0.00158747334278079,0.00133434637265375,0.000909068912584214,-0.00165816460571481,0.000953836999831925,-0.000808580827535404,0.00143813494561472,5.37327539253156e-05,0.00030521940857436,0.00537670018178704
"T+17",0.0015874733428212,0.00133434637256545,0.000942385076302007,-0.00165814048049158,0.000954277244787919,0.00115171235751775,0.00143810178979094,5.26061305367982e-05,0.000305566442676529,-0.000102371993037417
"T+18",0.00158747334284595,0.00133434637253073,0.000916889001701847,-0.00165813224683479,0.000954571282092641,-0.000736274406560883,0.00143807895734323,5.32808200826214e-05,0.000305367695210116,0.00536590392300608
"T+19",0.00158747334284895,0.00133434637253714,0.000936400546474026,-0.00165813090482308,0.000954767668071444,0.00108207299601895,0.00143806323399184,5.28767755832738e-05,0.000305481518477509,-9.15970077859751e-05
"T+20",0.00158747334284847,0.00133434637253857,0.000921468821282323,-0.00165813157213795,0.000954898833240108,-0.000669203728679078,0.00143805240625308,5.31187416229695e-05,0.000305416331552444,0.00535515016936565
"T+21",0.00158747334284826,0.00133434637253817,0.000932895718527201,-0.00165813236010781,0.000954986437770614,0.00101747625453958,0.00143804494983213,5.29738378698976e-05,0.00030545366429905,-8.08644439206528e-05
