"","MSFT","JPM","XOM","GE","PFE","CSCO","VZ","V","INTC","JNJ"
"T+1",-7.18545116171823e-05,0.000722438916244148,0.00102516576696192,0.00031058152848943,0.000464280848965408,0.000324993922094884,-5.44559262989712e-05,0.000573037110560647,-8.7175745951136e-05,0.000341284325608166
"T+2",-0.00118242141224869,0.000971728659985122,-0.00037867260331784,0.000303481451597141,0.000615922838076172,0.000284619341998676,-0.000313548046507987,0.000870191941831138,-0.000992546642316182,-0.000267670600013262
"T+3",-0.000732939543752346,0.000957460394161338,0.000682495312616526,0.000531148106471567,0.000535581789765251,0.000200159936717984,5.04682255267425e-05,0.000651210001813612,-0.000769265748055757,-0.000282298027884711
"T+4",-0.000266525533755473,0.000922873263204347,0.000431114394797631,0.000630767541421656,0.000584101350490056,0.00017319407889658,0.000238361152082995,0.00079468665771348,-0.000501196389512607,-0.000239819242666846
"T+5",7.14891653111832e-05,0.000888252427122538,0.000572312335067366,0.000640177151300503,0.000554317471195801,0.000166428104439171,0.000286325050024668,0.000703231428507342,-0.00028020420948191,-0.000193789074032077
"T+6",0.000303633294071323,0.000855213568019287,0.000531626164830681,0.000629496075235348,0.000572634618240421,0.000164879202551728,0.000289216006995867,0.000761118244454387,-0.00010448713906225,-0.000149451869744665
"T+7",0.000461455128454241,0.000823812839657176,0.000551055403482834,0.000623478037934963,0.000561367144350146,0.000164539890423442,0.000285781938213382,0.000724545988553742,3.46267753890984e-05,-0.000107231166973458
"T+8",0.000568535534767093,0.000793979730087628,0.000544773816365159,0.000622454548551442,0.000568298301322372,0.000164467276881306,0.000283965392773423,0.000747640764850786,0.000144703806209579,-6.7073844891176e-05
"T+9",0.000641159767949677,0.000765636875725184,0.000547507884105613,0.0006229027813082,0.00056403460669217,0.00016445193947369,0.000283493284553226,0.00073305865196524,0.000231799065200231,-2.88838433486646e-05
"T+10",0.000690411234303429,0.000738709908855809,0.00054656160949414,0.000623248435009183,0.000566657415205667,0.000164448724232514,0.000283461590470442,0.000742265534072613,0.000300710110973176,7.43473991345978e-06
"T+11",0.000723811509515555,0.000713128104100482,0.000546951871055316,0.000623331695920748,0.00056504399648413,0.000164448053174912,0.000283493947417557,0.000736452526748609,0.000355233486901736,4.19735620013558e-05
"T+12",0.000746462103375952,0.00068882426313954,0.000546811237003299,0.000623316547708463,0.000566036489823974,0.000164447913481982,0.000283511502212638,0.000740122713363754,0.000398373133513312,7.48198338281268e-05
"T+13",0.000761822728013602,0.000665734544099959,0.000546867436134843,0.000623297657285027,0.000565425958275698,0.000164447884447324,0.000283516146263204,0.000737805451269032,0.000432505816061671,0.000106056497132246
"T+14",0.000772239618726999,0.000643798294348579,0.000546846694942773,0.000623291722363552,0.000565801526308747,0.000164447878418144,0.000283516488982215,0.000739268511137939,0.000459512064543537,0.000135762429603341
"T+15",0.000779303889360825,0.000622957891209727,0.000546854831208131,0.000623291950771249,0.000565570495909339,0.000164447877166847,0.000283516184497937,0.000738344772690843,0.000480879780247295,0.000164012643630284
"T+16",0.000784094562578483,0.000603158590604024,0.00054685178571556,0.000623292928699782,0.000565712614089678,0.000164447876907238,0.000283516014924599,0.000738927997429085,0.000497786211167924,0.000190878475676814
"T+17",0.000787343383447121,0.000584348383245601,0.000546852967431355,0.000623293318261791,0.00056562519019553,0.000164447876853387,0.000283515969269617,0.000738559764304912,0.000511162812131533,0.000216427766413609
"T+18",0.000789546588832876,0.000566477858022859,0.000546852521400941,0.000623293342077809,0.00056567896893974,0.000164447876842218,0.000283515965604427,0.000738792257244154,0.0005217465630237,0.000240725032026769
"T+19",0.000791040704442173,0.000549500072204159,0.000546852693362118,0.000623293294689652,0.000565645886984778,0.000164447876839901,0.000283515968465744,0.000738645467172219,0.000530120572478879,0.000263831627131825
"T+20",0.000792053946997027,0.000533370428127506,0.000546852628136551,0.00062329327064558,0.000565666237325051,0.000164447876839421,0.000283515970103051,0.000738738146654391,0.000536746204078668,0.000285805899704283
"T+21",0.00079274108289774,0.000518046556050327,0.000546852653188403,0.000623293267254556,0.000565653718828194,0.000164447876839322,0.000283515970551613,0.000738679631209155,0.000541988495042284,0.000306703338417918
