"","MSFT","XOM","JPM","INTC","GE","VZ","CSCO","V","IBM","PFE"
"T+1",0.00200027685015325,-0.00244549383102055,0.00144269688283719,-0.000156922893538591,-6.82418534256064e-06,-0.00133917583873123,-0.000409340147232263,0.00161918186617937,0.000562475277911748,-0.00019333867339372
"T+2",0.00105438596686215,0.00256380864200206,0.000299994856947774,-0.00057060394825742,0.000162125807228677,-0.00156235092335158,0.000937339697682563,-0.00253237407943249,0.000231269953377915,0.000639181135963827
"T+3",0.00101554935893446,0.000972903414176618,0.000911251315760092,0.00194788799018204,0.000222400844293596,-0.00129917460081698,0.000623357969413741,0.00309238388537306,0.00025523297464323,-0.000197690658094933
"T+4",0.00102597405718121,0.000986216988180972,0.000566435109308571,0.00146365778097176,0.000153810941186165,-0.00105107618782937,0.000560467590565751,-0.00203423681953595,0.00023390205555946,0.000598892393115897
"T+5",0.00103825572658444,0.000753588695424611,0.000760890640528497,0.00141900210832548,0.000221089252843022,-0.00084351926190355,0.000516025637457822,0.00248032096749081,0.000235903873343021,-0.000159989847780414
"T+6",0.00104983115622813,0.000647582017547781,0.000651229271539335,0.00145535295982851,0.00015550135226684,-0.00067143158380244,0.000493293983719844,-0.00148036111226444,0.000234519351247468,0.000562965953459792
"T+7",0.00106061441809911,0.000563445355013151,0.00071307176920824,0.00145054880378081,0.000219423747346201,-0.000528855015401295,0.000480997333716271,0.00199294708887804,0.000234677280536005,-0.000125764363200846
"T+8",0.00107065280822756,0.00050846962285455,0.00067819627427889,0.00144946387732186,0.000157125333533276,-0.000410735650026154,0.000474416902298134,-0.00105281804006653,0.000234586760563839,0.00053036073682303
"T+9",0.00107999739741685,0.000470315681687364,0.000697863981638943,0.00144995389313645,0.000217840990506241,-0.000312878628731394,0.000470888246218793,0.00161801805982975,0.000234598782343211,-9.47027118040825e-05
"T+10",0.00108869611639013,0.00044434912271671,0.000686772563048776,0.00144991641115018,0.000158667880241196,-0.000231808154751998,0.000468996792465222,-0.000724040839874353,0.000234592824463638,0.000500769576628478
"T+11",0.0010967936046049,0.000426566053952703,0.000693027464247487,0.0014498962881606,0.000216337633795591,-0.000164644639454673,0.000467982848109779,0.0013297128644313,0.000234593717756884,-6.65124282142785e-05
"T+12",0.00110433141735941,0.000414411872237671,0.000689500071544057,0.001449902460983,0.0001601330425554,-0.000109002461059761,0.000467439314453419,-0.000471225723374985,0.000234593323231437,0.000473913850673531
"T+13",0.00111134823783335,0.000406099499762939,0.000691489311483894,0.00144990235346531,0.000214909695510754,-6.29052310057189e-05,0.000467147947754061,0.0011080190456675,0.000234593388481406,-4.09280805339997e-05
"T+14",0.00111788007553822,0.000400415758673589,0.0006903674983287,0.00144990202647785,0.00016152470252738,-2.47155935774617e-05,0.000466991757774473,-0.000276822201673856,0.000234593362213639,0.000449540692885003
"T+15",0.00112396045111019,0.000396529135263361,0.000691000134306876,0.00144990209845427,0.000213553392161953,6.92293232073201e-06,0.000466908030594558,0.000937546411673783,0.000234593366920114,-1.77087736355713e-05
"T+16",0.00112962056833395,0.000393871463360618,0.000690643365196949,0.00144990210241672,0.000162846547526162,3.31341348463132e-05,0.00046686314781432,-0.000127334585995331,0.000234593365162716,0.000427420612363587
"T+17",0.00113488947427694,0.000392054135666901,0.000690844561781066,0.00144990209755268,0.000212265130061628,5.48490257374925e-05,0.000466839087957402,0.000806460578613392,0.000234593365498982,3.36411904009322e-06
"T+18",0.00113979420835551,0.000390811441760524,0.000690731098859715,0.0014499020983092,0.000164102079937803,7.28389094887481e-05,0.000466826190433866,-1.238529370028e-05,0.000234593365380906,0.00040734533256114
"T+19",0.00114435994109808,0.000389961683491155,0.000690795085207088,0.00144990209843146,0.000211041495805616,8.77427797870396e-05,0.000466819276589201,0.000705661434337868,0.000234593365404756,2.24890140105857e-05
"T+20",0.00114861010331742,0.000389380616062647,0.000690759000708281,0.00144990209836409,0.000165294626445247,0.000100090016319504,0.000466815570354595,7.60055722530131e-05,0.000234593365396794,0.000389125830206419
"T+21",0.00115256650635482,0.000388983280263484,0.000690779350222007,0.00144990209837076,0.000209879247228943,0.000110319188134433,0.000466813583590991,0.000628151399504466,0.000234593365398476,3.98459859869467e-05
