"","AAPL","MSFT","JPM","GE","PG","XOM","DIS","PFE","JNJ","V"
"T+1",0.000624855134978106,0.00110199266327849,0.00219406232331526,-0.000659378004069144,0.00174659398552112,0.00140113354000397,0.000821774359387108,0.000777053068712019,-9.19159451433941e-05,0.00164356284414275
"T+2",0.00126807948878463,0.000834725564046171,-0.000215578001138763,-0.000220489681671297,0.0010731213603133,-6.0173566318676e-05,0.000726454859298732,0.000348877520296872,2.44224213409463e-05,0.000953055471478185
"T+3",0.00113482049271479,0.00098798846646793,0.00312891335355475,-0.000145452687934158,0.000886258452595433,0.000220287896051609,0.000576652416096646,0.000383220553714109,0.000152719843945606,0.00132056811445927
"T+4",0.00134897596556587,0.00087218428561018,0.000236146875180507,-0.000143322358050768,0.000742971039635051,1.46495195786748e-05,0.000525029899545336,0.000377176613936728,0.000255503818704808,0.00100710981628839
"T+5",0.00114941171042396,0.000958243418573139,0.00285235320289913,-0.000147709066229264,0.00064656962811557,0.000209534265392654,0.000493158528719061,0.000374718236082379,0.000339645241769169,0.0012999954264306
"T+6",0.00134982761695135,0.00089423263270776,0.000498220643695005,-0.000149808436914245,0.000580994135692023,2.14863031312448e-05,0.000478401685123476,0.000371999544377397,0.000408410538365227,0.0010228809094332
"T+7",0.00115104630551347,0.000941841606206795,0.00261772937911315,-0.000150428935555762,0.000536431112733161,0.000203134701649615,0.000470609508514476,0.000369355870336303,0.000464616751468602,0.00128549945921342
"T+8",0.00134860449023785,0.000906431634847502,0.000709581268989206,-0.000150555278304256,0.000506144874446912,2.76566733439535e-05,0.00046674447750213,0.000366756962114174,0.000510557183312961,0.00103656668669282
"T+9",0.0011523263663774,0.000932768390497636,0.00242745807888702,-0.000150567284969399,0.000485561683754709,0.000197174589703111,0.000464770466582952,0.000364204550659797,0.0005481068552717,0.00127253319997136
"T+10",0.0013473431387964,0.000913179989926313,0.000880880855123851,-0.000150563637789282,0.000471572887178071,3.3414312055115e-05,0.000463776080257969,0.00036169758666613,0.000578798290384067,0.00104885679921398
"T+11",0.00115358129539001,0.000927749189029305,0.00227323990326775,-0.000150561164926725,0.000462065788845227,0.000191612510117269,0.000463271912814926,0.000359235279923655,0.000603884107230919,0.00126088330079612
"T+12",0.00134609655731147,0.000916913104595858,0.00101972105528014,-0.000150560326017743,0.000455604552619836,3.87874767801442e-05,0.000463017071360028,0.000356816833277698,0.000624388140501334,0.0010598999169311
"T+13",0.0011548199008741,0.000924972622831459,0.00214824426636148,-0.000150560129230348,0.000451213352268361,0.000186421843680289,0.000462888071845323,0.000354441465611072,0.000641147227236752,0.00125041535052775
"T+14",0.00134486592787993,0.000918978221939796,0.00113225265216495,-0.000150560101463775,0.000448228994499207,4.3801843447799e-05,0.000462822816942463,0.00035210840955965,0.000654845360891752,0.0010698226578667
"T+15",0.00115604261387141,0.000923436657419381,0.00204693384790462,-0.00015056010311891,0.000446200758349315,0.000181577788801205,0.000462789797024841,0.000349816911442151,0.00066604160735748,0.00124100942227085
"T+16",0.00134365108172615,0.000920120621791322,0.00122346082101345,-0.000150560105827201,0.000444822323792222,4.84813711383152e-05,0.000462773090965317,0.000347566231001137,0.000675192922279538,0.00107873869095941
"T+17",0.00115724964401201,0.000922586978507015,0.00196482057474608,-0.000150560106912225,0.000443885508900973,0.000177057200171859,0.00046276463812742,0.00034535564116523,0.000682672800920922,0.00123255776880725
"T+18",0.00134245181734735,0.000920752584630914,0.00129738610329844,-0.000150560107201571,0.000443248828591451,5.28484190344498e-05,0.000462760361349278,0.000343184427814118,0.000688786521732232,0.00108675015138452
"T+19",0.00115844119259784,0.000922116945621871,0.00189826681125935,-0.000150560107252949,0.000442816126442586,0.000172838478033921,0.000462758197446994,0.00034105188954787,0.000693783605769377,0.00122496357455641
"T+20",0.00134126793491375,0.000921102179416043,0.00135730340489455,-0.000150560107255201,0.000442522052404434,5.69238532638025e-05,0.00046275710259504,0.000338957337460356,0.000697868000468607,0.0010939488122103
"T+21",0.00115961745820162,0.000921856928679116,0.00184432421143514,-0.000150560107252549,0.000442322193124461,0.000168901464972924,0.000462756548639842,0.000336900094916696,0.000701206403412223,0.0012181398463276
