"","AAPL","MSFT","BA","JPM","V","INTC","DIS","CSCO","JNJ","HD"
"T+1",0.00206489470133366,0.000499485704092665,9.84261782750809e-05,0.00176033519662983,0.000360056028265646,-0.00154084718374673,0.00126218157446244,0.000827714330912558,0.000545816826113056,0.00163294841341608
"T+2",0.00192865192159419,0.00158163725420058,0.00229788297047557,0.000427988548435417,0.00124685939135179,0.000347393701876895,-0.000255861992130587,0.00215939893011986,0.000206996332126506,0.000729429755639672
"T+3",0.00198414757836737,0.00183023672448567,0.000290453897072382,9.42960044314689e-05,0.00133092410582004,0.000106083339352849,0.000960579482168818,0.00199285951995271,0.000818527554443106,0.0010627449801811
"T+4",0.00200674165443593,0.0016236527951084,0.000948599023976463,-6.12200337068122e-05,0.00143508792404341,0.000172025628064418,-1.96806809595809e-05,0.00201008767711183,0.000427746860165158,0.000901565065640589
"T+5",0.00201335683219827,0.00169248113496883,0.000629157541782244,-9.0946601084668e-05,0.00150930695213075,0.00018851121477518,0.000770241174005269,0.00200513609014175,0.000652184346871586,0.000978474125870036
"T+6",0.00201514589729981,0.00168063722272816,0.000758721556928155,-0.000110281411439067,0.00156458228158544,0.00020849445884371,0.000133699374004428,0.00200318525908418,0.000525814529782777,0.000941754720153677
"T+7",0.00201561799765443,0.00167969366362771,0.000701939923670768,-0.000112226893772773,0.00160556760799056,0.000224747280042984,0.000646643104500913,0.00200112387868627,0.000596685134232189,0.000959285562546933
"T+8",0.0020157415644469,0.00168117090558281,0.000725983868302134,-0.000114855128058044,0.00163597041372829,0.000238792024759651,0.00023329826107441,0.00199930704762495,0.000556971608139242,0.000950915852602923
"T+9",0.00201577381737017,0.00168060399458405,0.000715647964782552,-0.000114807728751079,0.00165852217363324,0.000250801107494514,0.000566383450402893,0.00199766809266292,0.00057922208685472,0.000954911783864339
"T+10",0.00201578222796324,0.00168072164448977,0.000720061694079536,-0.000115204972936873,0.00167525036663103,0.000261088124166216,0.000297973803798172,0.00199619430469353,0.000566756127288507,0.000953004015639808
"T+11",0.00201578442048493,0.00168072055388994,0.000718171388216609,-0.000115146989969347,0.00168765881400588,0.000269897289393464,0.00051426603383012,0.00199486846440746,0.000573740205611135,0.000953914837012873
"T+12",0.00201578499198084,0.00168071049411867,0.000718979924794705,-0.000115213546585963,0.0016968630103282,0.000277441313522168,0.000339971520335648,0.00199367579028292,0.000569827367469399,0.000953479985670363
"T+13",0.00201578514093955,0.00168071502808293,0.000718633895246196,-0.000115196383978357,0.00170369039388754,0.000283901833026154,0.000480423063277286,0.0019926028986224,0.000572019539044164,0.00095368759574153
"T+14",0.00201578517976469,0.00168071392994663,0.0007187819486679,-0.000115208490103492,0.00170875473244053,0.00028943447401522,0.000367243161516853,0.00199163776050626,0.000570791372746239,0.000953588476945205
"T+15",0.00201578518988417,0.00168071400799762,0.000718718595059206,-0.000115204383688209,0.00171251129961673,0.000294172499826913,0.00045844678871961,0.00199076955381217,0.000571479454124044,0.000953635799002992
"T+16",0.00201578519252173,0.00168071407196427,0.000718745703422349,-0.000115206711936302,0.00171529780308637,0.000298230035759582,0.00038495227701252,0.00198998854347198,0.000571093955855493,0.000953613206142342
"T+17",0.00201578519320919,0.00168071403676276,0.000718734103783638,-0.000115205802275808,0.00171736474378572,0.000301704815841132,0.000444176272995219,0.00198928597211736,0.000571309931639429,0.000953623992599572
"T+18",0.00201578519338837,0.00168071404655523,0.000718739067209822,-0.000115206265417776,0.00171889793543654,0.000304680537271981,0.000396451869924991,0.00198865396190859,0.000571188930994167,0.000953618842846233
"T+19",0.00201578519343507,0.0016807140453907,0.000718736943376353,-0.00011520607065371,0.00172003520881786,0.000307228876396808,0.000434909569555305,0.00198808542619846,0.000571256721724621,0.000953621301481064
"T+20",0.00201578519344724,0.0016807140450269,0.000718737852155946,-0.000115206164553996,0.00172087880246981,0.00030941121518298,0.000403919246665796,0.00198757399007102,0.000571218741901245,0.00095362012766072
"T+21",0.00201578519345041,0.00168071404529166,0.000718737463292591,-0.000115206123528303,0.00172150455372831,0.000311280119729943,0.000428892142133496,0.00198711391886037,0.000571240020134626,0.000953620688075053
