"","BAC","XOM","C","MSFT","GE","JPM","WMT","INTC","CVX","PG"
"T+1",0.0147765152129504,0.0103382927284382,0.0104319515645009,0.0132684864104171,0.00329918914607183,-0.00875574858619193,0.000796594996903292,0.000833398335242266,0.00596742348604301,0.00476133587013264
"T+2",-0.0203845767069247,0.00322152755574912,-0.0159241378246615,0.00911820804040778,0.00294483316825826,-0.00634006042825855,0.000131406602179504,-0.00222186069846317,0.00241715091574265,0.00144915847090524
"T+3",0.00748134211335881,-0.00199182386666873,0.000200297794679021,0.00578146327078687,-0.00515422659591444,-0.00464840830799053,0.000420294593620144,5.63951658433013e-05,-0.00202795882892567,-0.00298271026952291
"T+4",-0.0187429699137222,-0.0015155132845781,-0.00496699110561194,0.00352286415436974,-0.00445600735225943,-0.00355060500357987,0.000566877094794263,-0.000787583639174295,0.000867036043446051,-0.000160177166180721
"T+5",0.00603820115392166,-0.0010217612473524,-0.00318346791232656,0.00200199482845516,-0.00357671359884879,-0.00284258626689361,0.00062260891893031,-0.000708732158926626,-7.74137768619385e-05,-0.000152984598716906
"T+6",-0.0173813522083047,-0.00104875615223828,-0.00379244581522163,0.000978066333409601,-0.0037287602874339,-0.00238619681154495,0.000642704911086509,-0.000587389742044662,2.94972949290076e-05,-0.000934836254376082
"T+7",0.00475144184529336,-0.00109490813262536,-0.00358419382378627,0.000288708263004665,-0.00381803552385967,-0.00209202107626067,0.000649865581660718,-0.000681607500570406,0.000103279078152794,-0.00060009885006144
"T+8",-0.0161652932436139,-0.00109399081827583,-0.00365539419068783,-0.000175400764966398,-0.00379321944042046,-0.00190240444905609,0.000652410028214695,-0.000645683166823681,4.85449795676919e-05,-0.000528543371638538
"T+9",0.00360219775315328,-0.00108973105204329,-0.00363105036993798,-0.000487861295603901,-0.00378491638592273,-0.0017801834459808,0.000653313572223559,-0.000649601811920635,6.78298688587824e-05,-0.000651716418226211
"T+10",-0.0150791929445017,-0.00108967147011849,-0.00363937362762725,-0.000698224760439954,-0.00378845804633907,-0.0017014035763489,0.000653634375171139,-0.000654404721326597,6.5036989712379e-05,-0.000618411785608925
"T+11",0.00257577188920731,-0.00109005977696879,-0.00363652786801525,-0.000839851567663355,-0.00378913015872566,-0.00165062451474668,0.000653748271987659,-0.000650512788037301,6.38597746407891e-05,-0.000598770978261595
"T+12",-0.0141091627778157,-0.00109007832959544,-0.00363750084606682,-0.000935201549372023,-0.00378866632715941,-0.0016178939059158,0.00065378870918889,-0.000652039466780571,6.48844577796888e-05,-0.000616418680898818
"T+13",0.00165903882807456,-0.00109004337520293,-0.00363716818047665,-0.000999395745302051,-0.00378862629704871,-0.00159679677019452,0.000653803065726462,-0.000651850085838109,6.44950065411761e-05,-0.000614237321581209
"T+14",-0.0132427984788115,-0.00109004049663526,-0.00363728192034417,-0.00104261436702863,-0.00378868314770366,-0.00158319821057281,0.000653808162767455,-0.000651660690302093,6.45626388958249e-05,-0.000610307664411427
"T+15",0.000840275841975229,-0.00109004360239117,-0.00363724303216983,-0.00107171122285623,-0.00378868316008856,-0.00157443300063018,0.000653809972383723,-0.000651821271069603,6.45803468684422e-05,-0.000612601909312782
"T+16",-0.0124690214104618,-0.00109004397087217,-0.00363725632821225,-0.00109130062634087,-0.0037886765892149,-0.0015687832180447,0.00065381061485667,-0.000651756491529583,6.45613654419492e-05,-0.000612698057772448
"T+17",0.000109012995866084,-0.00109004369872122,-0.0036372517822353,-0.00110448915540937,-0.00378867712103429,-0.00156514154334756,0.000653810842955573,-0.000651765457330328,6.4569150516218e-05,-0.000612023653196687
"T+18",-0.0117779368953312,-0.00109004365578127,-0.00363725333652535,-0.00111336830781067,-0.00378867783722926,-0.00156279423273885,0.000653810923938141,-0.000651772894805651,6.45675894158054e-05,-0.000612287572645711
"T+19",-0.000544100736897082,-0.00109004367927017,-0.00363725280510656,-0.00111934618047228,-0.00378867771764841,-0.00156128122909301,0.000653810952689601,-0.000651766277075051,6.45673483826036e-05,-0.000612359982156682
"T+20",-0.0111607076873475,-0.00109004368399671,-0.00363725298680105,-0.00112337077200348,-0.00378867764458674,-0.00156030599384981,0.000653810962897309,-0.000651769021716462,6.45676959450235e-05,-0.00061225598040563
"T+21",-0.001127417050851,-0.00109004368200383,-0.00363725292467888,-0.00112608032068574,-0.00378867766433516,-0.00155967738744679,0.00065381096652138,-0.000651768603931317,6.45675418075588e-05,-0.00061228079285889
