"","BAC","MSFT","JPM","INTC","XOM","GE","PFE","JNJ","CSCO","IBM"
"T+1",0.00251613527172046,0.00101776734963347,0.00172027838978127,-0.000858430917393737,-0.000501845426042479,0.000719254981054485,0.00126697784394177,0.001815243150656,0.00127452356136794,0.00121163228757045
"T+2",0.00289555288425278,0.000978971175766785,0.00153586770945396,-6.44600661841128e-05,-0.000440767045937589,0.0012434524037144,0.00107791732547902,0.00213911612667768,0.00210106976437376,0.00195630698945845
"T+3",0.00277227835229872,0.000862365792503607,0.00211367570517451,-0.000232797299100208,-0.000387807447493633,0.000816746570301299,0.000831955419267485,0.00207411971719902,0.00212059465318592,0.0019629394168582
"T+4",0.00278341610357664,0.000764348144798546,0.00167718693474216,-0.000286508828793776,-0.000338578216059773,0.000739550280572588,0.00101344630276878,0.00208317748257162,0.00204766207157673,0.00187398307389541
"T+5",0.00277803537357801,0.000687202190288203,0.00197222381743261,-0.00026497769761248,-0.000292601402317322,0.000771946604038068,0.0008975789139223,0.00207820769221357,0.00200456695658748,0.0017771660193851
"T+6",0.0027782549454192,0.000626873479662954,0.00177643301941497,-0.000262494967063694,-0.000249649076911947,0.000781131995527354,0.000970405307789703,0.00207596847738175,0.00198768069793352,0.00168420638805688
"T+7",0.00277800384085587,0.000579726927479901,0.00190593724364724,-0.000264751142608159,-0.000209521492209396,0.00077891079584006,0.000924715605918266,0.00207327009955089,0.00198253833671081,0.00159642246387753
"T+8",0.00277799933174297,0.000542884631132704,0.00182032845616361,-0.000264722842230477,-0.000172032832826255,0.000777934987355217,0.00095337407369606,0.00207071832575516,0.00198135443579575,0.00151372394204433
"T+9",0.00277798671414344,0.000514094710762801,0.00187691409054839,-0.000264519152393318,-0.000137009551262176,0.000778062467479013,0.000935398766627563,0.00206819677346462,0.00198120929343193,0.00143584326328071
"T+10",0.00277798572360268,0.000491597227840769,0.00183951288518522,-0.000264544857530809,-0.000104289515971649,0.000778158352892491,0.00094667329346835,0.00206572648492351,0.00198124770579636,0.00136250345499434
"T+11",0.00277798504303365,0.000474016883922978,0.00186423373983442,-0.000264560620329654,-7.3721257888217e-05,0.000778153896280651,0.00093960165301361,0.00206330237544026,0.00198128409869056,0.00129344026729374
"T+12",0.00277798495287155,0.000460278969727525,0.00184789415239659,-0.00026455647467426,-4.51632690602988e-05,0.000778145053008759,0.000944037147046678,0.00206092435199361,0.00198130071254479,0.00122840438973803
"T+13",0.00277798491392444,0.000449543668576291,0.00185869402524184,-0.000264555499510292,-1.84833475655671e-05,0.000778144815050109,0.000941255104133072,0.0020585913919034,0.00198130638198613,0.00116716098566766
"T+14",0.00277798490711922,0.000441154717447381,0.00185155570235087,-0.00026455599032255,6.44201448476208e-06,0.000778145584106266,0.000943000064832068,0.00205630266910128,0.00198130789066719,0.00110948890376336
"T+15",0.0027779849047901,0.000434599288768549,0.00185627387396576,-0.000264556024063451,2.9728202694224e-05,0.000778145660406495,0.000941905585726112,0.00205405733946107,0.00198130816536206,0.0010551798876221
"T+16",0.00277798490431367,0.000429476640596823,0.0018531553342594,-0.00026455597522581,5.14830145293172e-05,0.000778145597512806,0.000942592067956946,0.00205185458127709,0.00198130816699616,0.00100403782485227
"T+17",0.00277798490417015,0.000425473618738615,0.00185521657549705,-0.000264555977672562,7.18071583403684e-05,0.000778145586220184,0.000942161490661605,0.00204969358720237,0.00198130814002104,0.000955878039055993
"T+18",0.00277798490413798,0.000422345513223633,0.00185385417006382,-0.000264555981873578,9.07947195651435e-05,0.000778145591001333,0.000942431558551109,0.00204757356542947,0.00198130812464914,0.000910526622974898
"T+19",0.00277798490412897,0.000419901098863816,0.00185475467046648,-0.000264555981172569,0.000108533596273374,0.00077814559234803,0.00094226216581784,0.00204549373911935,0.00198130811872338,0.000867819810505717
"T+20",0.00277798490412684,0.00041799094540708,0.00185415947247665,-0.000264555980866852,0.000125105906068442,0.00077814559201958,0.00094236841279943,0.0020434533461702,0.00198130811694409,0.000827603385333546
"T+21",0.00277798490412626,0.000416498282670247,0.00185455287668397,-0.000264555980965823,0.000140588366229873,0.000778145591876313,0.000942301772271946,0.00204145163892802,0.00198130811654288,0.000789732124049507
