"","MSFT","JPM","XOM","PFE","GE","INTC","JNJ","CSCO","IBM","PG"
"T+1",3.91016260988932e-05,0.00164507531364813,0.000371583280689182,0.00108078803159683,0.0009693479305637,0.00250538890941398,9.10750745535879e-05,0.00112690924534987,-0.00076757738176525,0.00306920763063567
"T+2",0.000751178958155863,0.000915405032276742,0.00052829430328232,0.000820153461831754,0.00119790952909367,0.00181157822924829,0.000313989253862775,0.000894242181728234,0.000109067015412119,0.00207111301631639
"T+3",0.0005199145748576,0.00102835418723856,-0.000440348029086332,0.00065250604258483,0.000326049654589128,0.000964589836697643,0.000511640110914575,0.000999218372208059,0.000181596973256055,0.00202235217080515
"T+4",0.000589496624880672,0.00102898618435639,-0.000114437593156033,0.000815820626343958,0.000238014143515175,0.000527796769541446,0.000666681323647389,0.00093929599122349,0.000170831438137484,0.00194298934251143
"T+5",0.000568710948140974,0.00103081215938467,-0.000142979004031662,0.000683274991518239,0.000333075756695606,0.00034461463063207,0.000790027409682643,0.000973289483092161,0.000152009602918802,0.00186935967966747
"T+6",0.000574915692552511,0.00103101590863213,-0.000161830089860107,0.000789132335868275,0.000350005588107429,0.000274808324305604,0.000887990665063578,0.000954002433715121,0.000132964978084676,0.00179984621331285
"T+7",0.000573063640211766,0.0010310659799404,-0.000152689669648553,0.000704722729871781,0.000340157737710727,0.000249645750660156,0.000965810442325272,0.000964945381157103,0.000114493871392295,0.00173426452855366
"T+8",0.000573616454949414,0.00103107447002872,-0.000154226548468203,0.000772019618032704,0.000337496755213876,0.000240900331424291,0.0010276271779218,0.000958736649790995,9.66585747874451e-05,0.00167239053207712
"T+9",0.000573451446694274,0.00103107615134335,-0.000154496917161646,0.000718366943212221,0.00033845296163848,0.00023793828727378,0.00107673192020053,0.000962259315444573,7.94454685222352e-05,0.00161401467189914
"T+10",0.000573500699582391,0.00103107646209786,-0.000154265966626522,0.000761141656645897,0.00033882948165375,0.000236954226773287,0.00111573874955541,0.000960260650568331,6.2833709887387e-05,0.00155893917341967
"T+11",0.000573485998215059,0.00103107652127982,-0.000154323037273498,0.0007270394271156,0.000338744967931617,0.000236632167616395,0.00114672420494641,0.000961394638769414,4.68023805941829e-05,0.00150697744611801
"T+12",0.000573490386388211,0.00103107653240371,-0.000154323470834461,0.000754227500350781,0.000338695273277204,0.000236528025878225,0.00117133780355806,0.000960751244643925,3.13312093384799e-05,0.00145795344853471
"T+13",0.000573489076573744,0.00103107653450659,-0.000154318264487622,0.000732551752597002,0.000338701585236422,0.000236494681608802,0.0011908898556207,0.000961116289007101,1.64006243629401e-05,0.00141170109196682
"T+14",0.000573489467536881,0.00103107653490312,-0.00015432005241958,0.000749832787429883,0.000338707802627146,0.000236484093483281,0.00120642121882621,0.000960909172743823,1.99173686235148e-06,0.00136806367777088
"T+15",0.000573489350839304,0.00103107653497798,-0.000154319886314428,0.000736055446584107,0.000338707507941923,0.000236480754998078,0.00121875870863294,0.000961026684889857,-1.19136820602782e-05,0.00132689336648276
"T+16",0.000573489385672062,0.0010310765349921,-0.000154319786240451,0.00074703946013515,0.000338706764983121,0.000236479708767453,0.00122855911396226,0.000960960011687826,-2.53332243663602e-05,0.0012880506769515
"T+17",0.000573489375274922,0.00103107653499477,-0.000154319836055804,0.000738282432560669,0.000338706746815584,0.000236479382642888,0.00123634416149816,0.00096099784025295,-3.82838673282945e-05,0.0012514040137902
"T+18",0.000573489378378338,0.00103107653499527,-0.000154319827443826,0.000745263990948581,0.000338706831832163,0.000236479281465133,0.00124252828991935,0.000960976377351878,-5.07819950067116e-05,0.00121682922154318
"T+19",0.000573489377452007,0.00103107653499537,-0.000154319826053093,0.000739697929050379,0.000338706839938115,0.000236479250207853,0.0012474407126314,0.000960988554819379,-6.28434189781027e-05,0.00118420916405904
"T+20",0.000573489377728505,0.00103107653499539,-0.000154319827303636,0.0007441354834377,0.000338706830634743,0.000236479240588104,0.00125134294351315,0.000960981645654851,-7.44833983382807e-05,0.00115343332764426
"T+21",0.000573489377645974,0.00103107653499539,-0.000154319826988124,0.000740597634002934,0.00033870682903709,0.000236479237637744,0.00125444271866425,0.000960985565727269,-8.57166590069001e-05,0.00112439744665326
