"","AAPL","MSFT","GE","DIS","PFE","JPM","XOM","JNJ","V","INTC"
"T+1",-0.00280004858681594,0.000728771307365952,0.000763509274231628,-0.000815920801135222,0.000702054693878705,2.21622819189067e-05,0.00323882261558538,0.00150264459561808,0.00353884060118654,0.0012308467407374
"T+2",-0.00174019206552761,0.000347295985649785,0.000970902807194089,-0.00079810786775942,0.000109496706064222,0.000146014130776046,0.00241620672906229,0.000595804729652867,0.000677562433718314,0.00100431853328898
"T+3",-0.00102744967975502,0.000477941726522129,0.000735519349503747,-0.000819794938311678,0.000778716307342754,-2.28478917638508e-05,0.00235252166057656,0.00214949177759225,0.00108150405995287,0.00097165530169469
"T+4",-0.000674315771413202,0.000599700835036128,0.000768027649624093,-0.000819298354044657,0.000452191541530528,-0.000115801204162111,0.00226293814372626,0.0011776235706186,0.000977799898604197,0.000968848160650945
"T+5",-0.000510602878995299,0.000686046540810458,0.000773094767128343,-0.000819681465321059,0.000586617838179234,-0.000140751076443697,0.00217990350490575,0.00159822584092858,0.000955365025360009,0.000969409427290814
"T+6",-0.000436067052500949,0.00074565417822769,0.000770685855859553,-0.000819669515019168,0.000534616942972324,-0.000142179910085294,0.00210173804570831,0.00147306781395655,0.00092215798275426,0.000969865137947392
"T+7",-0.00040230818532327,0.000786675692532847,0.000770882426214585,-0.000819676310009394,0.000554201337343135,-0.000140090903827368,0.0020282071631273,0.0014853571385579,0.000892453291183697,0.000970062386477855
"T+8",-0.000387041263773096,0.00081489604613456,0.000770958626156791,-0.000819676043152588,0.000546915492230793,-0.000138952401568511,0.00195903393799095,0.00150007524820012,0.000863932118767558,0.000970134822090099
"T+9",-0.00038014010645136,0.000834309127119812,0.000770935912165398,-0.000819676164140164,0.000549610351799882,-0.000138649109668987,0.00189396021148799,0.00148690363940422,0.000836870667884514,0.000970159604246317
"T+10",-0.000377020960395369,0.000847663523743068,0.000770936451857593,-0.000819676158443965,0.000548616341284826,-0.000138632687170797,0.00183274302623421,0.00149380775102877,0.000811144259748081,0.000970167781725436
"T+11",-0.000375611240393202,0.000856850102743262,0.000770937405314282,-0.000819676160606275,0.000548982498827446,-0.000138658525458737,0.00177515382761762,0.00149122510965857,0.00078669484603221,0.000970170426547875
"T+12",-0.000374974114683921,0.000863169611601124,0.000770937209853335,-0.000819676160488279,0.000548847706175053,-0.000138672468956554,0.00172097760595779,0.00149181577948801,0.000763457820294479,0.000970171272088653
"T+13",-0.000374686165425041,0.00086751684378302,0.000770937200734615,-0.000819676160527062,0.000548897311667524,-0.000138676155375445,0.00167001209395511,0.0014918712758857,0.000741373253532281,0.000970171540549554
"T+14",-0.000374556026750426,0.000870507333716616,0.000770937211400726,-0.000819676160524669,0.000548879058922317,-0.000138676343332709,0.00162206701151645,0.001491718242212,0.000720383958888067,0.000970171625433412
"T+15",-0.000374497210589966,0.000872564511632979,0.000770937209914753,-0.000819676160525367,0.000548885774681607,-0.000138676023807019,0.00157696335534344,0.00149182039172612,0.000700435621575966,0.000970171652204965
"T+16",-0.000374470628634581,0.000873979658004806,0.00077093720968745,-0.00081967616052532,0.000548883303829133,-0.000138675853050046,0.00153453273062242,0.00149177423373465,0.000681476614926574,0.000970171660635447
"T+17",-0.000374458614923906,0.000874953146606722,0.00077093720979679,-0.000819676160525332,0.000548884212886184,-0.000138675808247849,0.00149461672232123,0.00149178882456251,0.00066345787355222,0.000970171663287736
"T+18",-0.000374453185329241,0.000875622815891063,0.000770937209787743,-0.000819676160525331,0.000548883878435647,-0.000138675806107036,0.00145706630374558,0.00149178684582451,0.000646332765309215,0.00097017166412168
"T+19",-0.000374450731424784,0.000876083485846015,0.000770937209784307,-0.000819676160525332,0.000548884001482619,-0.000138675810057678,0.00142174128014684,0.00149178553209506,0.000630056970779951,0.000970171664383798
"T+20",-0.000374449622383051,0.000876400383772136,0.00077093720978534,-0.000819676160525332,0.000548883956212761,-0.000138675812148678,0.00138850976530402,0.00149178687523869,0.000614588368549397,0.000970171664466167
"T+21",-0.000374449121151814,0.000876618379963337,0.000770937209785314,-0.000819676160525332,0.000548883972867849,-0.000138675812693111,0.00135724768912559,0.00149178613567512,0.000599886926199794,0.000970171664492048
