"","AAPL","MSFT","BA","JPM","V","DIS","INTC","UNH","JNJ","HD"
"T+1",-0.0122843437706655,0.000163669570782722,-0.00185164455466137,0.00127401657930872,0.00668115074901721,-0.00321375869381391,9.81229518461333e-05,0.00141585740666343,0.00065867408891844,0.00110952745360185
"T+2",-0.0103980405752092,0.00360964211722816,-0.00271494096600322,0.00169535002012339,0.00355935689579441,0.000489387079412959,-8.80014380521832e-05,0.000894419941816044,0.00153167843913677,0.0014783999627493
"T+3",-0.00131370018792928,0.00113847478978166,0.000767299503451176,0.00150100834841279,0.00267346230458535,-0.00148217810771927,0.000432102552986645,0.00183876908961467,-0.000333693032128448,0.00143293353796133
"T+4",0.00272957170719451,0.00298258585967133,-0.00108644548280407,0.0015774054297035,0.00202329771656867,0.00011219566505627,0.000590275858926281,0.00156317155259365,0.00142262357341886,0.00137887979143334
"T+5",0.00392351994365835,0.00158450921120996,0.000304172559984852,0.00154750808736679,0.00159990903734214,-0.00132124442166081,0.000699248257207489,0.00171190782232493,-0.00010216348822693,0.00134721579429106
"T+6",0.00417612855166468,0.00265083942327362,-0.000637694810272388,0.00155920654377487,0.00132139367822925,-7.39806637474439e-06,0.000753199225723421,0.00165181857964885,0.00120471606173672,0.00133051422744691
"T+7",0.00420470906752504,0.00183569251235384,1.8277362723384e-05,0.001554629103338,0.00113834425854058,-0.00121555982687691,0.00078314602790454,0.00167931900663764,8.7006679153946e-05,0.00132191711900342
"T+8",0.00419930977944051,0.00245935202369665,-0.000435021532550617,0.00155642019076903,0.00101802859862907,-0.000103977407984847,0.000799078799119253,0.00166742137229078,0.00104258183435939,0.00131751888310973
"T+9",0.00419472486128302,0.00198204673890924,-0.000121094069103815,0.0015557193636983,0.000938947463568949,-0.00112679347039758,0.000807686792343269,0.0016726983623147,0.00022567182583929,0.00131527231623149
"T+10",0.00419301088159853,0.002347385701184,-0.000338369323910954,0.00155599358737633,0.000886968944434821,-0.000185641088931731,0.000812311404881428,0.00167038368706732,0.000924031400989111,0.00131412526349735
"T+11",0.00419255867237299,0.00206773574518236,-0.000187963472384582,0.00155588628754627,0.00085280445881177,-0.0010516521489511,0.000814801045083983,0.00167140400982463,0.000327019198038302,0.00131353966258294
"T+12",0.00419247640880531,0.00228179824962897,-0.000292074972255342,0.00155592827244565,0.000830348796298591,-0.000254782818195814,0.000816140333316282,0.00167095523303042,0.000837391616333199,0.00131324070587229
"T+13",0.00419247175801091,0.00211793970747131,-0.000220007649732681,0.00155591184435089,0.000815589119122402,-0.000988030698732084,0.000816860991868453,0.00167115281533701,0.000401085639554655,0.00131308808574308
"T+14",0.004192475659929,0.00224336887889302,-0.000269893396568409,0.00155591827243102,0.000805887865809308,-0.000313324771731808,0.000817248733117262,0.00167106586393478,0.000774073867255931,0.00131301017191565
"T+15",0.00419247779774965,0.00214735624453327,-0.000235361930778754,0.00155591575721457,0.000799511417685068,-0.000934162691466108,0.000817457359944272,0.00167110413665268,0.000455214568484235,0.0013129703962865
"T+16",0.0041924784952386,0.00222085133936497,-0.000259264986566297,0.00155591674138304,0.0007953203003759,-0.000362891998148592,0.000817569611554996,0.00167108729190342,0.000727800255746531,0.00131295009051365
"T+17",0.00419247865927875,0.00216459281014827,-0.000242719030339657,0.0015559163562919,0.000792565559185043,-0.000888552874662785,0.000817630008795333,0.00167109470596987,0.000494772844648709,0.00131293972425654
"T+18",0.0041924786835566,0.00220765721131085,-0.000254172321660246,0.00155591650697259,0.000790754920525035,-0.000404860361932175,0.000817662505614141,0.00167109144279029,0.000693982769674332,0.00131293443220062
"T+19",0.00419247868268262,0.00217469256215706,-0.000246244228470108,0.00155591644801338,0.000789564822388777,-0.000849935233060953,0.000817679990583665,0.00167109287903612,0.000523682657590054,0.00131293173056438
"T+20",0.00419247868049692,0.00219992612099109,-0.000251732141050333,0.00155591647108328,0.000788782593661859,-0.000440394800458324,0.000817689398399548,0.00167109224689344,0.000669268416794479,0.0013129303513578
"T+21",0.00419247867955496,0.00218061050534808,-0.000247933348102223,0.00155591646205636,0.000788268449691229,-0.000817237837026493,0.000817694460290394,0.00167109252512225,0.000544810405441914,0.00131292964726198
