"","AAPL","MSFT","BA","V","JPM","DIS","CRM","INTC","HD","UNH"
"T+1",-0.000184244140598668,0.00210237434804233,0.0027351945903616,0.00200848383386007,0.00071285437831004,0.00092877951425069,-0.00490880337756123,-0.000705286587931007,0.00284118838810788,0.00067768261201684
"T+2",-0.000171456966506825,0.00262549069324637,-0.00390172252804818,0.00278402847495858,0.000131724029008114,-0.000901756803989745,0.0046588465098471,-0.000265922039599405,-0.000768433842496798,0.00175552400400416
"T+3",0.000765289076380548,0.00215104453574232,0.0027712447858971,0.00184637185930884,0.00177287568627293,-0.000287587967636665,0.000978712013464736,-0.000535377901324327,0.00216461838516421,0.00114503395416652
"T+4",0.00117632391971358,0.00194605685305121,-0.00391189018649728,0.00104944148498963,0.000745209336344552,-0.000482705386768311,0.000351976937811147,-0.000726973657250113,0.00114758203528163,0.00108066839938646
"T+5",0.00132895865140186,0.00188109663808347,0.00278027982726548,0.000535867981101318,0.00149393992088321,-0.000420648572364467,0.000711420434809082,-0.000842230916507887,0.00170538244449249,0.00110017540959144
"T+6",0.00138375729134759,0.00186235216104321,-0.00392088669928016,0.000224658763876328,0.000962277151218357,-0.000440385189632401,0.000745613956059492,-0.000910502123532722,0.00147163380141758,0.0011033186740018
"T+7",0.00140328017198889,0.00185713919619521,0.00278928619127637,3.92199329947129e-05,0.00134136838351514,-0.00043410813115103,0.00071207280154483,-0.000950877992930632,0.00158564402198178,0.00110274027001469
"T+8",0.00141022299833714,0.00185571230520461,-0.00392990506868309,-7.07445895341428e-05,0.00107124673938255,-0.000436104494673503,0.000711014706466254,-0.00097475256741741,0.00153471076178664,0.00110260223467692
"T+9",0.0014126909963203,0.0018553245083913,0.00279831667684619,-0.00013586156275593,0.00126374302904578,-0.000435469568724262,0.00071402095803965,-0.000988869557810523,0.00155863422345691,0.00110261753217422
"T+10",0.00141356821924503,0.00185521945516495,-0.00393894769088731,-0.000174405619803878,0.0011265671782058,-0.000435671501366529,0.000713939611350078,-0.0009972168929103,0.00154771668348122,0.00110262317643602
"T+11",0.00141388001122143,0.00185519103880816,0.00280737145218118,-0.000197217886464511,0.00122432110405768,-0.000435607278456658,0.000713680376644221,-0.00100215264684374,0.00155278188875006,0.00110262285423573
"T+12",0.00141399083105432,0.00185518335759353,-0.00394801463569485,-0.000210718831543073,0.00115465996826253,-0.000435627703991163,0.000713702544613512,-0.00100507114312466,0.00155045405890402,0.00110262263597669
"T+13",0.00141403021955772,0.0018551812819431,0.00281645058281721,-0.000218708990642672,0.00120430170044121,-0.000435621207828646,0.000713724020595982,-0.00100679684109105,0.00155152969803757,0.00110262263865609
"T+14",0.00141404421934172,0.00185518072113379,-0.00395710596853694,-0.000223437729962814,0.00116892614252938,-0.00043562327387629,0.000713720829455843,-0.001007817241045,0.00155103421709016,0.00110262264669183
"T+15",0.00141404919525907,0.0018551805696218,0.00282555413426494,-0.000226236291985133,0.0011941353776857,-0.000435622616787916,0.00071371912882294,-0.00100842060043133,0.0015512628635729,0.00110262264692663
"T+16",0.00141405096384015,0.00185518052868958,-0.00396622175501192,-0.000227892536247556,0.00117617084017803,-0.000435622825769123,0.000713719507577641,-0.00100877736499964,0.00155115745979511,0.00110262264664455
"T+17",0.00141405159244365,0.00185518051763156,0.00283468217221085,-0.00022887273423039,0.00118897268068926,-0.000435622759304479,0.000713719634940371,-0.00100898831880277,0.00155120607852702,0.00110262264662437
"T+18",0.00141405181586702,0.00185518051464421,-0.00397536206089454,-0.000229452834693862,0.00117984986745771,-0.000435622780442978,0.000713719594303434,-0.00100911305514435,0.00155118366014193,0.00110262264663378
"T+19",0.00141405189527797,0.00185518051383717,0.00284383476251808,-0.000229796149566398,0.00118635094214184,-0.000435622773720063,0.000713719585476341,-0.00100918681136338,0.00155119399939608,0.0011026226466349
"T+20",0.00141405192350286,0.00185518051361915,-0.00398452695213646,-0.000229999330065125,0.00118171816374598,-0.000435622775858227,0.000713719589555909,-0.00100923042319116,0.00155118923151079,0.00110262264663461
"T+21",0.00141405193353478,0.00185518051356025,0.00285301197122694,-0.000230119576283226,0.00118501956185444,-0.000435622775178203,0.000713719590094471,-0.00100925621073216,0.00155119143033289,0.00110262264663455
