"","BAC","MSFT","JPM","XOM","INTC","GE","CSCO","IBM","JNJ","CAT"
"T+1",-0.00194613019134901,-0.00179244729582987,-0.000119917650484439,0.00193058619524905,0.000233228787337402,0.00277844459820052,-0.0042622318326759,-0.000201867049688175,-1.33531072070772e-06,0.0016714352612496
"T+2",0.00100481739781657,0.00272716431157064,0.00151940924846657,0.00262110356240258,0.00274165937577251,0.00122945319524511,0.00396892134246042,0.00167169402327534,-4.22294200865316e-05,0.00117222860679746
"T+3",-0.0017462399261544,-3.4303760429727e-05,6.01570439849156e-05,-0.00109035188019194,0.000557662556571643,0.00110756357373973,0.000271582695225133,-0.000188649639916884,-0.000132589533970286,-0.001208373689054
"T+4",0.000482573724708326,0.00151239766167634,0.00125358918885895,0.00159879243649868,0.00100630259937365,0.00113298156616782,0.00299763340005215,0.00131098030279866,-5.28262597369123e-05,0.000237092994813521
"T+5",-0.00132553656987033,0.000642952946519696,0.000279932249378839,-0.000728293372037318,0.00081518129904348,0.00110500308993931,0.000779060385558169,9.59709634906583e-05,-0.000124973244287236,-0.000923652375981895
"T+6",0.000141261170664456,0.00113161616155514,0.00107422815134975,0.00122385373072671,0.000868029879035804,0.00113025669750692,0.00260952619419729,0.00108024482641319,-5.97423534053161e-05,-4.07218694191965e-05
"T+7",-0.00104865291330816,0.000856965752713597,0.000426253942938878,-0.000422162271717085,0.000849439114466804,0.00110720588199303,0.00109658202369232,0.000282885875529554,-0.000118720546419591,-0.000718789760328546
"T+8",-8.335586780952e-05,0.00101133142384904,0.000954861160655368,0.000964548930321577,0.000855125900686978,0.00112823155165569,0.00234737048161289,0.00092882524096524,-6.53957060460315e-05,-0.000198946827161519
"T+9",-0.000866436258748798,0.000924571091597905,0.000523631666589396,-0.000203872090029679,0.000853242555191232,0.00110905229767966,0.00131328209453469,0.000405550667513913,-0.00011360909579464,-0.000597609116295451
"T+10",-0.000231175950501654,0.000973334234289449,0.000875421937907403,0.000780597953286253,0.000853838402032849,0.00112654723780821,0.00216821711817093,0.000829454665092373,-7.00171987595976e-05,-0.000291895964871478
"T+11",-0.000746519795020869,0.000945927192113441,0.000588436941062919,-4.88847656259528e-05,0.000853644897819121,0.00111058869328048,0.00146139721606965,0.000486050631569137,-0.000109430596096375,-0.000526333637230193
"T+12",-0.000328456090054554,0.000961331161574314,0.000822554809374783,0.000650010177972927,0.000853706803519667,0.00112514576744597,0.00204576256744941,0.000764241757186429,-7.37951685218899e-05,-0.000346554245792902
"T+13",-0.000667602978620224,0.000952673449675756,0.000631565117002143,6.11441490685057e-05,0.000853686827823006,0.00111186708729959,0.00156263685798876,0.000538879516742682,-0.000106014763487671,-0.000484418777492498
"T+14",-0.000392475980850727,0.000957539466549447,0.000787371518519541,0.000557303403013298,0.0008536932418936,0.00112397964126606,0.00196206240714991,0.000721445151448422,-7.68835766206367e-05,-0.000378696826497403
"T+15",-0.000615667958880624,0.000954804549923382,0.000660267094965434,0.000139255843938315,0.000853691176554274,0.00111293080493792,0.00163183620262389,0.000573548986989455,-0.000103222394634437,-0.00045977011561184
"T+16",-0.000434607359736395,0.000956341693987137,0.00076395689416292,0.000491489043607392,0.000853691840521096,0.00112300933870908,0.00190485165290384,0.000693359462257319,-7.94082830594244e-05,-0.000397598748796839
"T+17",-0.000581489612637418,0.000955477751060973,0.000679368379011532,0.000194708870476368,0.000853691626870525,0.00111381589607317,0.00167913535580163,0.000596301164387167,-0.000100939693839134,-0.000445275103057831
"T+18",-0.000462333946969403,0.000955963325183314,0.000748374365626366,0.000444766137211111,0.00085369169558226,0.00112220197577671,0.00186574694399309,0.000674927955278279,-8.14721756533606e-05,-0.000408714305508559
"T+19",-0.000558996902366439,0.000955690411057685,0.000692080361881716,0.0002340760631832,0.000853691673477283,0.00111455235684947,0.00171146528469593,0.000611232502323753,-9.90736355944141e-05,-0.000436751095195449
"T+20",-0.000480580765846986,0.000955843800862744,0.000738004128978779,0.000411596628266232,0.000853691680587345,0.00112153019056923,0.00183901808367358,0.000662832099370781,-8.31593629531839e-05,-0.000415250974064721
"T+21",-0.000544194488822666,0.000955757589010419,0.000700540238615754,0.000262023606505244,0.000853691678300166,0.00111516514625999,0.00173356344570073,0.000621031338218858,-9.75481735715973e-05,-0.000431738425509716
