"","AAPL","MSFT","JPM","GE","DIS","V","GS","INTC","XOM","JNJ"
"T+1",0.00118335777029728,-0.000229630563497184,0.000591993498591524,0.000789278688768754,0.000242678623640866,0.000693804627725973,0.000852556536733241,0.00514131313885316,0.000576436180541768,-0.00151810386572932
"T+2",0.00125930698423514,0.00217413461263748,0.000258146689050051,0.00180238391280116,0.00010161812793662,0.00105641631793838,0.00168597424366021,0.00622815972943974,0.000529718971035543,0.00174307951687685
"T+3",0.00157634787107697,0.000853789151228777,0.00128270500220769,5.5361496064301e-05,0.00032671297128447,0.0011975193709582,0.00117376254117918,0.0047262979720911,0.000101444635942629,-3.8564299038998e-05
"T+4",0.00168712905620435,0.00177048352166839,0.00131179394770402,-0.000920898407423774,0.000384006510310554,0.00126401646186748,0.00122552511949517,0.00392629761088818,0.000385970884075272,0.00156353033658558
"T+5",0.00171916947348318,0.00114364411655619,0.00143985730618485,-0.00107591928888375,0.000425804617382162,0.00129824099848492,0.00117837823952472,0.00327229341735519,0.000270741608510251,0.000275582389792119
"T+6",0.00172799813560527,0.00157266085739056,0.00145220730837629,-0.000982549724233469,0.000445148976260813,0.00131644928208357,0.00118069924342973,0.0027844875031494,0.000299560607859484,0.00133351161647878
"T+7",0.00173039607509284,0.00127905179720389,0.00146881122150055,-0.000913342915832657,0.000455695175792388,0.00132624833396358,0.00117621712961691,0.00241436963569009,0.000299433450891751,0.000468239308932631
"T+8",0.00173104447833899,0.00147999161512343,0.00147146802643389,-0.000897208252433712,0.0004610857405938,0.00133154220391309,0.00117618315342148,0.00213446772522031,0.000294885371660636,0.00117653950639887
"T+9",0.00173121956178995,0.0013424726874701,0.00147369308148718,-0.000901455690842661,0.00046390973384743,0.00133440584877985,0.00117574220850275,0.00192265872354626,0.000297847631076327,0.000596831966804624
"T+10",0.00173126681746552,0.00143658771086595,0.00147417238593552,-0.000906137361012731,0.000465375150354548,0.00133595555550689,0.00117571317577571,0.00176239663938943,0.00029666229264578,0.00107130877141752
"T+11",0.00173127957018071,0.0013721773945961,0.0014744790032891,-0.000907578100035447,0.000466138367382615,0.00133679432173879,0.00117566829852131,0.00164113396579129,0.000296953059723761,0.000682963374710825
"T+12",0.00173128301155866,0.00141625844236555,0.00147455898054359,-0.000907451752579811,0.00046653530515633,0.00133724831829693,0.0011756628389944,0.00154938068895481,0.000296955430646272,0.00100081314633642
"T+13",0.00173128394021729,0.001386090312709,0.00147460218695883,-0.000907150280523951,0.000466741858738588,0.00133749405547505,0.00117565812558894,0.00147995560835532,0.000296907179726334,0.000740662125973706
"T+14",0.00173128419081549,0.00140673673771538,0.0014746149871638,-0.000907032660199786,0.000466849320053282,0.00133762706764679,0.0011756573161285,0.0014274251570481,0.000296938008882546,0.000953588366299541
"T+15",0.00173128425843923,0.00139260676444899,0.00147462118032472,-0.000907029344847505,0.000466905232252474,0.00133769906435387,0.00117565680732418,0.00138767801702904,0.000296925820133431,0.000779314272366012
"T+16",0.00173128427668744,0.00140227701702043,0.00147462317952938,-0.000907047674392745,0.000466934322506597,0.00133773803468757,0.00117565669838703,0.00135760336335514,0.000296928750870407,0.000921952680064687
"T+17",0.00173128428161171,0.00139565890224892,0.00147462407851212,-0.000907056682378956,0.000466949457897773,0.00133775912852991,0.00117565664220576,0.0013348473916251,0.000296928813542574,0.000805207185174999
"T+18",0.00173128428294051,0.00140018819895604,0.0014746243860811,-0.000907057739701963,0.000466957332666061,0.00133777054619483,0.00117565662826166,0.00131762909694807,0.000296928302124987,0.000900760064641406
"T+19",0.00173128428329909,0.00139708844481616,0.00147462451776464,-0.000907056706230462,0.000466961429823837,0.00133777672634317,0.00117565662194656,0.0013046008828549,0.000296928622855182,0.000822552740386141
"T+20",0.00173128428339585,0.00139920985048883,0.00147462456462934,-0.000907056051387742,0.00046696356152978,0.00133778007153101,0.00117565662021278,0.00129474309114904,0.000296928497566713,0.000886563219205226
"T+21",0.00173128428342196,0.00139775800565697,0.00147462458404251,-0.000907055924043605,0.000466964670633133,0.00133778188221274,0.00117565661949322,0.00128728419796374,0.000296928527075428,0.000834172456093672
