"","MSFT","XOM","INTC","JPM","VZ","GE","JNJ","V","CSCO","PFE"
"1",0.0162840837232378,-0.000666918530254605,0.00427582464489634,-0.00384869143437819,0.00089185251355119,6.03835071598693e-05,0.00541528373083388,-0.0032276522689788,0.00144679036318893,-0.00139096933910492
"2",0.0240663879884549,-0.000174789002609752,0.00335739063219597,0.00244107254110329,0.00203007236798297,-1.30871934482081e-05,-0.00277072394230559,0.000118362941349096,-0.000932718429238075,-0.000703421799741122
"3",0.0232906564636537,-9.82122047089316e-06,0.000376154706334954,-0.00130610137711023,0.00198426337349481,0.000213637494850648,0.000984731983720657,-0.000236481186460148,0.000127322901750415,-3.22690459499781e-06
"4",0.021174172454952,5.6079105687697e-05,0.00189426008806589,0.000955647011693972,0.00179399386020152,0.000251828025316006,0.000224221793985227,-0.000189937900998885,0.000452138074077319,0.000319760613302075
"5",0.0190297248282195,7.91392452793298e-05,0.00142344140067468,-0.00040943623556643,0.00160513214832129,0.000265444548546993,0.00083218584672497,-0.000187652071352232,0.00066668857734988,0.000477737162441589
"6",0.0170763963802635,8.80525316892757e-05,0.00151744875562253,0.000414462998105142,0.00143591181195437,0.000269018142537302,0.000831272978924079,-0.00018115270196601,0.000784273804800079,0.000554547913037262
"7",0.0153328783333383,9.12486971716989e-05,0.00151337432936205,-8.28033391697114e-05,0.00128660595709666,0.000270063981873468,0.000962592769240142,-0.000175657874424819,0.000851065550615994,0.00059191647620136
"8",0.013783103451399,9.24613147326729e-05,0.00150710118948288,0.000217322938513697,0.00115519661654986,0.000270357695025499,0.000997746564824096,-0.000170556351866757,0.000888729649125423,0.000610095288276223
"9",0.0124067379778021,9.29022244493787e-05,0.00151048329036796,3.61810115340133e-05,0.00103958513038039,0.000270441450156687,0.00103562804071458,-0.000165873832321977,0.000909999746935951,0.000618938847901796
"10",0.0111846003744376,9.30677527238699e-05,0.00150940208063919,0.000145509651342506,0.000937878958694938,0.000270465197999386,0.00105343315370308,-0.00016157011071315,0.000922008083515405,0.000623241026820708
"11",0.0100994499175385,9.31284158213926e-05,0.00150962708986474,7.95240913914091e-05,0.000848406575946614,0.00027047194573923,0.00106642398076972,-0.000157615173689219,0.000928787965588415,0.000625333933442537
"12",0.00913593962297764,9.31510548489271e-05,0.0015096133321969,0.000119349832658169,0.000769696569906025,0.000270473861534562,0.00107377420528934,-0.000153980686423425,0.000932615826946801,0.000626352082195902
"13",0.0082804356333442,9.3159388873128e-05,0.00150960024876743,9.53129120254975e-05,0.000700454384653696,0.000270474405620882,0.00107856414899539,-0.000150640691829569,0.000934777008807354,0.000626847387086118
"14",0.00752083106451679,9.31624885806035e-05,0.00150960776349956,0.000109820452503685,0.000639541163587566,0.000270474560124568,0.00108144421801677,-0.000147571327155205,0.000935997195305798,0.000627088341007092
"15",0.00684637592928453,9.31636325670403e-05,0.0015096052862274,0.000101064392027279,0.000585955037451394,0.00027047460400063,0.00108325609429218,-0.000144750664143233,0.000936686103196978,0.000627205559296635
"16",0.00624752523619046,9.31640572405592e-05,0.00150960582230581,0.000106349133102567,0.00053881464887032,0.000270474616460394,0.00108436710910471,-0.000142158551214185,0.000937075055274125,0.000627262583176336
"17",0.00571580395074997,9.31642141976901e-05,0.00150960578088107,0.000103159515087925,0.000497344656628549,0.000270474619998693,0.00108505829108964,-0.000139776469623617,0.000937294654615144,0.000627290323922843
"18",0.00524368706341462,9.31642724004916e-05,0.00150960575388016,0.000105084616608395,0.000460862983306758,0.000270474621003489,0.00108548478504175,-0.00013758740114561,0.000937418638708223,0.000627303819129077
"19",0.00482449309586165,9.31642939295288e-05,0.00150960577053071,0.000103922717018192,0.000428769596826442,0.000270474621288829,0.00108574917157943,-0.000135575706491511,0.000937488639170283,0.000627310384222457
"20",0.00445228954385683,9.31643019080084e-05,0.00150960576486753,0.000104623984272599,0.000400536641427467,0.000270474621369859,0.00108591263932174,-0.000133727013578523,0.000937528160890906,0.000627313577982549
"21",0.00412180891949848,9.31643048605913e-05,0.00150960576613935,0.000104200732757365,0.000375699755764147,0.00027047462139287,0.00108601385907337,-0.000132028114851738,0.000937550474549346,0.00062731513167005
