"","AAPL","MSFT","GE","XOM","JPM","DIS","INTC","PFE","JNJ","CVX"
"T+1",7.93683778432964e-05,0.000505365080343881,-0.00244587471082052,-0.000188103971633184,0.00107838416191379,0.0026710879222185,0.000514732578240627,0.00148758678401577,0.00121485448114742,0.000920365738666619
"T+2",-0.000256863751631695,0.000812544515027852,-0.00146231147485156,-0.000550000715510935,0.00182224951515991,0.00339374334636066,0.00068027000832952,0.00165103987669898,0.000705353987777916,-0.00162706487877042
"T+3",-0.000143478421348148,0.000388542655175243,-0.000231913298709476,0.000202959899847165,0.0005073092482924,0.00262445822697059,0.00054966915207216,0.00150836572310309,0.000378671963178519,-0.000605368925927285
"T+4",-6.22079182919709e-05,0.000665732753537146,-0.000978328030914803,-0.000558679465164409,0.00142901043056405,0.00201041504581936,0.000520185886367764,0.0013407234097052,0.000201909590514903,-0.00176794947489378
"T+5",-2.87353997517446e-05,0.000477434461203747,-0.000213495417382347,0.000185206331904376,0.000854336484380933,0.00162166718877022,0.000510102391922518,0.00119277206678708,0.000106464730873624,-0.000666797323060997
"T+6",-1.73664939050841e-05,0.000605003434072453,-0.000909361709222127,-0.000539540922882895,0.00120347919583753,0.00138511859589369,0.000506963590748096,0.00106831054934042,5.49296166219288e-05,-0.00173278764341744
"T+7",-1.39154341602964e-05,0.000518561484699926,-0.00026160323326956,0.000166433879526571,0.000992679821684551,0.00124231947543951,0.000505968055253244,0.000964623776328372,2.7103424306174e-05,-0.000703707644759797
"T+8",-1.29523387848554e-05,0.000577134618010857,-0.000861831840481371,-0.000521245825516484,0.00111975688176094,0.00115625567498008,0.000505653512499967,0.000878420700258386,1.20787758461893e-05,-0.001697505741558
"T+9",-1.27030256288737e-05,0.000537445381202682,-0.00030514141611765,0.000148612267505366,0.00104317965944379,0.00110440333576102,0.00050555405370249,0.000806784265953354,3.96627310885054e-06,-0.000737822787675411
"T+10",-1.26433625603261e-05,0.000564338861753291,-0.000821358829864338,-0.000503886026677315,0.00108932109382131,0.00107316516035238,0.0005055226097465,0.000747258465113328,-4.14042399931581e-07,-0.00166456694985347
"T+11",-1.26304015890665e-05,0.000546115802874656,-0.000342654812744942,0.000131702355800214,0.00106151932536813,0.0010543461565408,0.00050551266839677,0.000697796875814562,-2.77917737463745e-06,-0.000769631676840129
"T+12",-1.26279707966802e-05,0.000558463772270865,-0.000786568371997435,-0.000487414345958995,0.00107827073032039,0.00104300894404857,0.000505509525351572,0.000656698080599854,-4.05622315760943e-06,-0.00163384992424472
"T+13",-1.26276387639281e-05,0.000550096771471038,-0.000374916247061388,0.00011565754924038,0.00106817751752338,0.00103617902320659,0.00050550853164882,0.000622548157191368,-4.74575925142552e-06,-0.000799294406013368
"T+14",-1.26276395862332e-05,0.000555766262553977,-0.000756651431748946,-0.000471785350854645,0.00107425897210132,0.00103206444807101,0.00050550821748061,0.000594172214644655,-5.11807168612042e-06,-0.00160520531580647
"T+15",-1.26276632215008e-05,0.000551924607711517,-0.00040265894512587,0.000100433589571888,0.00107059471897718,0.0010295856890224,0.000505508118153453,0.000570594004117185,-5.31910039262554e-06,-0.000826955840229263
"T+16",-1.26276752042292e-05,0.000554527718239904,-0.00073092493743837,-0.000456955929868885,0.0010728025379278,0.00102809240084948,0.000505508086750262,0.000551002337475422,-5.4276450907693e-06,-0.00157849331030255
"T+17",-1.26276796558207e-05,0.000552763847017506,-0.000426515759229098,8.59884825457622e-05,0.00107147226288206,0.00102719279361817,0.000505508076821856,0.000534723180044337,-5.48625339452823e-06,-0.000852751004464724
"T+18",-1.26276810856851e-05,0.000553959048548627,-0.000708801923217352,-0.000442885177059548,0.00107227379223502,0.00102665083983785,0.000505508073682899,0.00052119646118923,-5.51789872892264e-06,-0.00155358351841994
"T+19",-1.26276815028196e-05,0.000553149178371114,-0.000447030977758824,7.22823823234936e-05,0.00107179084751956,0.00102632434857615,0.000505508072690489,0.000509956805590033,-5.53498550886177e-06,-0.000876805812799291
"T+20",-1.26276816153364e-05,0.000553697947501128,-0.000689777653390883,-0.000429534279218588,0.00107208183573766,0.00102612765921288,0.00050550807237673,0.000500617522402469,-5.544211451778e-06,-0.00153035434786971
"T+21",-1.26276816434877e-05,0.000553326100794806,-0.000464672653951774,5.92774815662259e-05,0.00107190650688456,0.00102600916689729,0.000505508072277532,0.000492857301487565,-5.54919296514664e-06,-0.000899237684088669
