"","AAPL","MSFT","INTC","XOM","GE","JPM","JNJ","PFE","V","CSCO"
"T+1",0.00198446667062104,0.000612618036872327,0.00296517901555252,2.83888621473771e-05,-0.000269446624666317,0.00148616995594314,0.00202073450757765,-0.000767577285460406,0.00089990897636036,0.00142342137964245
"T+2",0.00280139071302174,0.000998429867785354,0.000935937708618813,-0.000858499876556502,-0.00013615991595549,0.00087456960915956,-0.00121674097832533,-0.00096606188029644,-0.00271166650637642,0.000710615124759524
"T+3",0.00150214118886944,0.0010281582909551,0.000764866808118022,-0.000465304139400451,-0.00011538492896854,0.00099013485735923,0.000346423427553426,0.000129417415433185,0.00279234788201495,0.00110136873359844
"T+4",0.00164578467771157,0.00103638342267189,0.00118103336196958,-0.000551856232998798,-9.61900273703332e-05,0.00099348438006216,0.000188518296422726,0.000219898378076577,-0.00151197083358312,0.00122389633216404
"T+5",0.00167861594722098,0.00104007033367137,0.000865649919988782,-0.000522308877449853,-9.23390860383159e-05,0.000998503152697407,0.000415511809107458,0.00035416026709503,0.0022559180374891,0.00131116126931537
"T+6",0.00166836644207056,0.00104181645134136,0.0010655554488087,-0.000529868236271383,-8.95285352016082e-05,0.000999753023260423,0.000445887068043246,0.000378341256595133,-0.000965364810333937,0.00136092567002705
"T+7",0.00166843639618852,0.00104264723161231,0.000945886806598505,-0.000527541747163726,-8.88549524443282e-05,0.00100021880324862,0.000492313630508509,0.000396148174223062,0.00180180152971071,0.00139068761467426
"T+8",0.00166883988036775,0.0010430426539695,0.00101600756297119,-0.000528176419357653,-8.84375194615781e-05,0.00100036947284175,0.000509226028293711,0.000400744235788618,-0.000572952988334833,0.00140829412456429
"T+9",0.00166878223052531,0.00104323086687665,0.000975265371255017,-0.00052798926887351,-8.83236938218969e-05,0.00100042048103454,0.000521424132880099,0.000403249355922268,0.00146544148219972,0.0014187353853349
"T+10",0.0016687738069282,0.00104332045256759,0.000998857275430639,-0.000528041732704035,-8.82609531496699e-05,0.00100043749041826,0.000527392576235744,0.00040403211990845,-0.000284164393793615,0.00142492396293325
"T+11",0.00166877727457133,0.00104336309362621,0.000985215208356741,-0.000528026536058559,-8.82421381898573e-05,0.001000443190691,0.000530982660019698,0.000404398607504976,0.0012175792031381,0.00142859242003777
"T+12",0.00166877714275691,0.00104338338994687,0.000993099306246314,-0.000528030845344711,-8.82326162988913e-05,0.00100044509786674,0.000532908432393296,0.000404525709234442,-7.1413989608284e-05,0.00143076694135253
"T+13",0.00166877702094553,0.00104339305060367,0.000988543936835531,-0.000528029606426452,-8.8229551959476e-05,0.00100044573630717,0.000534007776772832,0.00040458062436419,0.00103496929653443,0.0014320559228831
"T+14",0.00166877704281027,0.0010433976488898,0.000991175744962533,-0.000528029959447762,-8.82280956163237e-05,0.00100044594999153,0.000534614235167824,0.000404600788272511,8.53258864173849e-05,0.00143281998573647
"T+15",0.00166877704474722,0.00104339983758523,0.000989655309132528,-0.000528029858272718,-8.82276016216311e-05,0.00100044602151532,0.000534955104833324,0.000404609132368784,0.000900434565633869,0.00143327289543529
"T+16",0.00166877704360299,0.001043400879362,0.000990533674326562,-0.000528029887160579,-8.82273775156913e-05,0.0010004460454551,0.000535144741975853,0.000404612293266158,0.000200801261224853,0.00143354136442189
"T+17",0.00166877704368043,0.00104340137522763,0.000990026240587083,-0.000528029878892314,-8.82272984543393e-05,0.00100044605346804,0.000535250836999544,0.000404613571137126,0.000801318435688275,0.00143370050342504
"T+18",0.00166877704371601,0.00104340161125009,0.000990319385537212,-0.00052802988125512,-8.82272638044315e-05,0.00100044605615007,0.000535310011117152,0.000404614063526639,0.000285875739478499,0.00143379483544658
"T+19",0.00166877704370806,0.00104340172359223,0.0009901500356055,-0.000528029880579215,-8.82272512165898e-05,0.00100044605704778,0.000535343070855889,0.00040461426008628,0.000728296346882131,0.00143385075216164
"T+20",0.00166877704370771,0.00104340177706492,0.000990247869072232,-0.000528029880772436,-8.82272458396408e-05,0.00100044605734825,0.000535361523846553,0.000404614336530126,0.00034855288501188,0.00143388389762988
"T+21",0.00166877704370807,0.00104340180251689,0.00099019135068223,-0.000528029880717176,-8.82272438429842e-05,0.00100044605744882,0.000535371828972422,0.000404614366837391,0.000674498590117305,0.00143390354510135
