"","AAPL","MSFT","GE","JPM","INTC","BA","DIS","V","WMT","JNJ"
"T+1",0.00171873830725292,0.00420086911801746,-0.00486306859464728,0.0021765946044983,0.00562402021800809,0.00346598360345774,0.00774761016011861,0.00347607409414417,0.00285536998822135,0.00415224760293284
"T+2",0.000475231043435394,0.00157762814526208,0.000747412773747745,0.00206763993589819,0.00279589319550768,0.00361500252302125,-0.00366393562200525,0.00080913904263723,0.00398469961357149,0.00536771058935594
"T+3",0.00151763143461017,0.0010729094905079,0.000690647888919375,0.000279006693111848,0.0026405092880745,0.00243719699993844,0.000859592073770004,0.00108608724964307,0.00211211482382059,0.00519575580626616
"T+4",0.00062488953531678,0.00161154087013166,-0.000447127941560095,0.00103488209602977,0.00227454083497044,0.00268722054442435,-0.000643242051609936,0.00140565858438553,0.00123008816472283,0.00492345476323868
"T+5",0.00138975081253583,0.00152389927743554,-0.00131051147249591,0.000900816118044058,0.00202068732114571,0.00276330474659565,-0.000260541392152005,0.00117318901577427,0.00110124075255742,0.00465857279143531
"T+6",0.000734447537773673,0.00147085108966736,-0.00175218964203161,0.000880277375695513,0.0018204687188611,0.00271789441779482,-0.000302134943582389,0.00124890782405144,0.00115494568064791,0.00440923944183195
"T+7",0.00129588586029632,0.00149973380127021,-0.00192327178853644,0.000902375979406715,0.00166580500310129,0.00271960779898274,-0.000332536197943466,0.00124725572873717,0.00119173916547022,0.00417522143668301
"T+8",0.000814867371927933,0.0014988653790116,-0.00196862392684351,0.000895248259635163,0.00154594584760769,0.00272433682143852,-0.000303605492249955,0.00123462921994907,0.00120002346128855,0.00395563528555459
"T+9",0.00122698527852361,0.00149486813236475,-0.00197011575021223,0.000895983830781477,0.00145310568789875,0.00272307244843431,-0.000319995916156615,0.001242149088814,0.0011989444489385,0.00374959581747869
"T+10",0.000873898706917995,0.00149619882883586,-0.00196241780045921,0.000896397654749389,0.00138118819901465,0.00272282597458275,-0.000312573784047193,0.00124011004781469,0.00119752633415023,0.00355626772117989
"T+11",0.00117640952979888,0.00149638782394147,-0.00195621049872403,0.000896151001478545,0.00132547887880743,0.0027230242886791,-0.000315411083309351,0.00123992875697581,0.00119708892502526,0.00337486681755002
"T+12",0.000917230038650492,0.00149613476008526,-0.00195294103258804,0.000896211908288676,0.00128232478239826,0.00272300713774015,-0.000314510557339656,0.0012403979489184,0.00119708337041556,0.00320465727272739
"T+13",0.00113928493239685,0.00149618303373888,-0.00195163877751151,0.00089621146455981,0.00124889634566041,0.00272298867558151,-0.00031471970589208,0.00124016201377675,0.00119713329008256,0.00304494864656199
"T+14",0.000949036947812009,0.00149620582189297,-0.00195127551771196,0.000896205495631895,0.00122300169075648,0.002722994790629,-0.000314709585573557,0.00124021289757296,0.00119715387692106,0.00289509309472052
"T+15",0.00111203401141168,0.0014961918480331,-0.00195125029324145,0.000896208026193545,0.0012029429260275,0.0027229954857971,-0.000314683716902794,0.00124022607499615,0.001197156143735,0.00275448274099942
"T+16",0.000972384475569855,0.00149619269242344,-0.00195130174904451,0.000896207575424413,0.00118740481422816,0.00272299463922805,-0.000314704311121885,0.00124020941575138,0.00119715459466746,0.00262254721154724
"T+17",0.00109203075894546,0.00149619449870724,-0.00195134621537286,0.000896207507469744,0.00117536853375383,0.00272299475267034,-0.000314693316674171,0.00124021658477494,0.00119715370618658,0.00249875132119374
"T+18",0.000989522483215783,0.00149619383075062,-0.0019513703557597,0.000896207581312556,0.00116604487528543,0.00272299482236907,-0.000314698106214572,0.0012402154692756,0.00119715353620162,0.00238259290251721
"T+19",0.0010773475814688,0.00149619376539681,-0.00195138023743385,0.000896207557426891,0.00115882249396753,0.00272299479379625,-0.000314696341773617,0.00124021482250226,0.00119715357425635,0.00227360076884538
"T+20",0.00100210245781173,0.00149619388354483,-0.00195138312430948,0.000896207559913249,0.00115322782401281,0.00272299479241488,-0.0003146968741007,0.00124021539246757,0.00119715360970664,0.00217133280292705
"T+21",0.00106656954918756,0.00149619385763346,-0.00195138341594814,0.000896207561291105,0.00114889402737087,0.0027229947959476,-0.000314696764353556,0.00124021518231115,0.00119715361932023,0.00207537416352136
