"","BAC","XOM","JPM","GE","MSFT","WMT","CSCO","INTC","CVX","PG"
"T+1",0.00071349812188118,-0.00203033402310558,0.00128880686439566,-0.00189848993391679,0.00112597825215434,0.000279075995632106,0.00166559956809018,-0.00233654838230176,-0.00100466273689754,0.00138851330582552
"T+2",-0.00191630876023744,0.000198293659414225,0.000202344874269479,-0.00192853766396946,0.00154763856445278,0.000239071315649108,0.00231490197038497,0.000611278016884973,-0.000814233358585198,0.00394831479049812
"T+3",0.000259776733347515,-0.0012991247521575,0.000249075100771737,-0.00194268033454139,0.00162080815314047,-0.000784458403677629,4.35650438092607e-05,0.00104372640123844,-0.001849780432271,-0.0019253187287827
"T+4",-0.00160170480369759,-0.00122559897548925,0.000230358555719968,-0.00195673310025475,0.00164493405851922,-0.000593660540393538,4.96753272389299e-05,0.000188565803425766,-0.00125911000803816,-0.000355649075614048
"T+5",-1.10212054890638e-05,-0.00105123365469168,0.000222314261889255,-0.00197053949099095,0.00165464153684614,-0.000474390398684448,0.000308282643296162,0.000682622145891548,-0.00149488482000973,0.00032966620272472
"T+6",-0.00137034577095621,-0.00110249898783321,0.00021730443972045,-0.00198410540569873,0.00165868894097228,-0.000524578297985536,0.000298466496213825,0.000512903200060701,-0.00142011947675438,-0.000251224396123946
"T+7",-0.000208731118873903,-0.00111255639046687,0.00021432893934203,-0.00199743501685893,0.00166038580536094,-0.000533429676776411,0.000269343911880644,0.000532917196087406,-0.00143853915741306,-0.000187988072555318
"T+8",-0.00120139223716271,-0.00110356968141199,0.00021255240630905,-0.00201053244078692,0.0016610978085629,-0.000524294246882296,0.000271489496174107,0.000551863640640616,-0.0014358209952517,-8.70896858789548e-05
"T+9",-0.000353110844527722,-0.00110443634945434,0.000211492346392897,-0.00202340172192841,0.0016613966025319,-0.000524614243518296,0.000274732400645158,0.000535260130963716,-0.00143541612241568,-0.000136877301177835
"T+10",-0.00107801213043057,-0.00110538072502727,0.000210859765145877,-0.00203604683428101,0.00166152199458947,-0.000525928460201585,0.000274373545516927,0.00054283575971524,-0.00143595177206327,-0.0001404328663158
"T+11",-0.000458545666984047,-0.00110504300132567,0.000210482280770666,-0.0020484716826196,0.00166157461684846,-0.000525643131082,0.000274016666047372,0.000540900695352051,-0.00143567966965112,-0.000128553605360862
"T+12",-0.000987912501886289,-0.00110500294220283,0.000210257021844028,-0.00206068010370219,0.00166159670041106,-0.000525497271435957,0.000274070143682544,0.000540757532343374,-0.00143578188849659,-0.000132073430003821
"T+13",-0.000535540561789152,-0.00110505585882814,0.000210122601500847,-0.00207267586745463,0.00166160596804377,-0.000525566456870763,0.000274108924813528,0.000541223994859129,-0.00143575122246417,-0.000133335178463515
"T+14",-0.000922116294711746,-0.00110504829854056,0.000210042387903448,-0.00208446267813481,0.00166160985731738,-0.000525575871702354,0.000274101463314918,0.000540936777737511,-0.00143575817605289,-0.000132131596123118
"T+15",-0.000591766898476976,-0.00110504332730661,0.000209994521479009,-0.0020960441754765,0.00166161148949785,-0.000525563781432266,0.000274097307269658,0.000541041307993339,-0.00143575741632069,-0.000132296297683522
"T+16",-0.000874067918170131,-0.00110504548953284,0.000209965957810713,-0.00210742393581329,0.00166161217446203,-0.000525564550279636,0.000274098304084679,0.000541025717563473,-0.00143575710618068,-0.000132493230278582
"T+17",-0.00063282677582774,-0.00110504560816417,0.000209948912811926,-0.00211860547318295,0.00166161246191549,-0.000525566227227819,0.000274098742520272,0.000541016249509161,-0.00143575737220301,-0.000132387267766076
"T+18",-0.00083898008275493,-0.0011050453024471,0.000209938741429853,-0.00212959224041258,0.0016616125825488,-0.000525565809000622,0.000274098613469893,0.000541025615124217,-0.00143575724896803,-0.000132383491705448
"T+19",-0.000662811185756849,-0.00110504536058972,0.000209932671789451,-0.00214038763018477,0.00166161263317402,-0.000525565632658394,0.000274098568060397,0.000541021108849411,-0.00143575729270667,-0.000132407409314354
"T+20",-0.000813356819645137,-0.00110504538583962,0.000209929049810222,-0.00215099497608534,0.0016616126544195,-0.000525565727306285,0.000274098584367293,0.000541022357544104,-0.00143575728032738,-0.000132399602394161
"T+21",-0.000684707618401212,-0.00110504537232576,0.000209926888441069,-0.00216141755363267,0.00166161266333542,-0.000525565736702057,0.000274098588966716,0.000541022376851285,-0.00143575728286437,-0.000132397321261777
