"","C","BAC","MSFT","XOM","GE","JPM","WMT","INTC","CVX","PG"
"T+1",-0.0145786593078567,0.0158048143584073,-0.00622089030728918,-0.00251878988730161,-0.016155779811486,0.0126295430445779,-0.00536357797935582,-0.00855050758613056,0.00123135705147729,-0.00331097513999919
"T+2",-0.0361874831378985,0.0129590049159967,-0.00361659147413018,0.000362745513742849,-0.00916159146896188,0.0115061490143407,-0.00237168873542065,0.00498771284494954,0.00184316005465892,-0.00289879265795401
"T+3",-0.0293018460273282,0.0118949910932139,-0.00243237224161441,-0.000589974147401516,-0.00101818833825209,0.0104357775531761,-0.000767290164594264,-0.0028690371470687,-9.24897274882253e-05,0.00182296273906795
"T+4",-0.0206402562358024,0.0109804834121323,-0.00185790447469764,-0.000720914779040797,-0.00177238830407544,0.00946024938982544,0.000107623167516237,-0.000698289694051754,0.00115226033625704,-0.000561811092305842
"T+5",-0.0144932193716971,0.0101271440519297,-0.00157447107777595,-0.000620682560545831,-0.00265746632516441,0.0085710502117898,0.000584946033673589,-0.000670993088472593,0.000534742882974955,-0.000461470136283166
"T+6",-0.0106569036463961,0.00932706487892343,-0.00143403983634401,-0.000622002748450562,-0.00257614387536633,0.00776054065685161,0.000845360189394905,-0.00101638243592036,0.000807346789708628,2.39107503827983e-05
"T+7",-0.00836603185464035,0.0085767224278108,-0.00136438926242566,-0.000630620293883251,-0.00247994827999251,0.00702175709121241,0.000987434995665681,-0.000834449964473666,0.000695074088031846,-0.000234219173167757
"T+8",-0.00702110875349865,0.00787301447135902,-0.00132983550648331,-0.000629404240234375,-0.00248871644637523,0.0063483521282091,0.00106494710589693,-0.000879857385432079,0.000739145831140012,-0.00021760105587199
"T+9",-0.00623691977460581,0.00721304209348526,-0.00131269227857184,-0.000628804118603646,-0.00249917151358928,0.00573454009273813,0.00110723558329499,-0.00088310734311942,0.000722470269611063,-0.000167858165649028
"T+10",-0.00578095906186599,0.00659408709200707,-0.00130418684461895,-0.000628987341302088,-0.00249822618865605,0.00517504731263047,0.00113030701452454,-0.000874439142210878,0.000728591155150631,-0.000195730668736723
"T+11",-0.00551614994307258,0.00601360022974253,-0.00129996694664019,-0.000629016551764128,-0.0024970898795547,0.00466506680898589,0.00114289415342692,-0.000878614357250455,0.000726403596874835,-0.000193338772479977
"T+12",-0.00536242957700801,0.00546919070642714,-0.00129787327863366,-0.000628996761175841,-0.00249719179196005,0.00420021699618304,0.00114976135053193,-0.000877685289038933,0.000727166296150091,-0.00018825769595728
"T+13",-0.00527321326698061,0.00495861631044071,-0.0012968345220795,-0.000628996727613964,-0.00249731529116372,0.00377650403672954,0.00115350790456972,-0.000877549823063963,0.000726906723783343,-0.000191260303500532
"T+14",-0.00522143808031497,0.00447977418393003,-0.00129631915133624,-0.000628998466694299,-0.00249730430499666,0.00339028752751693,0.00115555192150174,-0.000877764340404023,0.000726992906248173,-0.000190940472006872
"T+15",-0.0051913922350362,0.00403069216194909,-0.00129606345426708,-0.000628998247582206,-0.00249729088260685,0.00303824922266838,0.00115666708097261,-0.00087766939790912,0.000726965044624209,-0.000190423285088535
"T+16",-0.00517395646587119,0.00360952064987664,-0.00129593659221244,-0.000628998123115913,-0.00249729206684253,0.00271736452425583,0.00115727548133661,-0.000877687872884555,0.000726973783088652,-0.000190746014591286
"T+17",-0.00516383845171116,0.0032145250056535,-0.0012958736506192,-0.000628998158215196,-0.00249729352563515,0.0024248764959442,0.00115760740785707,-0.000877692381970104,0.000726971141009983,-0.000190705156039111
"T+18",-0.00515796696049796,0.00284407839546489,-0.00129584242265138,-0.000628998164643966,-0.00249729339799055,0.00215827217629656,0.00115778849784567,-0.000877687138142541,0.000726971902538771,-0.000190652714312746
"T+19",-0.00515455973311531,0.00249665509344308,-0.00129582692914503,-0.000628998160746392,-0.00249729323944454,0.00191526098823159,0.0011578872955673,-0.000877689276545277,0.000726971697678347,-0.000190687326051988
"T+20",-0.0051525825192775,0.00217082419779449,-0.00129581924216584,-0.000628998160680523,-0.00249729325320202,0.0016937550591349,0.00115794119688938,-0.00087768892322737,0.000726971746764994,-0.000190682266622535
"T+21",-0.00515143514240544,0.00186524373747034,-0.00129581542833262,-0.000628998161030585,-0.0024972932704332,0.00149185128254058,0.00115797060396956,-0.0008776887878348,0.000726971737659284,-0.000190676971331594
