"","AAPL","MSFT","GE","JPM","BA","INTC","V","DIS","WMT","XOM"
"T+1",0.00235012756984248,-0.00256629725065561,-0.00832065044978477,0.000381069221159289,0.00220802052176721,-0.00224821727896887,-0.00338547393219129,-0.00287042326114314,-0.000452596855028019,0.00256619352523147
"T+2",0.00054516628499435,-0.000518698397641374,-0.00438812194529194,-0.000530134957168122,-7.02588293808159e-05,0.00208907684206821,0.00105704411349799,-0.00221989112201411,-0.000749974504820997,-0.00456449072044556
"T+3",0.000679385645591307,0.00287155881334142,-0.00267690325223742,0.00174254636002492,0.00331753712520294,0.000826702690881189,0.00233389832505036,0.00106619397803848,0.000591500357228147,0.00280373380321247
"T+4",0.000857903350382038,0.00143940594718412,-0.00219736169029248,0.00103064190920596,0.00290503360033216,0.00178764898051814,0.000764138003230368,-0.00120594964157064,0.00105072499171405,-0.000605114768453946
"T+5",0.000878994357807986,0.00130882863931786,-0.00220408756415797,0.00103498260701439,0.00254512002775706,0.000941074432332488,0.00158849711481561,-0.000266504831795892,0.00106017917700935,0.000396116419623821
"T+6",0.000867603617804573,0.00159791992903408,-0.00232063113098244,0.00111176297584688,0.00267525286223443,0.00169542127984984,0.00130310941497501,-0.000500491596687157,0.00101618920903998,0.000278175807474395
"T+7",0.000863726880945587,0.00152855210131903,-0.00241377071396877,0.00108384713987728,0.00269532672811184,0.00102270814075463,0.00135582189025575,-0.000505363166388714,0.00100116065898538,0.000207207140351104
"T+8",0.000863992262518399,0.00150064042286779,-0.00246245579330067,0.00108537491919576,0.00267394290872966,0.00162265639791893,0.00136792578146046,-0.000462598411485523,0.00100086036957491,0.000266449088311755
"T+9",0.000864371512317456,0.00152150817783702,-0.00248044051956781,0.00108790055954431,0.00267579590570533,0.00108760012540327,0.00135130631865165,-0.000489912909846662,0.0010023028929613,0.000240971007709833
"T+10",0.000864418005235074,0.00151969646323546,-0.002483776864496,0.00108682989388193,0.00267822566805319,0.00156478343994401,0.00136026608351959,-0.000479170764921389,0.00100279471425678,0.000247864058538662
"T+11",0.000864394113763852,0.00151666541443509,-0.00248232192683118,0.00108693460811336,0.00267747001474031,0.00113921339794117,0.00135709177601659,-0.000481620848560782,0.00100280424289119,0.000247336468207243
"T+12",0.000864385790001851,0.00151794255312242,-0.00248036690338449,0.00108701499386227,0.0026773086407003,0.00151875278122704,0.00135771244093376,-0.000481824895692213,0.00100275693972682,0.000246677367298585
"T+13",0.000864386311527909,0.00151806033629034,-0.00247911536220377,0.00108697474540756,0.0026774422415348,0.00118026527209217,0.0013578244438523,-0.000481276410156472,0.00100274084454393,0.000247147217290093
"T+14",0.000864387117015748,0.00151780210987201,-0.0024785512730692,0.00108698028366665,0.00267743540587384,0.00148214117453277,0.00135764885429151,-0.000481602802072252,0.00100274054250135,0.000246958769530457
"T+15",0.000864387219356534,0.00151786387336827,-0.00247838282252197,0.00108698273309276,0.00267741922754515,0.00121291688112446,0.00135774612182598,-0.000481480775186491,0.00100274209365795,0.000247005272261796
"T+16",0.000864387169268829,0.00151788886810691,-0.0024783766105573,0.0010869812483859,0.00267742353344074,0.00145302124048275,0.00135771086871118,-0.000481505883741153,0.00100274262038162,0.000247004057012489
"T+17",0.000864387151402701,0.00151787024252,-0.0024784105820107,0.00108698150944778,0.00267742476061605,0.00123888713448132,0.0013577181287518,-0.000481509993643286,0.00100274262994523,0.00024699820504048
"T+18",0.000864387152420289,0.00151787184538481,-0.00247843962443716,0.00108698157951852,0.00267742393458974,0.00142985999093249,0.00135771913087168,-0.000481503044410224,0.00100274257908021,0.000247001885795945
"T+19",0.000864387154130626,0.0015178745552699,-0.00247845535390743,0.00108698152575315,0.00267742394659983,0.00125954320869661,0.00135771727981348,-0.000481506921980612,0.00100274256184296,0.000247000506966441
"T+20",0.000864387154355596,0.00151787341637284,-0.00247846140766263,0.00108698153725678,0.00267742405299355,0.00141143812638404,0.00135771833450642,-0.000481505545522489,0.0010027425615405,0.000247000812833623
"T+21",0.000864387154250639,0.00151787331014152,-0.00247846268315342,0.0010869815390617,0.0026774240290206,0.0012759725209611,0.00135771794357102,-0.000481505795628562,0.00100274256320845,0.000247000824557481
