"","BAC","MSFT","JPM","XOM","INTC","GE","CSCO","IBM","CAT","PFE"
"T+1",-0.0032514494764375,0.00197789896235507,-0.00291592780966289,-0.0033073839689006,0.000807014732834351,-0.000269178867686448,0.00166941395857289,0.000261289771817461,-0.00409923744074227,0.000102581728206081
"T+2",0.000710235913611784,0.0014339580030901,0.00311936391343363,0.00048752191044718,0.000457966716386666,0.00184723386535441,0.00130717534733898,0.00108347488980091,-5.64292817563074e-06,0.000971394571592225
"T+3",-0.00261970031143937,0.00143960778087461,-0.00170298770127899,-0.000633331129086598,0.000808832418832786,-0.000221637748661302,0.00126483519253709,0.000656159536460467,-0.000256794132980557,-0.000221758507030567
"T+4",4.79470617360026e-05,0.00141809758130959,0.00213772514863093,0.00058120303055544,0.000839578599555961,0.00177596762603244,0.00132532575988822,0.000994649503456819,0.000288741973656424,0.000898026461904839
"T+5",-0.00209040704536857,0.00140576255895448,-0.000921390805076627,-0.000364901738501033,0.000854794570879059,-0.000153711651738266,0.00127606062311025,0.000731411061185895,-7.95642528587313e-05,-0.000136070049164308
"T+6",-0.000376341025031836,0.00139755979848847,0.00151518175878174,0.000414323688463422,0.000857634121012358,0.00171031927192934,0.00131445741628329,0.000936262342842679,0.000204624675193737,0.000818095973915823
"T+7",-0.00175030551209417,0.001392194829175,-0.000425537768577794,-0.000220753978580439,0.000858475163433773,-9.02978334839133e-05,0.00128467196497342,0.000776851540185638,-9.68366900717807e-06,-6.22792325825963e-05
"T+8",-0.000648960297258348,0.00138867973675067,0.001120236954821,0.000297848222203482,0.00085866954096691,0.00164906273251688,0.00130776538377202,0.000900901658643838,0.00015253672917693,0.000750009938274154
"T+9",-0.0015317788079856,0.00138637710146264,-0.000110965937639622,-0.000125487770689361,0.00085872053017964,-3.11252275893146e-05,0.00128986149287533,0.0008043684804774,2.98206020225402e-05,5.41287785500407e-07
"T+10",-0.000824127371920017,0.00138486868179892,0.000869681849814035,0.000220105364193577,0.000858733044163353,0.00159190316363251,0.00130374195321021,0.000879488557855025,0.000122662162085027,0.000692047803803752
"T+11",-0.00139136803223779,0.00138388054221337,8.86001215898447e-05,-6.20183699083855e-05,0.000858736223207793,2.4089787235669e-05,0.00129298077030388,0.000821031702583312,5.24235613205745e-05,5.40207679473682e-05
"T+12",-0.000936678123733279,0.00138323322894694,0.000710728345373268,0.000168292874200744,0.000858737016390142,0.00153856654962817,0.00130132365273196,0.00086652159087356,0.000105562207991873,0.000642704300274252
"T+13",-0.00130114937440142,0.00138280918515696,0.000215205901508308,-1.97212488816119e-05,0.00085873721615515,7.56119031394779e-05,0.00129485561968927,0.000831122322010384,6.53604609011918e-05,9.95481614949674e-05
"T+14",-0.00100899577679792,0.00138253140136107,0.000609887388357844,0.000133763716309685,0.000858737266221328,0.00148879720305904,0.00129987012777597,0.000858669284272678,9.57748710119375e-05,0.000600697887779123
"T+15",-0.00124318084471809,0.00138234942997258,0.000295525288335162,8.46656412542844e-06,0.000858737278801135,0.000123688109142792,0.00129598250209703,0.000837232820914825,7.27650170215021e-05,0.000138305897293418
"T+16",-0.00105546230732324,0.0013822302236448,0.000545913343573094,0.000110752650380519,0.000858737281957797,0.00144235653740829,0.00129899648336061,0.000853914223274807,9.01729950107533e-05,0.000564937583697059
"T+17",-0.0012059341097939,0.00138215213362909,0.000346480338763322,2.7251603040763e-05,0.000858737282750448,0.000168548875109554,0.00129665981728023,0.000840933108804091,7.70030853843823e-05,0.000171300583946213
"T+18",-0.00108531861996007,0.00138210097820248,0.000505327865933337,9.54175204472061e-05,0.000858737282949414,0.00139902192333839,0.00129847137743728,0.000851034737508047,8.69667077926671e-05,0.00053449462815569
"T+19",-0.00118200182670701,0.00138206746716207,0.000378806496453413,3.97704065029416e-05,0.000858737282999367,0.00021040925658362,0.00129706691908092,0.000843173863720762,7.94287842753211e-05,0.000199389153231513
"T+20",-0.00110450230753456,0.00138204551465569,0.000479580220919029,8.5197819617216e-05,0.000858737283011907,0.00135858562144061,0.00129815576135153,0.000849291029428449,8.51315586905979e-05,0.000508578362455963
"T+21",-0.00116662452786679,0.0013820311339462,0.000399314384527783,4.81132393760802e-05,0.000858737283015055,0.000249469925731639,0.00129731160852571,0.000844530780465309,8.08171561954425e-05,0.00022330111617262
