"","AAPL","MSFT","BA","JPM","INTC","V","CSCO","JNJ","DIS","XOM"
"T+1",-0.000657917052899155,0.00485477171253792,-0.000984749559254138,-0.00142232887545662,-0.00273796860147819,0.0033770057578322,-0.00259629503888088,-0.00266660635435105,-0.00128069376565108,-0.00419528414954951
"T+2",-0.000209489741910586,0.00465805148342851,0.000631238270146366,0.000841090061318738,0.00169119924819839,0.00335397119023295,0.00448300882266894,-0.000848634806956336,-0.000208369558492803,0.0043264351487742
"T+3",-0.000168573446807068,0.00411182509275551,0.000397561198130486,-0.000964145003417455,-0.000596887157304232,0.00305163437168361,-0.00121740054801527,0.000542486581085265,-0.000211740419382584,-0.0035983895353178
"T+4",-0.000115268407163871,0.00368210946173994,0.000482433263655358,0.00068026396609915,0.000401543735430713,0.00281146323642476,0.00408691589745132,-0.000569633325113113,-0.000174216439477334,0.00333681010926472
"T+5",-6.52531485208147e-05,0.00332138326850771,0.000437693514551237,-0.000827454921918835,2.92289603319444e-05,0.0026016000973585,-0.000964307384445226,-0.000107942776371097,-0.000144345887304689,-0.00268563936290622
"T+6",-1.77912697385509e-05,0.00302023918329937,0.000462786710054789,0.00055534780220897,0.000142175934629265,0.00241983292880478,0.00386205560955933,-0.000219286851546268,-0.000119059743535297,0.00253885338939991
"T+7",2.72272548059245e-05,0.00276872075660332,0.000448599935043815,-0.000712905365603661,0.000120290312626042,0.00226227636830652,-0.000751665808001554,-0.000221505599030531,-9.77254638140512e-05,-0.00199279549364012
"T+8",6.99289760118024e-05,0.0025586581406245,0.000456628536691987,0.000450288095869309,0.000117255914133428,0.00212571527682568,0.0036590836351504,-0.000203438031580991,-7.97222800765574e-05,0.00193781996077807
"T+9",0.000110433095414289,0.00238321794539975,0.000452084426403483,-0.000616548637509595,0.000123529393521478,0.00200735112264578,-0.000557664191549578,-0.000214001007328507,-6.4530220939946e-05,-0.00147146908634723
"T+10",0.000148852711503534,0.00223669375834611,0.000454656386934779,0.000361913376618131,0.000119167710877215,0.00190475919866233,0.00347362053306246,-0.000210345252758417,-5.17103344048262e-05,0.00148563731301021
"T+11",0.000185295101081593,0.00211431964772,0.000453200657937058,-0.000535494711416046,0.000121457817556531,0.00181583782319483,-0.000380358980084757,-0.000210962907551585,-4.08922165252345e-05,-0.00107926046101114
"T+12",0.000219862020103729,0.0020121152047156,0.000454024600360452,0.000287573803092626,0.000120445775519473,0.00173876537272813,0.00330411371775698,-0.000211139684768952,-3.17632999553684e-05,0.00114544831365797
"T+13",0.000252649987756658,0.00192675607018983,0.000453558249043025,-0.000467313286302309,0.000120828367150543,0.00167196295776211,-0.000218307475495244,-0.00021094026971655,-2.40598233745776e-05,-0.000784191603585876
"T+14",0.000283750555965272,0.00185546580498498,0.000453822203836264,0.000225040397127475,0.000120709815654831,0.00161406207854899,0.00314918960950511,-0.000211033973843003,-1.75592106264119e-05,0.000889515198962242
"T+15",0.000313250565027659,0.00179592558188855,0.0004536728054529,-0.000409960028357356,0.000120734248873697,0.00156387659026434,-7.01972827071096e-05,-0.000211007424103466,-1.20736398378954e-05,-0.000562203557384875
"T+16",0.00034123238609419,0.00174619876215816,0.000453757364921129,0.000172438173625793,0.000120736291595016,0.00152037840390525,0.00300759364041901,-0.000211009356886249,-7.44461669168256e-06,0.000696969999368204
"T+17",0.000367774151167669,0.00170466790332188,0.000453709504271595,-0.00036171527267187,0.000120730338882852,0.00148267642508223,6.5170973106776e-05,-0.000211012180349984,-3.5383950578224e-06,-0.000395196123783216
"T+18",0.000392949971266754,0.00166998214933579,0.000453736593393864,0.000128189921437788,0.000120734626698595,0.00144999829925334,0.00287817918885688,-0.00021101018715041,-2.42112673639321e-07,0.000552113192047244
"T+19",0.000416830143361819,0.00164101329188148,0.000453721260953697,-0.00032113246125798,0.000120732337127293,0.00142167458943689,0.000188893482291133,-0.000211010965000331,2.539469779873e-06,-0.000269552048099336
"T+20",0.000439481346661077,0.0016168190736285,0.000453729939113112,9.09689126788964e-05,0.00012073336192107,0.00139712506227102,0.00275989827745855,-0.000211010795366531,4.88672042284397e-06,0.000443133613894053
"T+21",0.000460966828795034,0.00159661253984319,0.000453725027275857,-0.000286994769837338,0.000120732969268543,0.00137584680147913,0.00030197212976969,-0.000211010780798649,6.86745824852685e-06,-0.000175026712226527
