"","BAC","XOM","JPM","C","GE","MSFT","WMT","INTC","CVX","PG"
"T+1",-0.00640236651467527,-0.00432185220272491,-0.00699296359099814,-0.0024312639716022,-0.00484291811453014,-0.00654644540016416,-0.00162220035001971,-0.00309478080180728,-0.00617841710355453,-0.0042648988415613
"T+2",-0.00450608883853643,-0.00105392002379213,-0.00367827763424085,-0.00220544982854503,-0.00361524903197437,-0.00469261026363986,-0.000935996134595017,0.000962332923022297,-0.00097269810136621,0.00411160177360804
"T+3",-0.00616055731494021,-0.000878314328773485,-0.00229382621240205,-0.00297881245148,-0.000994827668814709,-0.00220108700344435,-0.000459969863866489,-0.00117227862373275,-0.00153042495122933,-0.00145644092290058
"T+4",-0.00474551390184697,-0.0013846063998929,-0.00144292595002254,-0.00278820927349486,-0.00106288220037739,-0.000974576282737532,-0.000301041885734284,-0.000545441277070523,-0.00186712591297401,-0.000867864712233766
"T+5",-0.00595645747658694,-0.00130239971504528,-0.000939565837476702,-0.00286758663887158,-0.00132006861320522,-0.000456133289696609,-0.000257451465207842,-0.000536791010725547,-0.00160508163722949,0.000125435184465732
"T+6",-0.00492019168275579,-0.00124717337132285,-0.000640838420537146,-0.00284046476222977,-0.00131850892128588,-0.000246357713857005,-0.000246583384556987,-0.000670768652494043,-0.00171210310472723,-0.000449071316605708
"T+7",-0.0058069772446001,-0.00127068864060343,-0.000463602371138127,-0.00285037523181521,-0.00129336807280232,-0.000162674963112134,-0.000244025827893488,-0.000581163387587178,-0.00168405381638607,-0.000417424924751195
"T+8",-0.00504810956089133,-0.00127362630891944,-0.000358445121125766,-0.00284683890588317,-0.00129302330317329,-0.000129452616807165,-0.000243447361291129,-0.000614899259997005,-0.00168658391502695,-0.000302000684943742
"T+9",-0.0056975113851474,-0.00126962799729783,-0.00029605360912493,-0.00284811126627013,-0.00129547107621138,-0.00011628490707746,-0.000243320336947055,-0.000610199943215441,-0.00168866887241648,-0.000360476533654445
"T+10",-0.00514178508608861,-0.00127005461190751,-0.00025903570085798,-0.00284765480329229,-0.00129555313104419,-0.000111068823574659,-0.000243293090431422,-0.000606511814605833,-0.00168716234070966,-0.000360483718330722
"T+11",-0.00561734845522367,-0.00127053797102027,-0.000237072368530538,-0.00284781872744038,-0.00129531576863483,-0.000109002995229073,-0.000243287359010642,-0.000609987302652347,-0.00168775886027574,-0.000347299329033272
"T+12",-0.00521038459829243,-0.00127037419464742,-0.000224041163092156,-0.00284775988028218,-0.00129530306455342,-0.000108184879423784,-0.000243286173569865,-0.000608370595135904,-0.00168760829517156,-0.000353162314483389
"T+13",-0.00555864434998351,-0.0012703395649771,-0.000216309535093835,-0.00284778100847127,-0.00129532598791252,-0.000107860894135522,-0.000243285932063468,-0.000608763062350734,-0.00168761910480375,-0.000353526302234279
"T+14",-0.00526062069854061,-0.00127037041808559,-0.000211722233344383,-0.00284777342304372,-0.00129532768146349,-0.000107732592457747,-0.000243285883544531,-0.000608825732573085,-0.00168763187636677,-0.000352042804445989
"T+15",-0.00551565475397789,-0.00127036884283502,-0.000209000511949473,-0.00284777614640028,-0.00129532547685784,-0.000107681783745431,-0.000243285873925487,-0.000608702800867409,-0.00168762323757226,-0.000352620638056656
"T+16",-0.00529740909086398,-0.001270364748769,-0.000207385669988751,-0.002847775168653,-0.0012953252679243,-0.000107661663020212,-0.000243285872043003,-0.000608773835211226,-0.00168762655554966,-0.000352698008503097
"T+17",-0.00548417304827494,-0.00127036584342445,-0.000206427557757652,-0.00284777551968729,-0.00129532547903696,-0.000107653695027465,-0.000243285871679337,-0.000608750507749136,-0.00168762575065577,-0.000352533342041647
"T+18",-0.00532434959386981,-0.00127036619880073,-0.000205859094050545,-0.0028477753936578,-0.00129532550360969,-0.000107650539629208,-0.000243285871610013,-0.000608751903024348,-0.00168762579220949,-0.000352589147765344
"T+19",-0.00546111868428794,-0.00127036596629417,-0.000205521815205951,-0.00284777543890534,-0.00129532548348383,-0.000107649290062587,-0.000243285871596982,-0.000608755717816513,-0.00168762586973623,-0.000352601442477333
"T+20",-0.00534407839027461,-0.00127036596461476,-0.000205321702133491,-0.00284777542266041,-0.00129532548068681,-0.000107648795222762,-0.00024328587159457,-0.000608752831040242,-0.00168762582032236,-0.000352583394299948
"T+21",-0.00544423574586459,-0.00127036599834205,-0.000205202971764211,-0.00284777542849272,-0.00129532548259647,-0.000107648599261661,-0.000243285871594131,-0.000608754020365989,-0.00168762583873867,-0.000352588651004364
