"","BAC","MSFT","JPM","XOM","CSCO","INTC","GE","HPQ","PFE","IBM"
"1",0.000312185662175022,-9.21048415363385e-05,-0.000894052824813435,0.00267108066346134,-0.000962251507453338,0.000880452117224016,0.00228406935135034,0.00375764166679201,-0.000370812771483639,0.00194733713209454
"2",-0.00084677849644138,0.000163986733899255,0.00307762716599604,0.00184768999601258,-0.0011624450783639,0.00116953069719938,0.00210237589029207,-0.000894212143211091,-4.62370213535731e-05,0.000849108547456734
"3",-0.000431231660342294,0.000216484801977067,-0.000912671727539308,0.00197980597976678,-0.00111519447751516,0.00103180749599201,0.00197947833928733,0.000876257190936446,0.00170498638879938,0.00121330041332424
"4",-0.000672690236105699,0.000250809628326136,0.00297494902632727,0.00203875895343151,-0.00111755513526913,0.000956929618997515,0.00201061606530207,-0.000503876826208848,4.04457530407253e-05,0.00110010527946806
"5",-0.000539586263073086,0.000267903954382208,-0.000807505405421825,0.00201180336182293,-0.00111688003296842,0.000920681753615277,0.00198998121197898,0.000458988390762772,0.00141441195134069,0.00113576090075017
"6",-0.000613305600446888,0.000276797822154542,0.00287240401928959,0.00201140176642499,-0.00111690628767863,0.000903258592695853,0.00199986032856417,-0.000221589977993305,0.00030243264383835,0.00112456118080585
"7",-0.000572493821331572,0.000281389579172147,-0.000707730707078446,0.00201436352963733,-0.00111689654177119,0.000894887731755149,0.00199469849067894,0.000258690467089997,0.00119966987278508,0.00112808117712414
"8",-0.000595088522179085,0.00028376340778839,0.00277533412203887,0.0020137598216162,-0.00111689680375599,0.00089086612027343,0.00199732745123061,-8.03071679255389e-05,0.000476042904436341,0.00112697500277358
"9",-0.000582579420606302,0.000284990333812069,-0.000613292693574035,0.0020135758124657,-0.00111689666149233,0.000888934021913177,0.00199597866950076,0.000158962718346724,0.00105960979815589,0.00112732263194556
"10",-0.000589504835282402,0.000285624502890888,0.00268345665104688,0.00201368034952194,-0.00111689666350277,0.000888005786154141,0.00199666920190534,-9.91824111104017e-06,0.000588999264182793,0.00112721338570931
"11",-0.000585670717640791,0.000285952287584746,-0.000523906340670643,0.00201367714967088,-0.00111689666140178,0.000887559834936179,0.00199631545753195,0.000109280913955196,0.00096851682831892,0.00112724771756262
"12",-0.000587793400370526,0.000286121710758633,0.00259649387338232,0.00201366670206853,-0.00111689666140367,0.00088734558711524,0.00199649664132618,2.51480476178422e-05,0.000662460053542048,0.00112723692839578
"13",-0.000586618219431602,0.000286209281063831,-0.000439301426683647,0.00201366932386972,-0.00111689666137226,0.000887242656285754,0.00199640383642358,8.45305084786393e-05,0.000909275363999439,0.00112724031901166
"14",-0.000587268834909787,0.000286254543813097,0.00251418289317937,0.00201366986551249,-0.00111689666137187,0.000887193205347993,0.00199645137172266,4.26173202836161e-05,0.000710234525516845,0.00112723925347285
"15",-0.000586908634632168,0.000286277938917787,-0.00035922218373314,0.00201366946773101,-0.0011168966613714,0.000887169447691928,0.00199642702371993,7.22003877258603e-05,0.000870748292956454,0.00112723958833029
"16",-0.000587108052328714,0.000286290031221788,0.00243627487731424,0.00201366949681147,-0.00111689666137138,0.000887158033829072,0.0019964394949685,5.13201369745035e-05,0.000741304156115108,0.00112723948309761
"17",-0.000586997648700048,0.000286296281410362,-0.000283426525427623,0.00201366953287629,-0.00111689666137138,0.000887152550280318,0.00199643310708955,6.60577862155838e-05,0.000845692613438502,0.00112723951616815
"18",-0.00058705877146615,0.000286299511965698,0.00236253430320037,0.00201366952190299,-0.00111689666137138,0.000887149915825418,0.00199643637901483,5.56556934562795e-05,0.000761509966868174,0.00112723950577537
"19",-0.000587024932066294,0.000286301181753362,-0.000211685315017861,0.00201366952045301,-0.00111689666137138,0.000887148650157338,0.00199643470310716,6.29976739854102e-05,0.000829397913153518,0.00112723950904141
"20",-0.000587043666574819,0.000286302044821954,0.00229273824678358,0.00201366952193954,-0.00111689666137138,0.000887148042093906,0.00199643556152117,5.78155746389187e-05,0.000774650605500378,0.00112723950801502
"21",-0.000587033294587988,0.000286302490919029,-0.000143781672696924,0.00201366952176965,-0.00111689666137138,0.000887147749962704,0.00199643512183429,6.14731917533142e-05,0.000818800824490205,0.00112723950833758
