"","BAC","MSFT","XOM","JPM","INTC","CSCO","GE","IBM","PFE","CAT"
"T+1",-0.00120535628841378,0.000440199427496735,0.00100619024898205,-0.00457435049204952,0.00391517083363418,-0.00189250431291058,0.00220060623761192,0.00162535396927004,-0.00539847655005312,-0.0011821120067751
"T+2",-0.000701344998531167,0.000822366713563706,0.00431405245648552,0.00649505262414253,0.0015110756066441,0.00405129755239935,0.00558839977191904,0.00399919879499242,-0.00374222815279252,0.00618413211585003
"T+3",-0.00359237722869085,-0.000685461044328466,-0.00125361049383462,-0.00609235157992054,0.000766814093030285,-0.00357396259442968,-0.00339519555632144,-0.000640249376748126,-0.00108504504867376,-0.00314116216565325
"T+4",-0.00118925525648801,0.000752580236747179,0.00362192566685577,0.00466239119956349,0.000644717900791404,0.0027930803931951,0.00356086555204622,0.00316001225239129,0.000198404500735081,0.00487156878849179
"T+5",-0.00327221437721328,-0.000664265666228473,-0.000818838906831196,-0.00465564568925873,0.000621853808816345,-0.00266472491393357,-0.00249100024935095,-0.000157810313924249,0.000732915644645237,-0.00213576826853194
"T+6",-0.00147031304814575,0.000729810264043675,0.00321337659871279,0.00341137636757087,0.00061771216319335,0.00200469528047788,0.00268421037427737,0.00271978944467023,0.000947388544847113,0.00398650415725096
"T+7",-0.00302922174624986,-0.000641937611763488,-0.000448759835983978,-0.00357288573772889,0.00061695588343348,-0.00199077967361943,-0.00175216159206369,0.000222344278700214,0.00103254793495405,-0.00136276414164835
"T+8",-0.00168054293184644,0.000707836760408884,0.00287720118361946,0.00247393087469144,0.000616818054702561,0.00142798712126552,0.00204952677050899,0.00238971105532009,0.00106625871196072,0.00331108756638895
"T+9",-0.00284734307758731,-0.000620316216797897,-0.000143448932282332,-0.00276126724697353,0.000616792923998894,-0.00149731590336709,-0.00120843995564749,0.000508784652599552,0.00107959137386001,-0.000772628514269427
"T+10",-0.00183789401276165,0.000686561703325283,0.0025999163788526,0.00177124976742177,0.000616788342380244,0.00100574962998334,0.00158354903453959,0.00214112568118413,0.0010848630764088,0.00279546434342028
"T+11",-0.00271121188010746,-0.000599381955035624,0.000108382103789225,-0.00215290171956506,0.000616787507074325,-0.00113602407197324,-0.000809112106903491,0.000724516602960046,0.00108694733392898,-0.000322109551275964
"T+12",-0.00195566697547906,0.000665962777632432,0.00237120252160237,0.00124454055005751,0.000616787354785101,0.000696606567532834,0.00124133527477494,0.0019539050894189,0.00108777136196093,0.0024018293640827
"T+13",-0.002609321417069,-0.000579112993830223,0.000316100854010425,-0.00169688870253611,0.000616787327020367,-0.000871502639269188,-0.000515843992430668,0.000886993917568771,0.00108809714591528,2.18238003855001e-05
"T+14",-0.00204381680391781,0.000646018495368447,0.00218255160320568,0.000849734716314229,0.000616787321958418,0.000470266090034819,0.000990012239564629,0.00181290095271311,0.00108822594611621,0.002101322151575
"T+15",-0.00253305920349121,-0.000559488189628652,0.000487434298739379,-0.00135507467412703,0.000616787321035545,-0.000677832087776326,-0.000300466788217844,0.00100936279475261,0.00108827686784498,0.000284387998747937
"T+16",-0.00210979452982824,0.000626708051660705,0.00202694595054157,0.000553799803424311,0.000616787320867291,0.000304549895873712,0.000805439662652956,0.00170670447895034,0.0010882969999721,0.00187191015947533
"T+17",-0.0024759790308593,-0.000540487070822075,0.00062875591390518,-0.00109886086957729,0.000616787320836616,-0.000536035326236913,-0.000142292963571597,0.00110152422745609,0.00108830495929579,0.000484833689544259
"T+18",-0.00215917704586271,0.000608011302825415,0.00189859714976772,0.000331975642831707,0.000616787320831023,0.000183220042235399,0.000669888871611802,0.00162672320106972,0.00108830810604885,0.00169677339094338
"T+19",-0.00243325608911874,-0.000522089816398881,0.000745322757843097,-0.000906810490757589,0.000616787320830004,-0.000432218192304677,-2.61295149554809e-05,0.00117093509297507,0.00108830935013129,0.00063785712232527
"T+20",-0.00219613850302486,0.000589908745354413,0.00179273072153682,0.000165702735920865,0.000616787320829818,9.43878465745255e-05,0.000570339863518515,0.00156648575075934,0.00108830984198466,0.00156307119250517
"T+21",-0.0024012791404375,-0.000504277235268418,0.00084147102992239,-0.000762855140382901,0.000616787320829784,-0.000356208012799216,5.91813563247337e-05,0.00122321149657217,0.00108831003644102,0.000754677648059987
