"","AAPL","MSFT","JPM","GE","PG","PFE","XOM","DIS","JNJ","V"
"T+1",0.000580846996942263,0.000836364081870065,0.00272824810559579,-0.000131521100192511,-0.00119823367974718,-8.58414137378814e-05,0.00103534809461144,0.00201656915965729,0.000386560532974441,0.00207526227478114
"T+2",0.00109141445205782,0.000121274822598707,-0.00141163010782286,0.000858993408180493,-0.00102644071962174,0.000809730716458663,0.000837446960156825,0.000559736880093097,0.000450202458724394,0.000662246921766917
"T+3",0.0010983292707168,0.000230021032359142,0.00251159756220137,0.000319274863159399,-0.00048374226761288,0.000242676530221231,0.000204443244784493,0.000633222057214948,0.000447382858070155,0.00117050226731955
"T+4",0.00105213456057116,0.000260827894939146,-0.00127501402508275,0.000177522123564696,-0.000127597833342393,0.000250369149288781,0.000628745341148085,0.000518620477770361,0.000449787449128253,0.000746689151287831
"T+5",0.00102519958957891,0.000297004475450962,0.00238009462958644,0.000201796092601329,8.93199977975634e-05,0.000224596750241486,0.000390886086348563,0.000498013487876591,0.000451207435618081,0.00114477558901582
"T+6",0.00101442547905406,0.000330943654207528,-0.00114807978781347,0.000215645752538221,0.000220438309130307,0.000223419408064353,0.000520005241550215,0.000482719350413998,0.000452320481130298,0.00076727993751084
"T+7",0.00101094603975341,0.000363425239866307,0.00225756856065277,0.000215462339067887,0.000299629997591397,0.000222157224232945,0.000450372310122451,0.000477211686862546,0.000453161580187129,0.00112550363979116
"T+8",0.00101002614716098,0.000394451549071082,-0.00102980879132165,0.000214375110559551,0.000347455350390577,0.000222027678143481,0.000487873508862348,0.000474514441823966,0.000453799874458632,0.000785550163005045
"T+9",0.00100984489329343,0.000424093336359522,0.00214340486684776,0.0002142570882797,0.000376337713636873,0.000221961587168965,0.000467682813558683,0.000473373259082167,0.000454284023173471,0.00110816649202424
"T+10",0.00100983218281431,0.000452411872186963,-0.000919609762228882,0.000214326345669302,0.000393780137522692,0.000221951663108144,0.000478552858064553,0.000472857159084869,0.000454651273281386,0.000802003052520287
"T+11",0.0010098427530378,0.000479466275685778,0.00203703281800945,0.000214343837238307,0.000404313836443336,0.000221948015587683,0.000472700836744667,0.000472630883513981,0.000454929848264907,0.00109255267836541
"T+12",0.00100985000878317,0.00050531297303961,-0.000816931790678564,0.000214340637506542,0.000410675269487777,0.000221947339546164,0.000475851335625504,0.00047253024713355,0.000455141159526434,0.000816820587855668
"T+13",0.0010098530950659,0.000530005876545362,0.00193792063622085,0.000214338903683322,0.000414517018775868,0.000221947130606988,0.000474155231466833,0.000472485784594862,0.000455301448309337,0.00107849081208887
"T+14",0.00100985413691192,0.000553596491401724,-0.000721261566281098,0.000214338939016784,0.000416837099406678,0.000221947086905969,0.000475068346846787,0.000472466080164647,0.000455423034324306,0.000830165322936466
"T+15",0.00100985442607971,0.000576134023663021,0.00184557283728142,0.000214339076629212,0.00041823822522977,0.000221947074641408,0.000474576761661695,0.000472457360135041,0.00045551526260597,0.001065826635734
"T+16",0.00100985448815344,0.000597665482826517,-0.000632120811958969,0.000214339090635675,0.000419084382706394,0.000221947071890338,0.000474841411670085,0.000472453498629018,0.000455585221769794,0.000842183647899696
"T+17",0.00100985449504581,0.000618235779890765,0.00175952775366952,0.000214339081756405,0.000419595387830593,0.000221947071159362,0.000474698934579665,0.000472451789149947,0.000455638288838968,0.00105442122484312
"T+18",0.0010098544928692,0.000637887821031977,-0.00054906389293152,0.000214339079600355,0.000419903990241103,0.000221947070988621,0.00047477563860629,0.000472451032261688,0.000455678542519498,0.000853007402290413
"T+19",0.0010098544909554,0.000656662597099121,0.00167935522656214,0.000214339080021093,0.000420090359111516,0.000221947070944651,0.000474734344194094,0.000472450697163889,0.000455709076687324,0.00104414946346324
"T+20",0.00100985449008133,0.000674599269113929,-0.000471675588885952,0.000214339080238008,0.000420202909612343,0.000221947070934138,0.000474756575471298,0.000472450548801296,0.00045573223818194,0.000862755321361415
"T+21",0.00100985448977241,0.000691735249954189,0.00160465445537368,0.000214339080232017,0.000420270880272938,0.000221947070931479,0.000474744607031506,0.000472450483115537,0.000455749807183193,0.00103489867163693
