"","AAPL","MSFT","JPM","GE","BA","INTC","V","DIS","WMT","XOM"
"T+1",-0.00035263512172044,0.00151296265814808,-0.00275659521341045,-0.00285189316235633,0.00738347304759752,0.000803642105552196,-0.00118373842666658,-0.00251732298676994,-0.000655333046081484,-0.00567962370442558
"T+2",0.000180289675267992,0.00152851159860281,0.00433703810290095,-0.0018698326951426,0.00303718981212257,0.00485303094480237,0.00372707253107259,0.00192750594812917,0.00148032360736865,0.00622410864294934
"T+3",0.000305397233391953,0.00154792359091712,0.000322776518323074,-0.00241310566665134,0.00376849918549814,-0.000743196062252571,-0.0001160173025432,-0.00110416710341622,0.000697292646368146,-0.00400055965989694
"T+4",0.000361095662190915,0.0015646057029071,0.00146700652202956,-0.00262535447010776,0.00360286118507336,0.00439000762399123,0.00209166804646227,-0.000216102921733564,0.000302844420938465,0.00361537786635917
"T+5",0.000402824573338386,0.00157895584123518,0.00131946101646377,-0.00254599894127745,0.00359677302150161,-3.26926803507913e-05,0.001056650286399,-0.000147969723788354,0.000247333099560593,-0.00189527140607943
"T+6",0.000439829207916232,0.00159129995213443,0.00128231214268028,-0.00250295132911422,0.00356338237442409,0.00373053121120595,0.00144926697928247,-0.000355433002055608,0.000261417114215107,0.00206606609114384
"T+7",0.000473801407672664,0.00160191846129911,0.00131201361727837,-0.00251364876997011,0.00353570821409218,0.000536788061979392,0.00134541371560214,-0.000249863738111095,0.000269828971332357,-0.000777257484320288
"T+8",0.000505186643425644,0.00161105259317762,0.00130217253338728,-0.00252197895757135,0.00350788865442842,0.0032457402922068,0.00134576922752444,-0.000270788889078991,0.000271214192247041,0.00126287842348991
"T+9",0.000534214302059187,0.0016189098510921,0.0013038739536075,-0.00252072447321315,0.0034809379881653,0.000948257004362618,0.00136915752151941,-0.000278872798791044,0.000270972984632763,-0.000200837350810374
"T+10",0.000561066771767787,0.00162566873116476,0.00130400168728838,-0.00251917302450263,0.00345465511759613,0.00289672261849521,0.0013488217275251,-0.000270283971990586,0.000270795449069171,0.000849300352213341
"T+11",0.000585907914441439,0.00163148277727776,0.00130379251087153,-0.0025192774916472,0.00342905443163042,0.00124426288106509,0.00136109638409014,-0.000273655545700644,0.00027076189652185,9.58860548213376e-05
"T+12",0.00060888852525232,0.00163648406918421,0.00130387382130595,-0.00251955685242414,0.00340411275881176,0.00264568366294474,0.00135510632716902,-0.000273359827690133,0.000270765719648178,0.000636417575908317
"T+13",0.000630147975826111,0.0016407862230109,0.00130385651581438,-0.00251955929836379,0.0033798141014163,0.001457164686698,0.00135749311720951,-0.000272888844025937,0.000270769426898219,0.000248617320698177
"T+14",0.000649815178265475,0.00164448697231622,0.00130385690069563,-0.00251951057313086,0.00335614171108881,0.00246512554074699,0.00135679286456578,-0.000273213988344591,0.000270770221026827,0.000526841668210923
"T+15",0.000668009386223806,0.00164767038833817,0.00130385828144398,-0.00251950652845368,0.0033330794768163,0.00161029268307693,0.00135685470246412,-0.000273117658547031,0.000270770168647507,0.000327231725894933
"T+16",0.000684840921172333,0.00165040878987061,0.0013038576346308,-0.00251951475841718,0.00331061166647632,0.00233526053280271,0.00135696092622209,-0.000273110971446863,0.000270770092093681,0.000470440360620914
"T+17",0.00070041184185595,0.00165276438615495,0.00130385779768418,-0.00251951607734826,0.00328872295987012,0.00172042878156671,0.00135685482502788,-0.000273133073548478,0.000270770073648602,0.000367696415062854
"T+18",0.000714816563215101,0.00165479069010969,0.00130385778336275,-0.00251951473444898,0.00326739843053692,0.00224185615580732,0.00135692247349295,-0.000273121718266413,0.000270770074129266,0.000441409277191416
"T+19",0.000728142428888534,0.00165653373400233,0.0013038577750961,-0.00251951440387564,0.00324662353694376,0.00179964329667092,0.00135688809780717,-0.000273124009478374,0.00027077007569126,0.000388524545020842
"T+20",0.000740470240827399,0.00165803311518086,0.00130385778004595,-0.00251951461443686,0.00322638411232741,0.00217467579869393,0.0013569024324264,-0.000273124855896909,0.000270770076112911,0.000426466293800746
"T+21",0.000751874749241677,0.00165932289562069,0.00130385777859199,-0.00251951468793749,0.00320666635507658,0.00185661770818932,0.00135689786188397,-0.000273123937582527,0.000270770076116406,0.000399245274777121
