"","AAPL","MSFT","BA","JPM","V","DIS","CRM","INTC","WMT","HD"
"T+1",0.00123796560135682,0.00178181240043681,0.00113570888689203,0.00214268726785307,0.000306200308771777,-0.000476549643390196,0.00110842198594116,0.00061448330378282,-0.000219209089555018,0.000871273053402316
"T+2",0.000122060977350391,0.00197144740727853,-0.00164360505284803,0.00155932368923358,0.00110310421471182,-0.000619236321042416,0.00105937224340353,0.000715018217815069,0.000267441236480352,0.000236500181066034
"T+3",0.000269252279281887,0.00189443527137254,0.000354818698035692,0.00229744404756926,0.00114121694780535,-0.00042266862387685,0.0010235913156607,0.00069257279270048,0.000151813614252951,0.000456458940185452
"T+4",0.000268468102760879,0.00184877852003175,-0.000958334298637911,0.00159140152213545,0.00111490882314164,-0.000270054353289516,0.00099743577064675,0.00067931199670096,0.00015309101013311,0.000417835808162592
"T+5",0.000284583857981549,0.00182625497232815,-9.81273929029296e-05,0.00227360323040611,0.00108435445357898,-0.000163541594429258,0.000978316420230132,0.000665691005755594,0.000139194809715026,0.000430960045453406
"T+6",0.000298345151556106,0.00181532743752758,-0.000661560500881828,0.00161470910937155,0.00105471328455442,-8.98051398233266e-05,0.000964340432820934,0.000652392527473078,0.000132145023211365,0.000428611786242115
"T+7",0.000312010624843593,0.00181003476974927,-0.000292514870102664,0.00225110263999209,0.00102637481712504,-3.87925633753928e-05,0.000954124174433839,0.000639361258699929,0.000126737231822631,0.000429395169260584
"T+8",0.00032532517789999,0.00180747174866784,-0.000534237722561455,0.00163644174702413,0.000999317381178223,-3.50277781203145e-06,0.000946656227277331,0.000626595282276561,0.000123043511694487,0.000429252497178779
"T+9",0.000338327201365683,0.00180623060498074,-0.000375910588393026,0.00223011218157473,0.000973486150493077,2.09100949423047e-05,0.000941197258580647,0.00061408894827586,0.000120445958122483,0.000429299274425408
"T+10",0.000351020591642609,0.0018056295818819,-0.000479613987365595,0.00165671538914531,0.000948825822528329,3.77984986296207e-05,0.000937206826055235,0.000601836993903667,0.000118633020622731,0.000429290611808826
"T+11",0.000363413076624877,0.00180533853685429,-0.000411688833443771,0.00221053087741773,0.00092528334468086,4.9481604249144e-05,0.000934289873673821,0.000589834243764816,0.00011736523584928,0.000429293405953592
"T+12",0.000375511742530412,0.00180519759849991,-0.000456179434340303,0.00167562799847008,0.000902808046932622,5.75637746616345e-05,0.000932157620806179,0.000578075629149379,0.000116479119901899,0.000429292880303192
"T+13",0.000387323561134358,0.0018051293491989,-0.000427038336325088,0.00219226412722668,0.000881351554203392,6.31548803737036e-05,0.000930598972704641,0.000566556184342483,0.000115859690721758,0.000429293047262407
"T+14",0.000398855332659319,0.00180509629952191,-0.00044612559467674,0.00169327094539577,0.000860867684087133,6.70227106083561e-05,0.000929459621954412,0.000555271044639103,0.000115426700274603,0.000429293015383634
"T+15",0.00041011369683229,0.0018050802952386,-0.000433623545811165,0.0021752236808984,0.000841312347611292,6.96984086714028e-05,0.000928626771915479,0.000544215444281615,0.000115124030750609,0.000429293025363226
"T+16",0.000421105135873203,0.00180507254517543,-0.000441812318811333,0.00170972946631576,0.000822643454354762,7.15494103158e-05,0.000928017969764596,0.000533384714447773,0.000114912458788879,0.000429293023430901
"T+17",0.00043183597832469,0.00180506879221269,-0.000436448717695286,0.00215932721283322,0.000804820821854724,7.28299012407216e-05,0.000927572943599507,0.00052277428127901,0.000114764565734139,0.000429293024027593
"T+18",0.000442312402684476,0.00180506697484306,-0.00043996184682116,0.0017250830754387,0.000787806089119011,7.37157227167691e-05,0.000927247635472184,0.000512379663948883,0.00011466118553077,0.000429293023910522
"T+19",0.000452540440964104,0.00180506609478307,-0.000437660766634914,0.0021444979242055,0.000771562634058873,7.43285186938082e-05,0.000927009839616561,0.0005021964727708,0.000114588920698107,0.00042929302394621
"T+20",0.000462525982161832,0.00180506566861463,-0.000439167961455775,0.00173940594893662,0.000756055494664499,7.47524403525501e-05,0.000926836014051805,0.000492220407344242,0.000114538406133242,0.00042929302393912
"T+21",0.000472274775653357,0.00180506546224286,-0.000438180757167281,0.00213066417193406,0.000741251293753654,7.50457020244345e-05,0.000926708949907295,0.000482447254738685,0.000114503095440946,0.000429293023941255
