"","BAC","XOM","JPM","C","GE","MSFT","WMT","INTC","CVX","PG"
"T+1",0.00436374226604569,0.00132501152697809,-0.00693635971441515,-0.010473797273577,-0.0101424175568149,-0.00515609060487279,-0.00559195651019995,-0.00982426716001047,0.000619240974369155,-0.0023225547408128
"T+2",-0.020781352356382,-0.00271367976179573,-0.00401969172947744,-0.00874242536955941,-0.00736066908436531,-0.00334544952330655,-0.00236618341729556,-0.00106836949086739,1.43413089713741e-05,0.00454585689664437
"T+3",0.00354592448944441,-0.00192398345187288,-0.00343398237749198,-0.00809245307410969,-0.00144171147057478,-0.00205410836331484,-0.000985364192812223,0.00102408185497129,-0.00227470877032375,-0.00200052831260084
"T+4",-0.0192964538079668,-0.00191120975954667,-0.00317658905595858,-0.00763576063251268,-0.00220638884531889,-0.00141917759223054,-0.000475092601354072,-0.00209364023288993,-0.00125710848431379,-0.00122573321221985
"T+5",0.00214138449255467,-0.00180462991896185,-0.00304185948187044,-0.00727267065705601,-0.00296388403085347,-0.00112663831368102,-0.000289461291916883,-0.000541460115057386,-0.00142030668089579,2.36355241126666e-05
"T+6",-0.0179781197594786,-0.00173350428971964,-0.00296980917251374,-0.00697952448962083,-0.00281028420265646,-0.000993810272313341,-0.000222054182327058,-0.000890051593210495,-0.00146767190218987,-0.000612063405053456
"T+7",0.000904119872373536,-0.00167383985341789,-0.00293118766773408,-0.00674242931072834,-0.00271696979075271,-0.000933707495152156,-0.000197582352622091,-0.000985847505951087,-0.00142958107270497,-0.000673049496222865
"T+8",-0.0168169416563843,-0.00162606395047577,-0.00291047991639729,-0.00655062921883064,-0.00274399295710731,-0.000906534298188851,-0.000188698197808574,-0.00085379261606073,-0.0014400218222402,-0.000502174071140272
"T+9",-0.000185650675110833,-0.0015874704301764,-0.00289937670469217,-0.00639546739733044,-0.00275496083464696,-0.000894251394810685,-0.000185472939604162,-0.000918072569108293,-0.00143999845372293,-0.00055006734844473
"T+10",-0.01579418740158,-0.00155634686931478,-0.00289342329748897,-0.00626994475797279,-0.0027505612881487,-0.000888699506202141,-0.000184302058747855,-0.000904237504612607,-0.00143882781693484,-0.000572613618007379
"T+11",-0.00114550985659243,-0.00153123935117606,-0.0028902311518622,-0.00616839956131692,-0.00274935178904859,-0.000886190073715309,-0.000183876988308406,-0.000899888680814365,-0.00143931589486415,-0.000553209823624484
"T+12",-0.0148933555116646,-0.0015109862471052,-0.00288851956155642,-0.00608625161282142,-0.00275003056090703,-0.000885055822888398,-0.00018372267296827,-0.000905476968963388,-0.00143924584072493,-0.000554994582310045
"T+13",-0.00199094438443225,-0.00149464878821741,-0.0028876018273023,-0.00601979563370807,-0.00275015133789101,-0.000884543147570559,-0.000183666651137586,-0.000902817038429537,-0.00143921971333275,-0.000558883932915915
"T+14",-0.0140999116417647,-0.00148146997067839,-0.00288710974916967,-0.00596603413092272,-0.00275005090034169,-0.00088431142110044,-0.000183646313266379,-0.000903364243048748,-0.00143923846738399,-0.000557051676278852
"T+15",-0.00273559480259094,-0.00147083910650691,-0.00288684590275929,-0.00592254219505111,-0.00275004096567813,-0.000884206681993507,-0.000183638929912422,-0.000903560261789293,-0.00143923364421361,-0.000556808456698388
"T+16",-0.0134010540838458,-0.0014622635826851,-0.00288670443146915,-0.00588735812489177,-0.0027500553107547,-0.00088415934048601,-0.000183636249498376,-0.000903323985130748,-0.00143923352412501,-0.000557325498529207
"T+17",-0.0033914755680486,-0.00145534602558087,-0.00288662857625512,-0.00585889494503625,-0.00275005573195276,-0.000884137942381779,-0.000183635276414938,-0.000903433966797545,-0.0014392341191826,-0.00055719430770058
"T+18",-0.0127855072193626,-0.00144976588877048,-0.00288658790359644,-0.00583586882543672,-0.00275005374805035,-0.000884128270554905,-0.000183634923151836,-0.000903412406666244,-0.00143923388600195,-0.00055712109305908
"T+19",-0.00396916889636371,-0.00144526459931649,-0.00288656609540322,-0.00581724117432734,-0.00275005381974236,-0.000884123898941698,-0.000183634794905055,-0.000903403625218465,-0.00143923391542531,-0.000557178411521729
"T+20",-0.0122433395943842,-0.00144163357602175,-0.00288655440211081,-0.00580217179260399,-0.00275005408565468,-0.000884121922996277,-0.000183634748347017,-0.000903413606588241,-0.0014392339295852,-0.00055717468625256
"T+21",-0.00447799549893516,-0.00143870456416815,-0.00288654813230724,-0.00578998097669325,-0.00275005405856779,-0.00088412102987968,-0.000183634731444832,-0.00090340906279207,-0.00143923392038711,-0.000557162634485133
