"","BAC","XOM","JPM","GE","MSFT","WMT","CSCO","INTC","PG","CVX"
"T+1",-0.00239716812626609,0.00107489216863587,-0.00199363254635821,-0.0039302229208053,0.00386136398057195,-0.00119203924849146,-0.00125410557768488,0.00248848258283542,0.00196768403662164,-0.00523546619679827
"T+2",0.0038538195795552,-0.000663021773086072,-0.000165725767633539,-0.0021091527128063,0.00257050002467037,0.000515095476964671,0.000741633192643803,0.000835006070973365,0.00135233353066117,-0.000367211620212725
"T+3",-0.00392527010903808,-0.000693809653550371,0.000113199979594512,-0.00168078372029825,0.00195756446175065,-6.61742445443567e-05,0.000440076807530438,0.000936348165031562,-0.000870822540532451,-0.000328258672673357
"T+4",0.00257581469053575,-0.000467750821138875,0.000456724545307058,-0.0017391480671372,0.00161183023001636,-0.000153860088201933,0.000292437102753155,0.00112892717767301,0.000102196247891961,-0.000857675187605082
"T+5",-0.00297720202790308,-0.000552097212766671,0.000671123639213971,-0.00174483588884133,0.00141751891979913,-4.62802221814518e-05,0.000374545460570536,0.000977745357017495,8.9808093059065e-05,-0.000516421283629023
"T+6",0.00175926434128931,-0.000547054404320581,0.000822861692716623,-0.00174337168203874,0.0013083034498892,-6.29276021327273e-05,0.000366958432029887,0.00105303887953378,-6.67528369750205e-05,-0.000684177300129981
"T+7",-0.00228109294298096,-0.000538631801006131,0.000927212859484803,-0.0017433309895769,0.00124691740550866,-7.3891449443227e-05,0.000359392534921247,0.00102435275981292,-3.36383124216978e-06,-0.000610096507979222
"T+8",0.00116544062887442,-0.000542536815414773,0.000999430170237025,-0.00174336256834744,0.00121241454115615,-6.8510153682433e-05,0.000362650398286747,0.00103246062739716,-2.22506400927134e-06,-0.000641044364907189
"T+9",-0.0017745464474282,-0.00054205167549589,0.00104933900155561,-0.00174336179307034,0.00119302173518639,-6.83955284655382e-05,0.000362555584906815,0.001031349696058,-1.31867867017768e-05,-0.000628529697341269
"T+10",0.000733342599800466,-0.000541759855817398,0.00108384130161982,-0.00174336119553105,0.00118212174382502,-6.92017635203948e-05,0.000362191559290532,0.00103083587401274,-9.08135858145784e-06,-0.000633487755850941
"T+11",-0.00140595506375393,-0.000541933387467051,0.0011076913299181,-0.00174336124135787,0.00117599525486499,-6.8998866960085e-05,0.00036231567925677,0.00103137326096135,-8.87125111907707e-06,-0.000631549744182778
"T+12",0.000418924110177965,-0.000541901671679203,0.001124178129061,-0.00174336125109019,0.00117255177810129,-6.89379643394037e-05,0.00036232121656334,0.00103107840557101,-9.63461177356214e-06,-0.000632300411273212
"T+13",-0.00113774752846599,-0.000541892663904774,0.00113557491351214,-0.00174336124967439,0.00117061632497316,-6.89837603144539e-05,0.000362304515770295,0.00103119945666452,-9.37041415919365e-06,-0.000632011467123513
"T+14",0.000190135777548363,-0.000541900082322535,0.00114345314332741,-0.00174336124954971,0.00116952847711815,-6.89800690911231e-05,0.000362309016326111,0.00103116159594846,-9.34728168679519e-06,-0.000632122200480283
"T+15",-0.000942584849344844,-0.000541898299409968,0.00114889910881465,-0.00174336124958455,0.00116891703737907,-6.8974477837454e-05,0.000362309639875968,0.00103116884076293,-9.40017175019967e-06,-0.000632079894363727
"T+16",2.36566967142255e-05,-0.000541898080843215,0.00115266372876948,-0.00174336124958531,0.00116857336932586,-6.89765310466825e-05,0.00036230890345622,0.00103116979776201,-9.38328911148355e-06,-0.000632096022268338
"T+17",-0.000800573659089689,-0.000541898385657851,0.00115526608886942,-0.00174336124958457,0.00116838020600452,-6.8976777575463e-05,0.000362309056099044,0.00103116797165092,-9.3811290811101e-06,-0.000632089883570786
"T+18",-9.74827164579214e-05,-0.000541898293733519,0.00115706501629986,-0.00174336124958459,0.00116827163592254,-6.89764147725689e-05,0.000362309097772935,0.00103116909941335,-9.38477595031869e-06,-0.000632092217518936
"T+19",-0.000697238440243021,-0.000541898292030731,0.00115830855669181,-0.0017433612495846,0.00116821061262568,-6.89764779979222e-05,0.000362309066443294,0.00103116859985959,-9.38370558900911e-06,-0.000632091330852912
"T+20",-0.000185630472621427,-0.000541898304016744,0.00115916817597405,-0.0017433612495846,0.00116817631364854,-6.8976513044744e-05,0.000362309071108386,0.00103116877030105,-9.38351993206867e-06,-0.000632091667504511
"T+21",-0.000622046003401228,-0.000541898299553226,0.00115976240300132,-0.0017433612495846,0.00116815703544016,-6.89764944012122e-05,0.000362309073447374,0.00103116873044857,-9.38377022682117e-06,-0.000632091539736238
