"","BAC","MSFT","JPM","XOM","GE","INTC","PFE","JNJ","CSCO","IBM"
"T+1",0.00487506376357634,0.00132382840653563,0.00427772348801884,6.71296756887961e-05,0.000349037604152277,-0.000479607901095557,0.00127834040405839,0.00201111273492081,0.000182053103924168,-0.000253960232032589
"T+2",0.00490643696309095,0.000437463371419806,0.00348140751187548,-0.000142219387327309,0.00110591032167666,-0.000871636937828935,0.000892760979878854,0.000928241558759083,0.00187598267818869,0.00351089128988467
"T+3",0.00478020715236537,0.000627694623938496,0.00341156311894727,4.00517786233907e-06,0.000628665775961141,-0.00043996062887794,0.000991567267016308,0.00102798580095209,0.00185813855601727,0.00392332180420199
"T+4",0.00465828974226033,0.000594214497904005,0.00330527890514236,0.000131570145602091,0.000600428836109629,-0.000244896836192287,0.00101284084875857,0.00101966149973597,0.00170057537056832,0.00377203231479637
"T+5",0.00454202422874983,0.000597727944996635,0.00320824909300611,0.000213381143346371,0.000636928167926976,-0.000201453408161385,0.00102309720445479,0.00102118239219658,0.00160685478859304,0.0035388688015895
"T+6",0.00443116322112207,0.000598298558687915,0.00311725847291528,0.000262820512289178,0.000636919866401356,-0.00019904109879008,0.00102721900173548,0.00102177722532945,0.00156384133345401,0.0033061779729451
"T+7",0.0043254556410489,0.000597769218382937,0.00303208070900346,0.000292274089632066,0.000634251544167379,-0.000201301584301995,0.00102892874603809,0.0010224309590472,0.0015459549219196,0.00308718591842179
"T+8",0.00422466193040895,0.000597994122803994,0.00295233541575575,0.00030975833022871,0.00063440369692385,-0.000202349432127277,0.00102963381816266,0.00102305451078923,0.00153886733427882,0.0028832194031529
"T+9",0.00412855366555216,0.000597918503260432,0.00287767666782203,0.000320127885994477,0.00063459016048501,-0.000202587090476042,0.00102992489051953,0.00102365688752994,0.00153613180447512,0.00269361231298206
"T+10",0.00403691304120049,0.000597940667936988,0.00280777998732885,0.000326276437606216,0.000634568445145604,-0.000202601700701476,0.00103004502927928,0.00102423810467308,0.00153509195260567,0.00251741677549565
"T+11",0.00394953237686242,0.000597934845248951,0.00274234163041034,0.000329921960443579,0.000634556044430871,-0.00020258987918403,0.00103009461777602,0.00102479896970283,0.00153470025748633,0.00235369506150308
"T+12",0.00386621364617742,0.000597936215092259,0.0026810772250844,0.000332083385981425,0.000634558336525359,-0.000202584252864385,0.00103011508579826,0.00102534018940925,0.00153455352882081,0.00220156597296522
"T+13",0.00378676802813884,0.000597935935090687,0.00262372053802495,0.000333364887322315,0.000634559113074776,-0.000202582953583081,0.00103012353413745,0.00102586245244172,0.00153449875219044,0.00206020899959485
"T+14",0.00371101547917847,0.000597935979839145,0.00257002231745199,0.000334124684062462,0.00063455890137552,-0.000202582866199332,0.00103012702125596,0.00102636642272466,0.00153447834646233,0.00192886143494954
"T+15",0.00363878432514293,0.000597935976932219,0.00251974920998134,0.000334575164232641,0.000634558856618355,-0.000202582927935106,0.00103012846059164,0.00102685274098315,0.00153447075487722,0.00180681452818559
"T+16",0.00356991087223726,0.000597935975275419,0.00247268274655314,0.00033484225194186,0.000634558874639544,-0.000202582958131401,0.00103012905468879,0.00102732202549523,0.00153446793290928,0.00169340970589346
"T+17",0.00350423903605402,0.000597935976305473,0.00242861839304306,0.00033500060706597,0.000634558876888639,-0.000202582965230155,0.00103012929990707,0.00102777487288366,0.00153446688446465,0.00158803502640236
"T+18",0.00344161998784706,0.000597935975905799,0.00238736466142959,0.000335094495119827,0.000634558875443212,-0.000202582965747503,0.00103012940112285,0.00102821185887387,0.00153446649506375,0.00149012187908084
"T+19",0.00338191181724858,0.000597935976033971,0.00234874227765523,0.000335150160932332,0.000634558875360853,-0.000202582965425579,0.00103012944290047,0.00102863353902599,0.00153446635046676,0.00139914191630636
"T+20",0.00332497921066479,0.000597935975997686,0.00231258340256506,0.000335183164946727,0.000634558875471218,-0.000202582965263591,0.0010301294601445,0.00102904044944114,0.00153446629678021,0.00131460420249846
"T+21",0.00327069314462166,0.000597935976006914,0.00227873090253751,0.000335202732881103,0.000634558875470972,-0.000202582965224829,0.00103012946726212,0.00102943310744301,0.00153446627684887,0.00123605256499608
