"","MSFT","XOM","INTC","JPM","GE","VZ","V","CSCO","JNJ","PFE"
"1",0.0010690946584338,0.00398463236338173,0.00100978098939883,-0.000377293817510728,-4.7076530698539e-05,0.000753944843421655,-0.000878394600643222,0.00183414145626986,0.000532261323847168,0.000235567929623885
"2",0.00097410775257233,-0.00501050007575216,0.00150874039829251,0.000738926813865324,0.00103563090248424,-0.000261946216251184,0.0017642843553161,0.00175188713873569,0.0028408812021033,-0.000110486893476197
"3",0.000954300437006028,3.67580874119225e-05,0.00149340706428276,5.07920976007138e-05,-0.000181355356816094,-0.000244976433025642,-0.000587006506618723,0.00159531923715876,0.00129178883021687,0.000201136785467078
"4",0.000948851179359169,-0.000660744507666145,0.00150731753269707,0.000486102954001006,0.000613890737858478,-0.00013681873320649,0.00160483810530133,0.00148678566523673,0.00147978368333298,-0.000101666660121601
"5",0.000947500939418982,-9.06568738794604e-05,0.00151919866739469,0.000210800446014232,0.000111356020237817,-4.10979825286154e-05,-0.000446668460566576,0.00140982605233866,0.00117354365039685,0.000192220387414601
"6",0.000947153625532417,-0.000129780482501853,0.00153085955796003,0.000384909762371481,0.000428038859869946,3.50990299569949e-05,0.00147414363132955,0.00135529813782982,0.00115075964557371,-9.30178112127375e-05
"7",0.00094706549929699,-6.20687118367144e-05,0.00154220504187264,0.000274797967780724,0.000228521334701487,9.48744764259663e-05,-0.000324352079870908,0.00131666262168481,0.00107753901289731,0.000183825994615542
"8",0.000947043027579482,-6.12713546796489e-05,0.00155324931548176,0.000344435868641271,0.000354219499550494,0.000141666355704425,0.00135962040492955,0.00128928762081824,0.00105696273987508,-8.48704615125342e-05
"9",0.000947037307700194,-5.277312762392e-05,0.00156400004938558,0.000300394835123716,0.000275028450812079,0.000178282989293228,-0.000217121699718654,0.00126989120085358,0.00103625606111296,0.000175918416590039
"10",0.000947035850830371,-5.19623440842262e-05,0.00157446506418935,0.000328247665397543,0.000324919563496871,0.000206935684351122,0.00125921816340015,0.0012561479645023,0.00102728039232465,-7.71955988387306e-05
"11",0.000947035479849287,-5.08362636277735e-05,0.0015846519522852,0.000310632725594793,0.000293487689130385,0.00022935639767315,-0.000123112775945067,0.00124641026312449,0.00102075688046685,0.000168469420592336
"12",0.000947035385373584,-5.06410260823778e-05,0.00159456810545595,0.000321772925754132,0.000313290068191826,0.000246900570962785,0.00117119544795551,0.00123951066351786,0.00101737226343681,-6.99658223942385e-05
"13",0.00094703536131473,-5.04844606763831e-05,0.00160422071896698,0.000314727539225434,0.000300814381508718,0.000260628857068078,-4.06950847613764e-05,0.00123462198672599,0.00101519928103013,0.000161452412199064
"14",0.000947035355187916,-5.04470415790525e-05,0.00161361679686038,0.000319183246540275,0.000308674182481673,0.000271371217609902,0.00109402586977605,0.00123115813923657,0.00101398367796723,-6.31553204140896e-05
"15",0.000947035353627672,-5.04244132169034e-05,0.00162276315703298,0.000316365327666036,0.000303722433299156,0.000279777096443842,3.15605646136856e-05,0.00122870384742292,0.00101324120449377,0.000154842339270252
"16",0.000947035353230342,-5.04178592775577e-05,0.0016316664361837,0.000318147461504886,0.000306842082263669,0.00028635468231597,0.00102637124486056,0.00122696487123387,0.00101281264432639,-5.6739778027997e-05
"17",0.000947035353129158,-5.04144928786851e-05,0.00164033309462923,0.000317020388242199,0.000304876673818478,0.000291501632058702,9.49071445979958e-05,0.00122573272835287,0.00101255615928555,0.000148615602507886
"18",0.000947035353103391,-5.04133949372924e-05,0.00164876942099168,0.000317733182147894,0.000306114899785684,0.000295529111466633,0.000967058386342446,0.00122485969967729,0.0010124061860794,-5.06962904513515e-05
"19",0.000947035353096829,-5.04128838304005e-05,0.00165698153676169,0.000317282390554467,0.000305334805678723,0.000298680607244144,0.00015044313701403,0.0012242411195758,0.00101231717625297,0.000142749971201643
"20",0.000947035353095158,-5.04127043233579e-05,0.00166497540074022,0.000317567484266802,0.000305826272367221,0.000301146647322736,0.00091505876044865,0.00122380282773881,0.00101226485147335,-4.50032812105047e-05
"21",0.000947035353094733,-5.04126256514668e-05,0.00167275681336237,0.000317387182712829,0.000305516643690696,0.000303076319484325,0.00019913158166878,0.00122349227824989,0.00101223390285126,0.00013722450386075
