"","MSFT","XOM","INTC","C","GE","WMT","PFE","HPQ","JNJ","JPM"
"T+1",-0.00028965712018071,0.000401940648228092,0.000350529826487408,-0.000604437954701369,-0.000231098109999616,0.000173681030083794,0.000371857284142004,0.000801630158249128,0.000197759765183351,-0.000778197903285029
"T+2",0.000381439498421002,0.00124792826944088,0.00014663617962257,0.000770839839711022,2.77913941232398e-06,-0.000413057306616099,-9.02889415652357e-06,0.000840265940130651,-4.02369997598046e-05,0.00174835008105608
"T+3",0.00023505570862017,0.00101025275538662,0.000104637747586186,0.000554202707877546,0.000263237852121451,8.03772933697859e-05,-5.20798797172879e-05,0.000846999326627366,0.000287723224744252,0.000904423102102154
"T+4",0.000234191188125579,0.000929763349364564,8.40855424947625e-05,0.000455336255683886,0.000125795627806412,0.00012335900703544,-9.64134213242153e-05,0.000843651667753023,4.17852243784866e-05,0.000835771771633703
"T+5",0.00021939123523151,0.000922373494126793,6.9594743709802e-05,0.000486907035879893,0.000228287280110637,7.25414597125878e-05,-0.000129449337479276,0.000845085075602901,0.00024274253179972,0.000949080733620541
"T+6",0.000212541968308929,0.000923918762163747,5.86825043048859e-05,0.000492090148523272,0.000156290930234263,6.98628129528301e-05,-0.00015450942851961,0.000844475451669568,8.09760664143703e-05,0.000927644718784256
"T+7",0.000207955185671346,0.000924513693791499,5.03894303956963e-05,0.000488598921717838,0.000207329498793518,7.50403836724981e-05,-0.000173497815623557,0.000844734636854971,0.000211524456721747,0.000920334543988277
"T+8",0.000205184836155236,0.00092457633177306,4.40791586542148e-05,0.000488548054887487,0.000171199561418857,7.51429075428647e-05,-0.000187886609333123,0.000844624444555608,0.00010621489381268,0.000924647772120906
"T+9",0.000203467310891344,0.000924566543272377,3.92768399154634e-05,0.000488871303134907,0.000196781433163541,7.46208468510568e-05,-0.000198789929182962,0.000844671292654007,0.00019117123883794,0.000924363900963825
"T+10",0.000202409715394873,0.000924562174776688,3.56220431805013e-05,0.000488837041301266,0.000178668765579983,7.46272989613032e-05,-0.000207052082329668,0.000844651375252797,0.000122635288279323,0.00092394844043051
"T+11",0.000201757337953622,0.000924561655774396,3.2840558255179e-05,0.000488811799903884,0.000191493100548863,7.46794010961859e-05,-0.000213312851925534,0.000844659843107069,0.000177924700978688,0.000924087715390251
"T+12",0.000201355102113502,0.000924561715617063,3.07237069315602e-05,0.000488817948315365,0.000182413078026906,7.46770854768717e-05,-0.000218057043334266,0.000844656243011092,0.000133321568799918,0.000924098875036727
"T+13",0.000201107066692,0.000924561747481377,2.91126754608249e-05,0.000488819501576587,0.000188842013324984,7.46719391902872e-05,-0.000221652025033636,0.000844657773586682,0.000169303855897622,0.000924080219266741
"T+14",0.00020095412234863,0.000924561751705048,2.78865986041696e-05,0.000488818756242196,0.000184290129436227,7.46723360739031e-05,-0.000224376175959561,0.000844657122864687,0.000140276186580413,0.000924083764855278
"T+15",0.0002008598126068,0.000924561751357787,2.69534917797216e-05,0.000488818704803524,0.000187513003215725,7.46728390010604e-05,-0.000226440441896858,0.0008446573995182,0.000163693419208821,0.000924084964249687
"T+16",0.000200801658711975,0.000924561751126944,2.62433500449633e-05,0.000488818778694217,0.000185231109466389,7.46727831228556e-05,-0.000228004670155774,0.00084465728189936,0.000144802244109059,0.000924084253336701
"T+17",0.000200765799454985,0.000924561751093075,2.57028960795218e-05,0.00048881877447866,0.000186846760416414,7.46727345212494e-05,-0.000229189987416395,0.00084465733190484,0.000160042153210658,0.000924084300745621
"T+18",0.000200743687674854,0.000924561751094925,2.52915831338583e-05,0.000488818768273787,0.000185702829857401,7.46727416770649e-05,-0.000230088179224605,0.000844657310645082,0.00014774779734362,0.000924084369062409
"T+19",0.00020073005295738,0.000924561751096585,2.49785530700818e-05,0.000488818769403074,0.00018651276787268,7.46727463175496e-05,-0.000230768797444836,0.000844657319683637,0.000157665913336171,0.000924084346077826
"T+20",0.000200721645424482,0.000924561751096854,2.47403212763564e-05,0.000488818769830863,0.000185939306849696,7.46727454518974e-05,-0.000231284546038263,0.000844657315840909,0.000149664760131764,0.000924084344264104
"T+21",0.000200716461113936,0.000924561751096845,2.45590147690614e-05,0.000488818769676826,0.000186345334889716,7.46727450146674e-05,-0.00023167536221643,0.000844657317474639,0.000156119459053261,0.000924084347335663
