"","BAC","MSFT","XOM","JPM","INTC","GE","CSCO","IBM","PFE","CAT"
"T+1",-0.00238831642722801,-9.86447779361232e-05,0.00250074520118788,0.00192620613692549,0.000792310652229559,0.00146775586344659,0.00186371553679554,0.00183216938881925,0.000987881973081355,0.00179137380903477
"T+2",-0.0034189315761438,-0.000517207644801509,-0.000595151196035049,-0.00310832431984164,0.000196459258108978,-0.00195467224204972,-0.00260926019785367,-5.96216197034352e-05,0.00130052912309716,-0.000474980715115819
"T+3",-0.00274883548395996,-0.000226867598206067,0.0023774526540414,0.00082045042369761,0.000620560819747044,0.0014871838623719,0.00129591613797293,0.00215191824986071,0.00098485444147534,0.00123537368508693
"T+4",-0.003308115886101,-0.000449083295442465,-0.000223561197596275,-0.00224908048145166,0.000682943530372387,-0.00125487189622087,-0.00195310483227827,0.00031084088478081,0.000943722025801478,-9.64652062188143e-05
"T+5",-0.00284295849179762,-0.000278446846121144,0.00206549493152285,0.000149165852916548,0.000713497158005326,0.00100318647983935,0.000755545669957857,0.00187556788695521,0.000966421889529818,0.00093855857138855
"T+6",-0.00322984994020793,-0.000409489967546441,5.1734290153139e-05,-0.00172460146748456,0.000722390569738485,-0.000846819281833551,-0.00150240717587017,0.000547649041734357,0.000970847967449635,0.000134100449479205
"T+7",-0.00290805582515993,-0.00030885287304765,0.00182335088493732,-0.000260613414792248,0.000725497030024455,0.000670056733848177,0.000379847723922476,0.00167471348571733,0.000969292474033056,0.000759349625380906
"T+8",-0.00317570571403499,-0.000386139080366973,0.000264764228392628,-0.00140443794154718,0.000726507800946571,-0.000573527542982545,-0.00118922087865962,0.000718130018840338,0.000968862625252509,0.000273386819729536
"T+9",-0.00295308988714773,-0.000326785639258847,0.00163593709826247,-0.000510759509130508,0.000726845569864772,0.000446021899097311,0.000118772155490529,0.00153002004833801,0.000968962592111471,0.00065109198146119
"T+10",-0.00313824896413836,-0.000372367264932246,0.000429642267657603,-0.00120899697640406,0.000726957300980674,-0.000389850812866668,-0.000971585381479598,0.000840937056748931,0.000969001664001918,0.000357527972405968
"T+11",-0.00298424426343312,-0.000337361971890318,0.00149088498251189,-0.000663458958454813,0.000726994403325364,0.000295435706974391,-6.26512148567664e-05,0.0014257888879089,0.000968995838419535,0.000585694902947319
"T+12",-0.00311233654075912,-0.000364244965264257,0.000557252448220062,-0.00108969178464515,0.000727006705820186,-0.000266393357292519,-0.000820348842691378,0.000929402141278824,0.000968992457553943,0.000408356582897081
"T+13",-0.00300579673102977,-0.000343599649372239,0.00137861941440875,-0.000756672973591168,0.000727010787380251,0.000194219673123295,-0.000188723675206128,0.00135070509205222,0.000968992739273586,0.000546189351579245
"T+14",-0.00309441043432336,-0.000359454619923785,0.00065601853197736,-0.00101686299580754,0.000727012141221153,-0.00018341184677982,-0.000715253437930753,0.000993128711266012,0.0009689930201819,0.000439061506242661
"T+15",-0.0030207066382367,-0.000347278487937954,0.00129172955614177,-0.000813574636670432,0.000727012590321953,0.000126187655277039,-0.000276332373181818,0.00129661784624941,0.000968993012702153,0.000522324545621366
"T+16",-0.00308200922864516,-0.000356629384532456,0.000732460233242021,-0.000972405312069238,0.000727012739294701,-0.00012763610311851,-0.000642221853167578,0.00103903468359628,0.000968992990195589,0.00045760996366746
"T+17",-0.0030310212498663,-0.000349448182224299,0.00122447966290013,-0.000848309748728954,0.000727012788711527,8.0460162858564e-05,-0.000337212314286534,0.00125765564241913,0.000968992989606732,0.000507908116950344
"T+18",-0.00307343012627154,-0.000354963125745437,0.000791623596513518,-0.000945266516066721,0.000727012805103867,-9.01466242574067e-05,-0.000591471657332002,0.00107210343805791,0.000968992991347801,0.000468814853155942
"T+19",-0.00303815685517847,-0.000350727817960445,0.00117243045679927,-0.00086951348767833,0.000727012810541473,4.9724582337163e-05,-0.000379518241832016,0.00122958889017875,0.000968992991485266,0.000499199333983765
"T+20",-0.00306749513902538,-0.00035398040467595,0.000837414094313614,-0.000928699880413776,0.000727012812345215,-6.49481968936055e-05,-0.00055620496572588,0.0010959247943245,0.00096899299135539,0.000475583585755843
"T+21",-0.00304309323717707,-0.00035148251765594,0.00113214608272606,-0.000882457120757037,0.000727012812943545,2.90657650694504e-05,-0.000408916948089059,0.00120937076841247,0.000968992991337771,0.000493938467892052
