"","BAC","MSFT","JPM","XOM","INTC","GE","JNJ","CSCO","IBM","PFE"
"T+1",0.00273642858522558,0.000120684896205639,0.00145729332469471,0.000167400244003246,0.000157527664195781,0.00128287173426071,2.46016601626155e-05,0.000792520825128936,0.00145394564963787,0.000540836995759212
"T+2",0.00237309678499969,-9.59517396618964e-05,0.00132646041984406,0.000587144688910806,-0.00014803658610251,0.00122287283963667,0.000381652704581636,-0.000261098085597648,0.00192000782912098,0.00168844385621402
"T+3",0.0023187334189539,0.000299802023146204,0.00099953254316244,0.000438160678252107,-0.00028143128106252,0.00124205480667304,0.000209979570314465,0.000280394345001829,0.00188137413305285,0.000467722555942953
"T+4",0.00228033713934225,0.000334590708057867,0.00130160736377978,0.000521900904965159,-0.000361243281960585,0.00124646943994317,0.000189538524761022,0.000134147060112811,0.0018158189125404,0.00155730489231951
"T+5",0.00227253810791772,0.0003516114136237,0.0010633249314942,0.000481560285251737,-0.000411051391693644,0.00124847920458843,0.000180126029298601,0.000190079498586941,0.00175129588557863,0.00057735338460808
"T+6",0.00226834104239579,0.000354592277126746,0.0012472579604112,0.000501919969808473,-0.000442277888811114,0.00124926408250198,0.000177701449218499,0.00017257997753812,0.00168933921842073,0.0014583907341568
"T+7",0.00226731118764066,0.000355482174793045,0.00110574352768256,0.000491793321473287,-0.000461864422753837,0.00124957920892596,0.000176941779422156,0.000178705924424127,0.00162993554877972,0.000666270170171048
"T+8",0.00226684037255745,0.000355677138368368,0.00121456693257969,0.000496852997073102,-0.0004741505279014,0.00124970506753601,0.000176720850142628,0.000176694519081061,0.00157298488044641,0.00137844712806104
"T+9",0.00226671004210327,0.000355727824179227,0.00113088916981875,0.000494328530753858,-0.000481857312570829,0.00124975538411698,0.00017665482164959,0.000177379261072815,0.00151838622537407,0.000738145561777315
"T+10",0.00226665622256617,0.000355739776386648,0.0011952308791794,0.000495588633436545,-0.000486691600029585,0.00124977549625361,0.000176635287013407,0.000177150890897719,0.00146604246540584,0.00131382565160047
"T+11",0.00226664012011961,0.000355742753428748,0.0011457571867669,0.000494959730766281,-0.000489724036727111,0.00124978353559715,0.000176629485953513,0.00017722794514338,0.00141586047564073,0.000796245212482364
"T+12",0.00226663388619968,0.000355743472307865,0.00118379853764549,0.000495273622025488,-0.000491626214134206,0.0012497867491103,0.000176627765645115,0.000177202116980343,0.00136775097614983,0.00126158962110868
"T+13",0.00226663192493145,0.000355743648958207,0.00115454775319077,0.00049511695798356,-0.000492819406029512,0.00124978803362809,0.000176627255224172,0.000177210806792274,0.00132162837415824,0.00084320939984534
"T+14",0.00226663119633209,0.000355743691940044,0.00117703928847132,0.000495195149780884,-0.000493567867710223,0.00124978854708033,0.00017662710380948,0.000177207889303308,0.00127741061182491,0.00121936522400379
"T+15",0.00226663095953373,0.000355743702456632,0.00115974508019018,0.000495156123917772,-0.000494037360412697,0.00124978875231939,0.000176627058889645,0.000177208869985137,0.00123501902025506,0.000881172362923811
"T+16",0.00226663087386357,0.000355743705021697,0.00117304295587063,0.000495175601901917,-0.000494331862326899,0.00124978883435831,0.000176627045563733,0.00017720854056332,0.00119437817953864,0.00118523361610617
"T+17",0.00226663084542921,0.000355743705648446,0.0011628179432691,0.000495165880353438,-0.000494516596566668,0.00124978886715122,0.000176627041610432,0.000177208651262279,0.00115541578456897,0.000911859289422902
"T+18",0.00226663083531582,0.000355743705801432,0.00117068016767347,0.000495170732421686,-0.000494632476082886,0.00124978888025932,0.000176627040437639,0.000177208614071085,0.00111806251640297,0.00115764372169553
"T+19",0.00226663083191326,0.000355743705838796,0.00116463474015239,0.00049516831073279,-0.000494705164623439,0.00124978888549894,0.000176627040089715,0.00017720862656764,0.00108225191893412,0.000936664715069317
"T+20",0.00226663083071625,0.000355743705847919,0.00116928319484319,0.00049516951940852,-0.000494750760463845,0.00124978888759334,0.0001766270399865,0.000177208622368986,0.0010479202806588,0.00113534174647439
"T+21",0.00226663083030999,0.000355743705850147,0.00116570890155507,0.000495168916153072,-0.000494779361680026,0.00124978888843052,0.00017662703995588,0.000177208623779726,0.00101500652132561,0.000956715896849222
