"","AAPL","MSFT","BA","JPM","INTC","V","CSCO","DIS","HD","JNJ"
"T+1",-0.000363076466909884,0.00278596845104275,0.00155255852112732,-0.000201161139302413,-0.00112627682957585,0.00792994257258359,0.000944384351255438,0.0012191376994727,0.00632112873084418,0.00155285524110195
"T+2",0.00190956403492198,0.000795025048310403,0.00221862016290448,0.000641413997805887,-0.00302183573548573,0.00651064947132726,0.00163893870743917,0.001077622248733,-0.00342079272126198,-0.00110778074259917
"T+3",0.000413388457599202,0.00269778551751185,0.00182111407553146,0.000545705838438614,0.00300245033796771,0.00605624325605531,0.00208438188679424,0.000176397583458895,0.00271183711124788,0.00137035405392595
"T+4",0.00156295271094934,0.00151225239585883,0.00162831750601617,0.000529789384064271,-0.000685252612179143,0.00572124646914121,0.00218429525957618,0.000468558767403552,0.000101966972887122,-0.000200073653551317
"T+5",0.000687048357858527,0.00217299906131926,0.00148025552073092,0.000508592994885137,0.000894615372459294,0.0054180114233071,0.00219926272183761,0.000456195471725002,0.00110095067029556,0.000721123638094886
"T+6",0.00135471999556276,0.00181944800975863,0.00137506382880423,0.000489138521891274,0.000371948145878493,0.00513627103403457,0.00220065218629035,0.000434631297510741,0.000733325463320127,0.000191669442028679
"T+7",0.000845787802755748,0.00200552044801768,0.00129949015742024,0.000470764633047755,0.000494734550680321,0.00487373968208252,0.00220063489971643,0.000442402585638159,0.000866443638111903,0.000494233050168835
"T+8",0.00123372139349118,0.00190827394968486,0.0012452846457682,0.000453455715617628,0.000486995194800605,0.0046290297354078,0.00220059462473432,0.000441864373981842,0.00081857232302769,0.000321611595893045
"T+9",0.000938019009658037,0.00195894501657583,0.00120639610314431,0.000437146344312853,0.000474968493117176,0.00440092347087607,0.00220058442149736,0.000441355792918661,0.000835736153791549,0.000420051030098981
"T+10",0.00116341815562983,0.00193257679793672,0.00117849737545868,0.000421779106671912,0.000483935684916104,0.00418829350991398,0.00220058275902271,0.000441560519480751,0.000829590255392727,0.00036392233846133
"T+11",0.000991607653667825,0.00194629054167089,0.00115848266064507,0.000407299553247766,0.000479728740549327,0.00399008975053761,0.00220058258170801,0.000441541166920232,0.000831789672890332,0.000395924838704586
"T+12",0.00112257021103412,0.00193915996733354,0.00114412399510254,0.000393656409359858,0.00048123928397393,0.00380533341682591,0.002200582577552,0.000441529375532904,0.000831002770717986,0.000377678401947246
"T+13",0.00102274399996987,0.00194286717184084,0.00113382300897863,0.000380801359739561,0.000480834419002928,0.00363311214753969,0.00220058258100973,0.00044153471980136,0.000831284275540188,0.000388081695024654
"T+14",0.00109883653065841,0.0019409398760991,0.00112643302464904,0.000368688880248512,0.000480889587331917,0.00347257548276126,0.00220058258203064,0.000441534085508647,0.000831183575450408,0.000382150213235735
"T+15",0.00104083499814648,0.00194194181532696,0.00112113140906887,0.000357276076426617,0.000480909794114107,0.00332293066335808,0.00220058258221168,0.000441533817792256,0.000831219597184581,0.000385532071908026
"T+16",0.00108504666706183,0.00194142094385838,0.00111732800076701,0.000346522531607652,0.000480888854446462,0.00318343871611186,0.00220058258223331,0.000441533956077559,0.000831206711861641,0.00038360389146044
"T+17",0.00105134632185322,0.00194169172479775,0.00111459941464215,0.000336390163788296,0.000480899775521305,0.00305341080452655,0.00220058258223438,0.000441533936413822,0.00083121132104739,0.000384703251344324
"T+18",0.00107703441042897,0.00194155095649111,0.00111264191188414,0.000326843090766788,0.000480895528418188,0.00293220482722813,0.0022005825822341,0.000441533930496114,0.000831209672306808,0.000384076446862294
"T+19",0.00105745366457634,0.00194162413631606,0.00111123758859278,0.000317847503071691,0.000480896793139226,0.00281922224715165,0.002200582582234,0.000441533934043491,0.000831210262073308,0.000384433821970976
"T+20",0.00107237908835845,0.00194158609305752,0.00111023011930642,0.000309371544230915,0.000480896555119978,0.00271390513585679,0.00220058258223398,0.00044153393345647,0.000831210051109614,0.000384230063108522
"T+21",0.00106100218388545,0.00194160587022044,0.00110950735527537,0.000301385197956987,0.000480896535084431,0.00261573341837623,0.00220058258223398,0.000441533933330314,0.000831210126572824,0.000384346237047372
