"","AAPL","MSFT","BA","JPM","V","DIS","INTC","UNH","CSCO","JNJ"
"T+1",0.000812749176212482,0.00353440775447242,0.000582754940796666,0.000939262557970478,0.00625097949600049,0.000256733941864234,0.00342041634112513,-0.00229742870980515,0.00448492108322144,0.000632980686546405
"T+2",0.00191810279468224,0.00387050067649887,-0.00168584986824552,0.000426962545219586,0.00531927141685768,-3.32831147475769e-06,0.000507880995004133,4.20970020769166e-06,0.00268860596016671,-0.000217507327171243
"T+3",0.00338519993342131,-0.000890559288580735,0.00106580925673657,0.000369347261537561,0.00411805037465325,2.27449988010872e-05,0.000783119836116279,0.000238503932375639,0.00278371088438073,0.000165999260647574
"T+4",0.00190351033012,0.00304141567569569,-0.000765135621477155,0.000333584975947646,0.00331179851734889,4.24140431434221e-05,0.000806360475493805,0.000248182704285012,0.00273900006669738,-7.27986829216338e-05
"T+5",0.00306984428829338,0.000402204545973741,0.000544186319378419,0.000346086838726384,0.00278310923190055,6.17430369016535e-05,0.000752946062893199,0.000234858854260258,0.00270556975555838,7.7543723858712e-05
"T+6",0.0021935086672393,0.00207383662584419,-0.000382096286167562,0.000334266177957328,0.00243682981693836,8.06175567023688e-05,0.00080602433918398,0.000220451121565987,0.00267215837314075,-1.71387862845126e-05
"T+7",0.00284517268623593,0.00103522838913687,0.000274231347182888,0.000342602544274813,0.00221003796312178,9.90507621074934e-05,0.000756501745855517,0.000207216564436777,0.00263958370816833,4.24908198143444e-05
"T+8",0.00236173257193982,0.00167621011748838,-0.000190710374458124,0.000336323105235927,0.00206150359741618,0.000117052920515034,0.000802362363019361,0.000195273456701684,0.00260776535204677,4.93699038376122e-06
"T+9",0.00272017689510293,0.00128156834264992,0.000138664793544782,0.000340977496297015,0.00196422296699894,0.000134634112702252,0.00075993216670537,0.000184518721701752,0.00257669017595583,2.85878277357933e-05
"T+10",0.00245444420834584,0.0015243354912163,-9.46708423108576e-05,0.000337514224857348,0.00190051029728524,0.000151804182608977,0.000799184039719393,0.000174836619543524,0.00254634049186705,1.36928858337246e-05
"T+11",0.00265143924768473,0.00137504091953891,7.06286793734752e-05,0.000340088793300445,0.00185878252205291,0.000168572744005177,0.000762872927968032,0.000166120444656924,0.00251669938671035,2.30734963789261e-05
"T+12",0.00250540235344073,0.00146684257489214,-4.64727180549375e-05,0.000338174448584589,0.00183145346436892,0.000184949185849941,0.000796463541731283,0.000158273862118073,0.00248775031535567,1.71657288441941e-05
"T+13",0.00261366264339082,0.00141039569604301,3.64841916087982e-05,0.000339597800435365,0.00181355465740555,0.000200942677548977,0.000765389607860387,0.000151210118026084,0.00245947712095738,2.0886352046304e-05
"T+14",0.0025334069926184,0.00144510318780854,-2.2284098068641e-05,0.000338539497306388,0.00180183206914744,0.000216562174088693,0.000794135416040735,0.000144851110455227,0.00243186402373632,1.8543159473019e-05
"T+15",0.00259290220477993,0.00142376270069649,1.934850235884e-05,0.000339326373705927,0.00179415451411538,0.000231816421050218,0.000767543305476991,0.00013912652920187,0.00240489561233659,2.00188669384738e-05
"T+16",0.00254879714595461,0.00143688423557362,-1.01448422286203e-05,0.000338741309821995,0.00178912620040408,0.000246713959506181,0.00079214307805951,0.000133973078740669,0.00237855683521192,1.90894885559937e-05
"T+17",0.00258149315852675,0.00142881625828052,1.07488172120351e-05,0.000339176320562857,0.00178583297245929,0.000261263130802979,0.000769386373222957,0.000129333778418438,0.00235283299222613,1.9674797093113e-05
"T+18",0.00255725491317763,0.00143377697690148,-4.05265786404887e-06,0.00033885287835727,0.00178367611612155,0.000275472081231219,0.000790438096903633,0.000125157332434988,0.00232770972644864,1.93061785733767e-05
"T+19",0.00257522323687332,0.00143072680381835,6.43299521411271e-06,0.000339093366348516,0.00178226351142499,0.000289348766586942,0.00077096361353224,0.000121397562676375,0.00230317301614157,1.95383289769251e-05
"T+20",0.00256190293865191,0.00143260224894401,-9.95245546378167e-07,0.000338914557049411,0.0017813383445542,0.000302900956626188,0.000788979026822637,0.000118012898132934,0.00227920916693403,1.93921241418934e-05
"T+21",0.00257177755732585,0.00143144910311078,4.26706481087929e-06,0.000339047506579493,0.00178073241867776,0.000316136239415395,0.000772313366952009,0.000114965915257086,0.002255804804179,1.94842017495991e-05
