"","MMM","AXP","BA","CAT","KO","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","AMGN","HON","CRM"
"T+1",-0.00076502166608838,-0.00183527940397382,-0.00175102062958747,-0.00150530610260938,-9.09727897243837e-07,-0.000803866678436069,-0.00178458203937886,-0.00285810480904376,0.000813277346626905,-0.00292233678388649,-0.00060832588285841,0.000818712435996367,0.000456325495490461,-3.64540237213258e-05,-0.00347207404413457,-0.00528037883278952,0.00161517716381792,-0.00019798824665157,0.000654675243214675,0.00144081321121216,-0.00772484596635915,-0.00194177133827886,-0.00138318394000096,0.000130375216633998,-0.00360795565685862,-0.00138032272288039,-0.0013110764916804,-0.000730108794598265,-0.00137507594086907,-0.00278074418945167
"T+2",-0.00162457337016224,-0.00101739798900783,-0.00185012705959255,-0.000616757668182506,0.000406528787534966,-0.000588819745740658,-0.00283368457925185,-0.00065633216360721,0.00013324240967347,-0.00185947660944604,-3.88598454020918e-06,0.000432832060292212,-0.000678010012178079,-0.000225433339154534,-0.00150390108812234,-0.00276023086322509,0.00191440877737141,0.00035057447674824,8.14724602511443e-05,0.0010571559138407,-0.00135951230067398,-0.00104783128887049,-0.00105026108922763,0.00062915379567993,-0.0007678313235554,-0.0013853182868004,-0.000959391548744861,0.000243830489182147,-0.000948059229468792,-0.00116852114820113
"T+3",-0.00157657684837964,-0.000982716169005012,-0.00184982712804048,-0.000533875588999484,0.000423521835433786,-0.000582906100704821,-0.00278275488038328,-0.000421001582165167,0.00019141327662629,-0.00177148251952023,2.02625735711158e-05,0.000454606160486988,-0.000613721770341265,-0.000223571684479268,-0.0012275930605413,-0.00252724441976217,0.00192409666123731,0.000372143783711301,0.000113468153835684,0.00107366275315049,-0.00104623517559166,-0.000953214042004197,-0.00104109464151035,0.000637275859290612,-0.000259301126111183,-0.00138531091512033,-0.000927766108142398,0.000319499496462609,-0.000937346341546751,-0.00102131193971788
"T+4",-0.00157925692695119,-0.000981245505145072,-0.00184982803574077,-0.000526144508977795,0.000424230564888549,-0.000582743479470603,-0.00278522731194098,-0.000395848902265799,0.000186437282632213,-0.00176419749741848,2.1227355777715e-05,0.000453377511742083,-0.000617365293805468,-0.000223590023830969,-0.00118880270633361,-0.00250570493736151,0.00192441031490741,0.000372991881810245,0.000111682181334534,0.00107295254707369,-0.00103081688611079,-0.000943199474013332,-0.00104084225942375,0.000637408118212842,-0.000168247731483249,-0.00138531092599832,-0.000924922174919237,0.000325378506333313,-0.00093707757930732,-0.00100787052962275
"T+5",-0.00157910727399963,-0.000981183142437787,-0.00184982803299375,-0.000525423368788131,0.000424260123884854,-0.000582739007496776,-0.00278510728535642,-0.000393160525335596,0.000186862934122833,-0.00176359437115094,2.12659007169979e-05,0.000453446840794712,-0.000617158797829611,-0.000223589843168129,-0.00118335700288181,-0.00250371362278031,0.0019244204697179,0.000373025228750259,0.000111781872806026,0.0010729831036607,-0.00103005805748437,-0.000942139502651183,-0.00104083531052494,0.00063741027190473,-0.000151944430882935,-0.00138531092598226,-0.000924666432832368,0.0003258352687292,-0.000937070836667813,-0.00100664321845651
"T+6",-0.00157911563047326,-0.000981180497980841,-0.00184982803300206,-0.00052535610222619,0.000424261356702619,-0.000582738884520524,-0.00278511311216322,-0.000392873185356406,0.000186826523469668,-0.00176354443838621,2.12674406628366e-05,0.000453442928759187,-0.000617170500948436,-0.000223589844947858,-0.00118259249101563,-0.00250352952672417,0.00192442079848873,0.000373026539941039,0.000111776308112571,0.00107298178896481,-0.00103002071087176,-0.000942027312161328,-0.00104083511919918,0.000637410306975246,-0.000149025290838236,-0.00138531092598229,-0.000924643435100051,0.000325870756318247,-0.000937070667510167,-0.00100653115486436
"T+7",-0.00157911516385599,-0.000981180385844071,-0.00184982803300203,-0.000525349827731411,0.000424261408119779,-0.000582738881138761,-0.00278511282929524,-0.000392842473791107,0.000186829638073265,-0.0017635403044575,2.12675021866898e-05,0.000453443149503902,-0.000617169837676478,-0.000223589844930325,-0.00118248516266059,-0.00250351250713409,0.00192442080913297,0.000373026591496632,0.000111776618729044,0.00107298184552954,-0.00103001887281581,-0.000942015437589559,-0.00104083511393136,0.000637410307546331,-0.000148502612712532,-0.00138531092598229,-0.000924641367017717,0.000325873513482558,-0.000937070663266383,-0.00100652092253777
"T+8",-0.00157911518991144,-0.000981180381088972,-0.00184982803300203,-0.000525349242458675,0.000424261410264236,-0.000582738881045764,-0.00278511284302734,-0.000392839191267576,0.000186829371646966,-0.00176353996220995,2.12675046446882e-05,0.000453443137047924,-0.000617169875267286,-0.000223589844930498,-0.00118247009503861,-0.00250351093368134,0.00192442080947759,0.000373026593523781,0.000111776601390696,0.00107298184309585,-0.0010300187823538,-0.00094201418074992,-0.00104083511378632,0.000637410307555631,-0.000148409026101781,-0.00138531092598229,-0.000924641181044402,0.000325873727697027,-0.000937070663159916,-0.00100651998824229
"T+9",-0.00157911518845653,-0.000981180380887335,-0.00184982803300203,-0.000525349187865566,0.000424261410353675,-0.000582738881043207,-0.0027851128423607,-0.000392838840423826,0.000186829394437338,-0.00176353993387531,2.12675047428901e-05,0.000453443137750778,-0.000617169873136835,-0.000223589844930496,-0.00118246797972405,-0.0025035107882164,0.00192442080948874,0.000373026593603488,0.000111776602358507,0.00107298184320056,-0.00103001877790161,-0.000942014047722312,-0.00104083511378233,0.000637410307555782,-0.00014839226922354,-0.00138531092598229,-0.00092464116432066,0.000325873744340155,-0.000937070663157245,-0.00100651990293343
"T+10",-0.00157911518853777,-0.000981180380878784,-0.00184982803300203,-0.000525349182773227,0.000424261410357405,-0.000582738881043137,-0.00278511284239306,-0.00039283880292483,0.000186829392487827,-0.00176353993152949,2.12675047468135e-05,0.000453443137711118,-0.000617169873257577,-0.000223589844930496,-0.0011824676827591,-0.00250351077476824,0.0019244208094891,0.000373026593606622,0.000111776602304485,0.00107298184319605,-0.00103001877768249,-0.000942014033642279,-0.00104083511378222,0.000637410307555785,-0.000148389268869471,-0.00138531092598229,-0.000924641162816769,0.000325873745633222,-0.000937070663157178,-0.00100651989514403
"T+11",-0.00157911518853323,-0.000981180380878422,-0.00184982803300203,-0.000525349182298223,0.00042426141035756,-0.000582738881043135,-0.00278511284239149,-0.00039283879891685,0.00018682939265459,-0.00176353993133528,2.12675047469702e-05,0.000453443137713356,-0.000617169873250734,-0.000223589844930496,-0.00118246764106876,-0.00250351077352497,0.00192442080948912,0.000373026593606745,0.000111776602307501,0.00107298184319625,-0.0010300187776717,-0.000942014032152006,-0.00104083511378221,0.000637410307555785,-0.000148388731649804,-0.00138531092598229,-0.000924641162681531,0.000325873745733685,-0.000937070663157176,-0.0010065198944328
"T+12",-0.00157911518853348,-0.000981180380878406,-0.00184982803300203,-0.000525349182253916,0.000424261410357567,-0.000582738881043135,-0.00278511284239157,-0.000392838798488468,0.000186829392640325,-0.0017635399313192,2.12675047469765e-05,0.00045344313771323,-0.000617169873251122,-0.000223589844930496,-0.00118246763521593,-0.00250351077341003,0.00192442080948912,0.00037302659360675,0.000111776602307332,0.00107298184319624,-0.00103001877767117,-0.000942014031994272,-0.00104083511378221,0.000637410307555785,-0.0001483886354595,-0.00138531092598229,-0.00092464116266937,0.00032587374574149,-0.000937070663157176,-0.00100651989436786
"T+13",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249783,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798442681,0.000186829392641545,-0.00176353993131787,2.12675047469767e-05,0.000453443137713237,-0.0006171698732511,-0.000223589844930496,-0.00118246763439426,-0.0025035107733994,0.00192442080948912,0.00037302659360675,0.000111776602307342,0.00107298184319624,-0.00103001877767115,-0.000942014031977576,-0.00104083511378221,0.000637410307555785,-0.000148388618236425,-0.00138531092598229,-0.000924641162668276,0.000325873745742097,-0.000937070663157176,-0.00100651989436193
"T+14",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249397,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437788,0.000186829392641441,-0.00176353993131776,2.12675047469767e-05,0.000453443137713236,-0.000617169873251102,-0.000223589844930496,-0.00118246763427891,-0.00250351077339842,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.000942014031975809,-0.00104083511378221,0.000637410307555785,-0.000148388615152598,-0.00138531092598229,-0.000924641162668178,0.000325873745742144,-0.000937070663157176,-0.00100651989436139
"T+15",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249361,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437265,0.00018682939264145,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426272,-0.00250351077339833,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.000942014031975622,-0.00104083511378221,0.000637410307555785,-0.000148388614600432,-0.00138531092598229,-0.000924641162668169,0.000325873745742148,-0.000937070663157176,-0.00100651989436134
"T+16",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437209,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426044,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.000942014031975603,-0.00104083511378221,0.000637410307555785,-0.000148388614501565,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+17",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437203,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426013,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614483863,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+18",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426008,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480694,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+19",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480126,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+20",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480024,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+21",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480006,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+22",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480003,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+23",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480002,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+24",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480002,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+25",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480002,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+26",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480002,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+27",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480002,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
"T+28",-0.00157911518853347,-0.000981180380878406,-0.00184982803300203,-0.000525349182249358,0.000424261410357567,-0.000582738881043135,-0.00278511284239156,-0.000392838798437202,0.000186829392641449,-0.00176353993131775,2.12675047469767e-05,0.000453443137713236,-0.000617169873251101,-0.000223589844930496,-0.00118246763426007,-0.00250351077339832,0.00192442080948912,0.00037302659360675,0.000111776602307341,0.00107298184319624,-0.00103001877767114,-0.0009420140319756,-0.00104083511378221,0.000637410307555785,-0.000148388614480002,-0.00138531092598229,-0.000924641162668168,0.000325873745742148,-0.000937070663157176,-0.00100651989436133
