"","MMM","AA","MO","AXP","AIG","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","HON","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T"
"T+1",0.00142087429497338,0.0028237543555799,0.000173115903159249,0.000317423691050917,0.000778138025112727,0.00167055931865191,0.00143658183892692,0.00317223451019109,0.0014245139263924,0.00155569720002567,0.00180438621625345,0.000656128359792138,0.00301565599403432,-0.000832595981616176,0.00125221649858376,0.00105640400503637,0.00189651102998189,0.000324553760847283,0.000999695588554477,0.00101766278677876,0.000955539717588036,0.000528610840141218,-0.000784824200054846,0.000124726615802043,0.00139595984122769,0.00116766037617315,-0.000273817393129152,0.000123740010082219,0.00125268291762643
"T+2",0.00120535321942058,0.00168703696647393,0.001714323604812,0.000347208601517205,0.00061368465187802,0.00164144341189667,0.00113564622783411,0.00312516311659291,-0.000769114096324554,0.0013259314485742,0.00172662616817435,0.000607793919418225,0.00238961237913898,7.6932460607684e-05,0.00143148932034544,0.00102554030097065,0.00115487209795373,0.000231910471934712,0.000603659204889026,0.00126306522058187,0.0010111460271599,0.000361933405682435,-0.000733114645693511,0.000422779166861044,0.0008704869084447,0.00110943997044735,-0.000374050547784645,0.000301651087865129,0.00125789690536093
"T+3",0.00111951797292818,0.00224084034644632,0.0001731166048639,0.000363730939792524,0.00051700610083009,0.00161407036190178,0.00100160446448003,0.00307892936842163,0.000862938525148243,0.00116104138256411,0.00168378879356562,0.000581214284662092,0.00198944712064499,0.000195061070929542,0.00135403125564318,0.00101778976540201,0.00185969377275735,0.000185733362966821,0.000439751555105396,0.00133459278532153,0.00100216566842973,0.000370326330017616,-0.000690073147598328,0.00051616009005814,0.000977464946152734,0.0010737283830027,-0.000308411573023341,0.000407262291933945,0.00126267015581874
"T+4",0.00108533250163953,0.00197102993744918,0.00171432290310766,0.000372896240537443,0.000460170889433195,0.00158833584254362,0.000941900017213638,0.00303351835959931,-0.000351303694440649,0.00104270897794308,0.00166019003419369,0.000566597854259584,0.00173366265084838,0.000210403492264331,0.0013874984132885,0.00101584344031178,0.0011898616323188,0.000162716850733056,0.000371915066424883,0.0013554409588229,0.00100361598663181,0.000369903710248331,-0.000654246682235035,0.000545416665068685,0.000955685897532188,0.00105182339175575,-0.000351396102668482,0.000469954995299359,0.00126703992442833
"T+5",0.00107171750669301,0.00210248030311295,0.000173117306567913,0.000377980432396069,0.000426758708349427,0.00156414177258362,0.00091530665605373,0.00298891544930485,0.000552088848442953,0.00095778841042667,0.00164718967063311,0.000558560120119462,0.00157016596141721,0.000212396150027534,0.00137303832259088,0.00101535467649367,0.00182644122741922,0.000151244503346055,0.000343839566577401,0.00136151758592359,0.00100338176181402,0.000369924990967929,-0.000624425795945511,0.000554582853965115,0.000960119769838863,0.00103838717466593,-0.000323247128746615,0.000507170507516253,0.0012710403174247
"T+6",0.00106629508364584,0.00203843830155577,0.00171432220140397,0.000380800744306689,0.000407116415880791,0.00154139594185395,0.00090346152742159,0.00294510625725365,-0.000120032474116573,0.000896845655055437,0.00164002787665727,0.000554140082646003,0.00146565935287992,0.000212654954350177,0.00137928606628036,0.00101523193745533,0.0012214634181536,0.000145526227995241,0.000332219954374324,0.00136328874333066,0.00100341958886824,0.000369923919392344,-0.000599603775406364,0.000557454653512901,0.00095921710306152,0.00103014558590428,-0.000341680847561159,0.00052926230249745,0.00127470255805005
"T+7",0.00106413550357858,0.00206963926431262,0.000173118008271286,0.000382365232723799,0.000395569140578526,0.00152001165981965,0.000898185508663815,0.00290207665906132,0.00038002375924263,0.000853110438242145,0.00163608250292111,0.00055170945593875,0.00139885903254338,0.000212688567587058,0.00137658661563197,0.00101520111506018,0.00179640825226518,0.000142676011567453,0.00032741094336888,0.00136380498342712,0.00100341347983998,0.000369923973350775,-0.00057894266233065,0.000558354398514433,0.000959400871842974,0.00102509030993917,-0.000329609288921869,0.000542376387899443,0.00127805523025253
"T+8",0.0010632754109546,0.00205443830161183,0.00171432149970092,0.000383233088508847,0.000388780749298882,0.00149990742517738,0.000895835481509458,0.00285981278168989,7.98343240231101e-06,0.000821724112204636,0.00163390902879291,0.000550372827861389,0.00135616046199822,0.000212692933239387,0.00137775296210284,0.00101519337489816,0.00125000546325568,0.00014125535005907,0.000325420637113705,0.00136395545217492,0.00100341446644142,0.000369923970633736,-0.000561744965114414,0.000558636291820116,0.000959363459404758,0.00102198947394474,-0.000337514504871395,0.000550161144008086,0.00128112450178525
"T+9",0.00106293286319125,0.0020618441393365,0.000173118709974021,0.00038371450700668,0.000384790002134786,0.00148100661523187,0.000894788740040224,0.00281830099897504,0.000284780311556551,0.000799199896391594,0.00163271167966914,0.000549637801535933,0.00132886765984676,0.000212693500245781,0.0013772490210173,0.00101519143117809,0.00176928312282227,0.0001405472357202,0.000324596908703664,0.0013639993093728,0.00100341430710636,0.000369923970770551,-0.000547430112450984,0.000558724609994324,0.000959371075989698,0.0010200874642561,-0.000332337672195849,0.00055478231474271,0.00128393432844666
"T+10",0.00106279643722165,0.0020582360499356,0.0017143207979985,0.000383981560328267,0.000382443928923671,0.00146323719386603,0.000894322503851683,0.00277752792723293,7.88442697295291e-05,0.000783035522855609,0.00163205206982811,0.000549233602560716,0.0013114221800621,0.000212693573887983,0.00137746675787683,0.00101519094306845,0.00127578401712816,0.000140194283300532,0.000324255992077519,0.00136401209245124,0.0010034143328388,0.000369923970763662,-0.000535514854018461,0.000558752280392089,0.000959369525372606,0.00101892079795638,-0.000335727787876649,0.000557525524505549,0.00128650664105669
"T+11",0.00106274210306106,0.00205999389416726,0.000173119411676116,0.0003841297006197,0.000381064723655688,0.00144653143699174,0.000894114834441525,0.00273748042094523,0.000232060062671142,0.000771435253439811,0.0016316886961606,0.000549011329145592,0.00130027108010441,0.000212693583452556,0.00137737268072901,0.00101519082049369,0.00174478429633168,0.000140018357742029,0.000324114896851756,0.00136401581834122,0.00100341432868304,0.000369923970764009,-0.000525596946593784,0.000558760949626019,0.000959369841053897,0.00101820518106808,-0.000333507726876127,0.000559153942981099,0.00128886151662768
"T+12",0.00106272046347869,0.00205913748070312,0.00171432009629673,0.000384211877264483,0.000380253918962032,0.00143082567443498,0.000894022335006741,0.00269814556852086,0.000118067975620904,0.000763110387015541,0.00163148851657864,0.000548889098575747,0.00129314332943194,0.000212693584694793,0.00137741332846206,0.00101519078971255,0.00129906664587393,0.000139930669429356,0.000324056501745134,0.00136401690432816,0.00100341432935419,0.000369923970763991,-0.000517341574858331,0.00055876366572781,0.000959369776786143,0.00101776623161789,-0.000334961562470574,0.000560120601370638,0.00129101733506641
"T+13",0.00106271184511558,0.00205955472132567,0.000173120113377573,0.000384257462438391,0.000379777264568001,0.00141606004727152,0.000893981134208661,0.00265951068813327,0.000202877743991328,0.000757136094652334,0.00163137823928389,0.000548821882655229,0.00128858729192518,0.000212693584856133,0.0013773957658739,0.00101519078198275,0.00172265748950192,0.000139886962078105,0.000324032333751788,0.00136401722086129,0.0010034143292458,0.000369923970763992,-0.000510470048479596,0.000558764516692151,0.000959369789870048,0.00101749698612777,-0.000334009499470871,0.000560694427113895,0.00129299092263002
"T+14",0.00106270841269339,0.00205935144365151,0.00171431939459559,0.00038428274952678,0.000379497049846593,0.00140217827968828,0.000893962782682877,0.00262156332363169,0.000139779532552537,0.000752848678203582,0.001631317488424,0.000548784919889065,0.001285675085997,0.000212693584877088,0.00137740335410773,0.00101519078004163,0.00132009500937308,0.000139865176591589,0.000324022331340007,0.00136401731312136,0.0010034143292633,0.000369923970763992,-0.000504750393897493,0.000558764783302303,0.000959369787206371,0.00101733183468741,-0.000334632970211899,0.00056103506035847,0.00129479768325571
"T+15",0.0010627070456679,0.00205945047958085,0.00017312081507839,0.000384296776825229,0.000379332317723954,0.00138912746450097,0.000893954608605814,0.00258429124052519,0.000186724411229541,0.00074977183852325,0.00163128402127207,0.000548764593661708,0.00128381361243459,0.000212693584879809,0.00137740007547408,0.00101519077955417,0.00170267303919897,0.000139854317836502,0.000324018191640033,0.00136401734001244,0.00100341432926048,0.000369923970763992,-0.000499989523206548,0.00055876486683221,0.000959369787748654,0.00101723053308996,-0.000334224682351706,0.000561237266356847,0.00129645171878914
"T+16",0.00106270650122477,0.00205940222974062,0.00171431869289509,0.000384304558073063,0.000379235475302212,0.00137685786151043,0.000893950967734933,0.00254768242203821,0.000151797563324566,0.000747563762276953,0.00163126558449175,0.000548753416048087,0.00128262376394552,0.000212693584880163,0.00137740149206704,0.00101519077943176,0.00133908736956922,0.000139848905400018,0.000324016478341656,0.0013640173478504,0.00100341432926093,0.000369923970763992,-0.0004960267157659,0.000558764893002427,0.000959369787638254,0.00101716839609846,-0.000334492054925608,0.000561357299461163,0.00129796593904995
"T+17",0.00106270628439024,0.00205942573683645,0.000173121516778569,0.00038430887450064,0.000379178543754808,0.00136532270792923,0.00089394934603004,0.00251172506523625,0.000177783032644244,0.000745979149097194,0.00163125542782024,0.000548747269356717,0.00128186321625064,0.000212693584880209,0.00137740088000243,0.00101519077940102,0.00168462351867918,0.000139846207625876,0.000324015769258547,0.00136401735013493,0.00100341432926086,0.000369923970763992,-0.000492728192484953,0.000558764901201649,0.000959369787660729,0.00101713028213175,-0.000334316962545342,0.000561428553262967,0.00129935216259346
"T+18",0.00106270619803188,0.00205941428428963,0.00171431799119523,0.000384311268916989,0.000379145074939887,0.001354478040156,0.000893948623695509,0.00247640757722053,0.000158449921978173,0.000744841960590377,0.00163124983259295,0.000548743889224242,0.00128137707637528,0.000212693584880215,0.00137740114445601,0.0010151907793933,0.00135624085589897,0.00013984486294768,0.000324015475790192,0.0013640173508008,0.00100341432926087,0.000369923970763992,-0.000489982599619818,0.000558764903770494,0.000959369787656153,0.00101710690355446,-0.000334431624049998,0.000561470850796637,0.00130062120895502
